case_id,family,split,group_id,severity,detector,nominal_success,nominal_outcome,nominal_stalled,nominal_safety_time_s,nominal_first_stall_s,first_safe_shadow_trigger_s,shadow_trigger_branch,shadow_triggered,safety_lead_s,stall_lead_s,terminal_opportunity_s,terminal_coverage,terminal_trigger_delay_s,first_actual_intervention_s,actual_trigger_branch,nominal_safety_lead_of_actual_intervention_s,actual_interventions,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h000_easy_controls_easy_v0,easy_controls,held_out,h000_easy_controls_easy_v0,easy,v1,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.699999999991178,0.0,0.0,0.0,True,1165,0
h000_easy_controls_easy_v0,easy_controls,held_out,h000_easy_controls_easy_v0,easy,v2,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.699999999991178,0.0,0.0,0.0,True,1165,0
h001_easy_controls_easy_v1,easy_controls,held_out,h001_easy_controls_easy_v1,easy,v1,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.649999999991223,0.0,0.0,0.0,True,1159,0
h001_easy_controls_easy_v1,easy_controls,held_out,h001_easy_controls_easy_v1,easy,v2,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.649999999991223,0.0,0.0,0.0,True,1159,0
h002_easy_controls_easy_v2,easy_controls,held_out,h002_easy_controls_easy_v2,easy,v1,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.658333333456312,0.0,0.0,0.0,True,1160,0
h002_easy_controls_easy_v2,easy_controls,held_out,h002_easy_controls_easy_v2,easy,v2,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.658333333456312,0.0,0.0,0.0,True,1160,0
h003_easy_controls_easy_v3,easy_controls,held_out,h003_easy_controls_easy_v3,easy,v1,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.649999999859574,0.0,0.0,0.0,True,1159,0
h003_easy_controls_easy_v3,easy_controls,held_out,h003_easy_controls_easy_v3,easy,v2,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.649999999859574,0.0,0.0,0.0,True,1159,0
h004_easy_controls_easy_v0,easy_controls,held_out,h004_easy_controls_easy_v0,easy,v1,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.68333333345663,0.0,0.0,0.0,True,1163,0
h004_easy_controls_easy_v0,easy_controls,held_out,h004_easy_controls_easy_v0,easy,v2,True,insertion_success,False,,,,,False,,,,False,,,,,0,True,9.68333333345663,0.0,0.0,0.0,True,1163,0
