intervention,trigger_time_s,trigger_depth_mm,trigger_eta_raw,commanded_retract_mm,hand_target_retract_mm,actual_retract_mm,max_actual_retract_mm,safe_target_crossed,time_to_0_5_mm_s,sustained_0_5_mm_at_recovery_end,online_verified,recovery_status,recovery_end_time_s,recovery_end_depth_mm,recovery_safety_stop,before_samples,after_samples,after_window_duration_s,rejoin_started,rejoin_start_time_s,retry_started,retry_start_time_s,retry_observed_s,retry_evaluable,stall_observed_after_retry,stall_after_retry,first_stall_before_trigger,trigger_wrist_force_n,after_wrist_force_n,before_mean_wrist_force_n,after_mean_wrist_force_n,trigger_wrist_torque_nm,after_wrist_torque_nm,before_mean_wrist_torque_nm,after_mean_wrist_torque_nm,trigger_normal_load_n,after_normal_load_n,before_mean_normal_load_n,after_mean_normal_load_n,trigger_force_norm_n,after_force_norm_n,before_mean_force_norm_n,after_mean_force_norm_n,trigger_torque_norm_nm,after_torque_norm_nm,before_mean_torque_norm_nm,after_mean_torque_norm_nm,trigger_fx,after_fx,before_mean_fx,after_mean_fx,trigger_fy,after_fy,before_mean_fy,after_mean_fy,trigger_fz,after_fz,before_mean_fz,after_mean_fz,trigger_taux,after_taux,before_mean_taux,after_mean_taux,trigger_tauy,after_tauy,before_mean_tauy,after_mean_tauy,trigger_tauz,after_tauz,before_mean_tauz,after_mean_tauz,normal_load_drop_n,contact_load_decreased,load_decreased_after_verified_unloading,actual_dx_mm,actual_dy_mm,actual_droll_deg,actual_dpitch_deg,trigger_x_mm,trigger_y_mm,trigger_roll_deg,trigger_pitch_deg,after_x_mm,after_y_mm,after_roll_deg,after_pitch_deg,lateral_error_before_mm,lateral_error_after_mm,tilt_error_before_deg,tilt_error_after_deg,verification_time_s,retry_ready_time_s,ready_to_retry,time_to_verified_unloading_s,commanded_relax_fraction,commanded_relax_x_mm,commanded_relax_y_mm,commanded_relax_roll_deg,commanded_relax_pitch_deg,relax_end_actual_retreat_mm,relax_end_normal_load_n,relax_end_x_mm,relax_end_y_mm,relax_end_roll_deg,relax_end_pitch_deg,verified_mean_normal_load_n,verified_mean_wrist_force_n,verified_mean_wrist_torque_nm,retry_success,repeated_stall,case_id,split,policy,trigger_branch
1,10.0,19.020801037549973,0.24871826171890737,0.5709652596932884,0.6283670663833618,0.623021274805069,0.6947740912437439,True,1.591666666656124,True,True,verified,12.09166666665567,18.397779762744904,False,13,13,0.09999999999990905,True,12.099999999988995,True,12.59999999998854,0.29999999999972715,False,False,,False,0.9907670021057129,0.002715515438467264,0.7965329335286067,0.0015045126156809812,0.04180542752146721,0.0002699914912227541,0.04172034203433073,0.0002690457185963169,2.6301419734954834,0.0,2.4983097406534047,0.0,1.0331826210021973,0.0,0.8658034801483154,0.0,0.028544308617711067,0.0,0.027033053410167877,0.0,-0.08626174181699753,0.0,0.01979901985480235,0.0,-0.503388524055481,0.0,-0.39194054443102616,0.0,0.8981232047080994,0.0,0.5816446061317737,0.0,0.028339872136712074,0.0,0.026778801272694882,0.0,-0.003407485783100128,0.0,-0.0006975381491849056,0.0,0.00013497038162313402,0.0,-0.0002908393552598472,0.0,2.4983097406534047,True,True,0.08672475814819336,0.49743558702175505,3.365386891195868,-0.03893983926283795,-0.008165836334228516,-0.555877631995827,-3.4195032929865046,0.009678602866260868,0.07855892181396484,-0.058442044974071905,-0.05411640179063308,-0.029261236396587287,0.5559376067836439,0.09791310850608352,3.4195169901755116,0.06152076802366986,11.841666666666667,12.091666666666667,True,1.8416666666666668,1.0,0.008165836334228516,0.555877631995827,3.419503292986491,-0.009678602866273422,0.006895512342453003,0.24132445454597473,0.029981136322021484,-0.5251108086667955,-1.849955964807266,0.008226478915415678,0.0,0.006560820441406507,0.0007222610337731356,True,,h025_axis_tilt_moderate_v1,held_out,v1,normal
1,10.0,19.036491960287094,0.12136265851456954,0.5918830475983796,0.6489455699920654,0.6404668092727661,0.7035210728645325,True,1.6083333333227756,True,True,verified,12.10833333332232,18.396025151014328,False,13,13,0.09999999999990905,True,12.116666666655647,True,12.616666666655192,0.29999999999972715,False,False,,False,0.6784749627113342,0.0028387666679918766,0.9005140455869528,0.0015686587184273566,0.017011059448122978,0.000219521505641751,0.0476266466654264,0.00027645040245261043,4.875049591064453,0.0,3.888183887188251,0.0,0.6419424414634705,0.0,0.9946888433052943,0.0,0.04596032202243805,0.0,0.039657837353073634,0.0,0.0002776235342025757,0.0,0.03783359120671566,0.0,-0.5071810483932495,0.0,-0.4157010563291036,0.0,0.39351922273635864,0.0,0.5135889374292814,0.0,0.04595738276839256,0.0,0.03949957412595932,0.0,0.0002964068844448775,0.0,0.0014339414281913866,0.0,-0.00042702112114056945,0.0,-0.00031154489261098206,0.0,3.888183887188251,True,True,0.06562471389770508,0.4999337616027333,3.337557601182624,-0.045748598465252144,0.0017881393432617188,-0.5650409148074687,-3.404568355773088,0.017965651000575775,0.0674128532409668,-0.06510715320473537,-0.06701075459045909,-0.027782947464666245,0.5650437441904582,0.09371997748886313,3.4046157571372637,0.07254194235480008,11.858333333333333,12.108333333333333,True,1.8583333333333325,1.0,-0.0017881393432617188,0.5650409148074687,3.4045683557730797,-0.017965651000565686,-0.006258487701416016,0.47607383131980896,0.014722347259521484,-0.5269664688967168,-1.849358207618128,0.01608849592683903,0.0,0.00579573350170484,0.0008158057417648917,True,,h025_axis_tilt_moderate_v1,held_out,v2,normal
1,10.9,19.259659200906754,,0.6024537037037021,0.6579980254173279,0.6143376231193542,0.7162205874919891,True,1.6166666666552825,True,True,verified,13.016666666654828,18.6453215777874,False,13,13,0.09999999999990905,True,13.024999999988154,True,13.524999999987699,0.24166666666644687,False,False,,False,0.5551505088806152,0.003391943871974945,0.640170734662276,0.0033446688724395176,0.014506857842206955,0.00044614262878894806,0.022072997732231252,0.0005361481139866206,5.135339260101318,0.0,5.116400131812463,0.0,0.5448549389839172,0.0,0.6475975284209619,0.0,0.04784473031759262,0.0,0.04756031070764248,0.0,0.38992947340011597,0.0,0.382433037345226,0.0,0.040833741426467896,0.0,0.0025672184733244088,0.0,0.3783576786518097,0.0,0.42359644862321705,0.0,-0.0009719679364934564,0.0,-0.0004665686753399384,0.0,0.04783480986952782,0.0,0.04754274367139889,0.0,6.705450505251065e-05,0.0,0.00016482524090231612,0.0,5.116400131812463,True,True,-0.5211830139160156,5.345009412849322e-05,0.005984500084366573,3.292135233449386,0.5672574043273926,0.00406068647862412,-0.002084187116627663,-3.3721408161826942,0.04607439041137695,0.004114136572752614,0.0039003129677390946,-0.0800055827332977,0.5672719382614732,0.046257708238943755,3.3721414602595225,0.08010059743685348,12.766666666666666,13.016666666666666,True,1.8666666666666654,1.0,-0.5672574043273926,-0.00406068647862412,0.0020841871166226156,3.372140816182707,0.19109994173049927,0.6573724150657654,0.5286335945129395,-0.046378871047636494,-0.0012635301762636813,-1.8620657020598228,0.0,0.007047536890380657,0.00061933856061212,True,,h026_axis_tilt_moderate_v2,held_out,v2,terminal
1,11.0,19.476135820150375,,0.5813867187500001,0.6358325481414795,0.595632940530777,0.6787478923797607,True,1.5999999998166459,True,True,verified,13.09999999980937,18.8805028796196,False,13,13,0.09999999999854481,True,13.108333333142582,True,13.608333333135306,0.20833333333030168,False,False,,False,0.3700079321861267,0.003966165706515312,0.48669023238695586,0.004004759534906883,0.004322178196161985,0.0005854369373992085,0.007611937194059675,0.0008268931784326783,5.07721471786499,0.0,5.164081536806547,0.0,0.36319857835769653,0.0,0.4879425030488234,0.0,0.05020830035209656,0.0,0.051515535379831605,0.0,-0.3460598587989807,0.0,-0.3839966861101297,0.0,0.005124874413013458,0.0,0.004803212216267219,0.0,0.11013410985469818,0.0,0.2922826741750424,0.0,4.939863720210269e-05,0.0,0.00012165673307698363,0.0,-0.05020701885223389,0.0,-0.05150394829419943,0.0,-0.0003555189468897879,0.0,-0.00016903984718597852,0.0,5.164081536806547,True,True,0.5310773849487305,-0.005459512522065779,-0.0036619659085488365,-3.2454262723614704,-0.5663037300109863,0.008905244612833485,0.004437705459408177,3.3303299276600575,-0.03522634506225586,0.003445732090767706,0.0007757395508629048,0.08490365529857512,0.5663737441001043,0.035394469286690315,3.330332884307211,0.08490719907587363,12.85,13.1,True,1.8499999999999996,1.0,0.5663037300109863,-0.008905244612833485,-0.004437705459395147,-3.3303299276600455,-0.15342235565185547,0.8163605332374573,-0.5287528038024902,0.028199983717058785,0.002383822674903143,1.850281841488871,0.0,0.005874420175901973,0.0009680232184249549,True,,h027_axis_tilt_moderate_v3,held_out,v2,terminal
1,8.8,15.610864013433458,0.10057132455721056,0.6896296296296267,0.7920041680335999,0.64878910779953,0.7497258484363556,True,1.683333333323798,True,True,verified,10.983333333323344,14.962074905633928,False,13,13,0.09999999999990905,True,10.99166666665667,True,11.491666666656215,1.1999999999989086,True,False,False,False,1.1559600830078125,0.009659240953624249,1.5584650589869573,0.004789105374724246,0.03337091952562332,0.00026829325361177325,0.04042967688292265,0.0006190151213489186,15.115884780883789,0.0,14.169278218195988,0.0,1.0906468629837036,0.0,1.5939758099042451,0.0,0.10054931789636612,0.0,0.09827699397618954,0.0,-0.045847371220588684,0.0,0.06468836390055142,0.0,0.6370477080345154,0.0,0.5248136336986835,0.0,0.8840694427490234,0.0,1.423050921696883,0.0,-0.10054612904787064,0.0,-0.09825446972480187,0.0,-4.295539838494733e-06,0.0,5.589583256201317e-05,0.0,-0.0008005725685507059,0.0,-0.0003063173658469728,0.0,14.169278218195988,True,True,-0.04094839096069336,-0.552952493308112,-4.419695283420793,-0.030972702768252702,-0.0033974647521972656,0.6341635016724467,4.537023953552212,0.03989019131216229,-0.044345855712890625,0.0812110083643347,0.11732867013142899,0.008917488543911476,0.6341726023884994,0.09252990218551274,4.537199310419311,0.11766706606668015,10.733333333333333,10.983333333333333,True,1.9333333333333318,1.0,0.0033974647521972656,-0.6341635016724467,-4.537023953552222,-0.039890191312167644,0.14327839016914368,0.3769989311695099,0.008940696716308594,0.5344252567738295,2.4753094888221634,0.0209593148217022,0.0,0.005888668139680074,0.0009335648546066994,True,False,h028_axis_tilt_severe_v0,held_out,v1,normal
1,8.8,15.589875727891924,0.08824925753083347,0.7008448169849526,0.8032470941543579,0.670015811920166,0.7717534899711609,True,1.6916666666571238,True,True,verified,10.99166666665667,14.919859915971758,False,13,13,0.09999999999990905,True,10.999999999989996,True,11.49999999998954,1.2083333333322344,True,False,False,False,2.7665507793426514,0.0013939361087977886,1.611182873065655,0.0035221011449511233,0.06383265554904938,0.0003574597940314561,0.027555120679048393,0.000655293054968262,14.98403549194336,0.0,14.14935537484976,0.0,3.0086112022399902,0.0,1.6376384359139662,0.0,0.10833028703927994,0.0,0.10080357870230308,0.0,0.19220972061157227,0.0,0.06544117171030778,0.0,0.5604541301727295,0.0,0.5175206340276278,0.0,2.949692964553833,0.0,1.5144576109372652,0.0,-0.1082720011472702,0.0,-0.10075376870540473,0.0,0.003515998600050807,0.0,0.000428892136999191,0.0,0.000511734455358237,0.0,0.00013710877996905206,0.0,14.14935537484976,True,True,-0.028848648071289062,-0.5449778400361538,-4.4149430275828365,-0.04838619125484911,-0.0007152557373046875,0.6318377563729882,4.536431694730437,0.04705014568840122,-0.02956390380859375,0.08685991633683443,0.1214886671475893,-0.0013360455664439695,0.6318381612163207,0.09175330770302323,4.53667568128516,0.1214960133627987,10.741666666666667,10.991666666666667,True,1.9416666666666664,1.0,0.0007152557373046875,-0.6318377563729882,-4.536431694730425,-0.047050145688388056,0.11569634079933167,0.37552034854888916,0.015556812286376953,0.5349535495042801,2.481479685574367,0.012637473777993317,0.0,0.006180765071453957,0.0009889334099940383,True,False,h028_axis_tilt_severe_v0,held_out,v2,normal
1,9.1,16.626936942338943,0.09442063575586429,0.5813867187500001,0.672362744808197,0.6386935710906965,0.7026419043540937,True,1.5999999999902688,True,True,verified,11.199999999989814,15.988243371248247,False,13,13,0.09999999999990905,True,11.20833333332314,True,11.708333333322685,0.983333333332439,True,False,False,False,2.778191089630127,0.0031005945056676865,1.7205162644386292,0.0041706053396830195,0.05733785033226013,0.00027736846823245287,0.07787858007045892,0.00041003450818467315,17.535276412963867,0.0,16.614330731905422,0.0,3.091780424118042,0.0,1.90637501844993,0.0,0.13564488291740417,0.0,0.1306053365652378,0.0,0.5375170111656189,0.0,0.07523779914929317,0.0,-0.4201837182044983,0.0,-0.5604501905349585,0.0,3.015564203262329,0.0,1.3385017560078547,0.0,0.13516980409622192,0.0,0.1305176134292896,0.0,0.011262774467468262,0.0,0.0006860311393840954,0.0,-0.0013442379422485828,0.0,4.768930571467186e-05,0.0,16.614330731905422,True,True,0.07861852645874023,0.5242773477220908,4.150290817339084,-0.057881029947196794,-0.003516674041748047,-0.641245162114501,-4.293789642914493,0.0237817787406643,0.07510185241699219,-0.11696781439241022,-0.14349882557542162,-0.03409925120652168,0.6412548049968659,0.13900272601715769,4.293855501830475,0.14749465032458212,10.95,11.2,True,1.8499999999999996,1.0,0.003516674041748047,0.641245162114501,4.293789642914504,-0.02378177874066978,0.04358217120170593,0.5331583023071289,-0.005424022674560547,-0.5344115197658539,-2.356023610452024,0.013366618757103705,0.0,0.0061888283906647796,0.000905624760959584,True,False,h029_axis_tilt_severe_v1,held_out,v1,normal
1,9.1,16.643935441970825,0.10663187498757488,0.5918830475983796,0.682443380355835,0.6419457495212555,0.7109008729457837,True,1.6083333333235945,True,True,verified,11.20833333332314,16.00198969244957,False,13,13,0.09999999999990905,True,11.216666666656465,True,11.71666666665601,0.983333333332439,True,False,False,False,0.5769352316856384,0.0028049962129443884,1.6785210050069368,0.0020946563543895115,0.1130659356713295,0.000315524113830179,0.07629441441251682,0.00030601595286638115,17.625751495361328,0.0,16.88334846496582,0.0,0.6107696890830994,0.0,1.8461209581448481,0.0,0.13056248426437378,0.0,0.1308174104644702,0.0,0.01730307936668396,0.0,0.043035770838077254,0.0,-0.5732751488685608,0.0,-0.5851897826561561,0.0,-0.2099900245666504,0.0,1.238119405049544,0.0,0.13055065274238586,0.0,0.13077067526487204,0.0,-0.0017443887190893292,0.0,-0.0008132242073770612,0.0,-0.000213864870602265,0.0,0.0003819794485305185,0.0,16.88334846496582,True,True,0.06020069122314453,0.5253752387943678,4.144381820281495,-0.03186014663316428,0.0002384185791015625,-0.6431769579648972,-4.2880901021108055,0.012330203104631555,0.060439109802246094,-0.1178017191705294,-0.14370828182930923,-0.019529943528528746,0.6431770021544597,0.1324014011754416,4.288107829536154,0.14502926932367718,10.958333333333334,11.208333333333334,True,1.8583333333333343,1.0,-0.0002384185791015625,0.6431769579648972,4.2880901021108,-0.01233020310462507,0.01940131187438965,0.6440930962562561,-0.0033974647521972656,-0.5352332955226302,-2.356631602793314,0.01665066861952077,0.0,0.006644966403165689,0.0009193481035673848,True,False,h029_axis_tilt_severe_v1,held_out,v2,normal
1,10.0,19.018416851758957,0.1611239668252831,0.623815827546295,0.6825178861618042,0.7221400737762451,0.7431469857692719,True,1.5666666666561468,True,True,verified,12.141666666655624,18.296276777982712,False,13,13,0.09999999999990905,True,12.14999999998895,True,12.649999999988495,0.29999999999972715,False,False,,False,0.5012803077697754,0.001328223035670817,1.0210664914204524,0.0030272227013483644,0.02700161747634411,0.0003645877295639366,0.04915075433941988,0.0005490697557643915,2.7060227394104004,0.0,3.3760442917163553,0.0,0.45434945821762085,0.0,1.2291716704001794,0.0,0.02608884498476982,0.0,0.03548957457622656,0.0,-0.09106121957302094,0.0,-0.1375716678225077,0.0,0.19852305948734283,0.0,0.3434555009007454,0.0,0.3984091877937317,0.0,0.5950893175143462,0.0,-0.024284303188323975,0.0,-0.033774738844770655,0.0,-0.009438462555408478,0.0,-0.009902664191591052,0.0,0.001347558107227087,0.0,0.0011922331692543454,0.0,3.3760442917163553,True,True,0.27889013290405273,-0.5176716458663577,-3.1343586948952407,-1.2961359186066659,-0.21147727966308594,0.518120767083019,3.178406150894407,1.2977862152941877,0.0674128532409668,0.0004491212166612968,0.04404745599915698,0.001650296687512555,0.5596175203622517,0.06741434930306295,3.433149388047513,0.04407836044086129,11.891666666666666,12.141666666666666,True,1.8916666666666657,1.0,0.21147727966308594,-0.518120767083019,-3.1784061508944035,-1.2977862152941952,0.03477558493614197,0.31299281120300293,-0.0896453857421875,0.5201040767133236,1.7233250957789568,0.7048627168477433,0.0,0.005625664471433713,0.0009172687020439368,True,,h032_oblique_tilt_moderate_v0,held_out,v1,normal
1,10.0,19.02320757508278,0.19210594287829183,0.6346062102141197,0.693105161190033,0.7366389036178589,0.7500648498535156,True,1.6416666666560786,True,True,verified,12.141666666655624,18.28656867146492,False,13,13,0.09999999999990905,True,12.14999999998895,True,12.649999999988495,0.29999999999972715,False,False,,False,1.2344642877578735,0.0017799591878429055,1.0822417873602648,0.0023240356419522027,0.047674085944890976,0.0003816834941972047,0.04935830713321383,0.0005218105730958856,2.5231220722198486,0.0,4.331408280592698,0.0,1.7116639614105225,0.0,1.3112715620260973,0.0,0.005522241350263357,0.0,0.04115503134492498,0.0,0.4754329323768616,0.0,-0.10404420013611133,0.0,-1.158473014831543,0.0,0.3195515080140187,0.0,1.1669179201126099,0.0,0.6196297521774585,0.0,-0.005373191088438034,0.0,-0.038446094697484605,0.0,-0.001272992230951786,0.0,-0.014209557145547409,0.0,-5.881725519429892e-05,0.0,0.0007622134994912463,0.0,4.331408280592698,True,True,0.2678036689758301,-0.524376455359743,-3.1288938028217785,-1.2862308778996976,-0.21094083786010742,0.5223935004323721,3.175410846550272,1.2944698348904997,0.056862831115722656,-0.0019829549273708835,0.046517043728505555,0.008238956990804578,0.5633746589713731,0.05689739601017942,3.4291232403969607,0.04724103903954723,11.891666666666666,12.141666666666666,True,1.8916666666666657,1.0,0.21094083786010742,-0.5223935004323721,-3.175410846550278,-1.2944698348904922,0.009469687938690186,0.2493293434381485,-0.10883808135986328,0.5147235933691263,1.7248629745002582,0.7092023877332593,0.0,0.00603209541609081,0.0009771496451531465,True,,h032_oblique_tilt_moderate_v0,held_out,v2,normal
