case_id,family,group_id,split,severity,detector,shadow_alert_on_success,first_shadow_alert_s,shadow_branch,actual_intervention_on_nominal_success,actual_interventions,controlled_success,controlled_safety_stop,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h016_oblique_offset_moderate_v0,oblique_offset,h016_oblique_offset_moderate_v0,held_out,moderate,v1,False,,,False,0,True,False,False,9.716666666790388,0.006198059936615002,0.003354256632274902,0.0029296535980092957,False,1167,108
h016_oblique_offset_moderate_v0,oblique_offset,h016_oblique_offset_moderate_v0,held_out,moderate,v2,False,,,False,0,True,False,True,9.716666666790388,0.0,0.0,0.0,True,1167,0
h017_oblique_offset_moderate_v1,oblique_offset,h017_oblique_offset_moderate_v1,held_out,moderate,v1,False,,,False,0,True,False,False,9.716666666790388,0.01505174702571981,0.0035407523776967136,0.0021226338716050764,False,1167,61
h017_oblique_offset_moderate_v1,oblique_offset,h017_oblique_offset_moderate_v1,held_out,moderate,v2,False,,,False,0,True,False,True,9.733333333457267,0.0,0.0,0.0,True,1169,0
h018_oblique_offset_moderate_v2,oblique_offset,h018_oblique_offset_moderate_v2,held_out,moderate,v1,False,,,False,0,True,False,False,9.733333333457267,0.03954049014494398,0.02190032548715808,0.011686663910274864,False,1169,190
h018_oblique_offset_moderate_v2,oblique_offset,h018_oblique_offset_moderate_v2,held_out,moderate,v2,False,,,False,0,True,False,True,9.733333333457267,0.0,0.0,0.0,True,1169,0
h019_oblique_offset_moderate_v3,oblique_offset,h019_oblique_offset_moderate_v3,held_out,moderate,v1,False,,,False,0,True,False,False,9.791666666791343,0.017886873356932176,0.011683853392923074,0.0043568370618017604,False,1176,215
h019_oblique_offset_moderate_v3,oblique_offset,h019_oblique_offset_moderate_v3,held_out,moderate,v2,False,,,False,0,True,False,True,9.791666666791343,0.0,0.0,0.0,True,1176,0
h020_oblique_offset_severe_v0,oblique_offset,h020_oblique_offset_severe_v0,held_out,severe,v1,False,,,False,0,True,False,True,9.983333333188057,0.0,0.0,0.0,True,1199,0
h020_oblique_offset_severe_v0,oblique_offset,h020_oblique_offset_severe_v0,held_out,severe,v2,False,,,False,0,True,False,False,9.974999999854845,0.04302867090343823,0.0044289784194692,0.00446551620670301,False,1198,119
