case_id,repeat,policy_a,policy_b,prefix_time_s,prefix_matched,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,success_delta,final_depth_delta_mm
x_positive_combined,0,nominal,fixed,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,0,-0.005904585123062134
x_positive_combined,0,nominal,verified,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,0,-0.08848309516906738
x_positive_combined,0,fixed,verified,9.39999999999145,True,0.0,0.0,0.0,0,-0.08257851004600525
x_positive_combined,1,nominal,fixed,9.39999999999145,True,0.0,0.0,0.0,0,-0.0025816261768341064
x_positive_combined,1,nominal,verified,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,0,-0.10714679956436157
x_positive_combined,1,fixed,verified,9.39999999999145,False,0.011727737210246465,0.017726916277257216,0.0024525212822460846,0,-0.10456517338752747
y_negative_tilt,0,nominal,fixed,9.299999999999471,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,0,-0.04538148641586304
y_negative_tilt,0,nominal,verified,9.299999999999471,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,0,0.007402151823043823
y_negative_tilt,0,fixed,verified,9.299999999999475,True,0.0,0.0,0.0,0,0.05278363823890686
y_negative_tilt,1,nominal,fixed,9.299999999991542,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,0,0.05967915058135986
y_negative_tilt,1,nominal,verified,9.299999999991542,True,0.0,0.0,0.0,0,0.041406601667404175
y_negative_tilt,1,fixed,verified,9.299999999991542,False,0.009601932747098696,0.0069210300045461646,0.0033465932856818546,0,-0.01827254891395569
y_positive_combined,0,nominal,fixed,8.800000000007003,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,0,-0.016067177057266235
y_positive_combined,0,nominal,verified,8.800000000007003,True,0.0,0.0,0.0,0,-0.03454461693763733
y_positive_combined,0,fixed,verified,8.799999999991996,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,0,-0.018477439880371094
y_positive_combined,1,nominal,fixed,8.799999999991996,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,0,0.01179426908493042
y_positive_combined,1,nominal,verified,8.799999999991996,False,0.014678703221009032,0.00673324395277388,0.004125437330290439,0,-0.01872330904006958
y_positive_combined,1,fixed,verified,8.799999999991996,True,0.0,0.0,0.0,0,-0.030517578125
x_positive_drift_control,0,nominal,fixed,9.858333333341179,True,0.0,0.0,0.0,0,0.0
x_positive_drift_control,0,nominal,verified,9.850000000007839,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,0.026695430278778076
x_positive_drift_control,0,fixed,verified,9.850000000007839,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,0.026695430278778076
x_positive_drift_control,1,nominal,fixed,9.849999999991041,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,-0.026695430278778076
x_positive_drift_control,1,nominal,verified,9.849999999991041,False,0.029824889047238887,0.008334250941690144,0.028820853352843612,0,-0.026695430278778076
x_positive_drift_control,1,fixed,verified,9.858333333324367,True,0.0,0.0,0.0,0,0.0
