trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s,folder,status,insertion_success,max_force,max_torque,max_normal_load,max_penetration,max_depth,stalled,force_budget_exceeded,torque_budget_exceeded,numerically_valid,outcome_trustworthy,grasp_retained,max_grasp_slip_mm,max_grasp_slip_deg,max_wrist_force_n,max_wrist_torque_nm
slot000_try00,0,0,centered,0.0,0.0,0.0,0.0,8.0,slot000_try00,complete,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
slot001_try00,1,0,x_offset,0.3039486539059133,0.0,0.0,0.0,8.0,slot001_try00,complete,True,0.0,0.0,0.0,0.0,20.11055275797844,False,False,False,True,True,True,0.020559329641400836,0.08846931922527276,0.015319472178816795,0.009383229538798332
slot007_try00,7,0,x_offset,-0.31557941704712866,0.0,0.0,0.0,8.0,slot007_try00,complete,True,0.0,0.0,0.0,0.0,20.11108174920082,False,False,False,True,True,True,0.021264038878143765,0.07912936237050427,0.01293968129903078,0.00945309642702341
slot002_try00,2,0,y_offset,0.0,0.6605899687582676,0.0,0.0,8.0,slot002_try00,complete,True,4.208110809326172,0.016996150836348534,3.3664886951446533,0.004099360921827611,19.954269379377365,False,False,False,True,True,True,0.023770158804836683,0.07912936237050427,3.6774349212646484,0.09472645074129105
slot008_try00,8,0,y_offset,0.0,-0.7041972873151184,0.0,0.0,8.0,slot008_try00,complete,True,4.428832054138184,0.017299102619290352,3.543069362640381,0.00784983694757102,20.05757912993431,False,False,False,True,True,True,0.022818143406766467,0.07912936237050427,3.841381788253784,0.1113630086183548
slot003_try00,3,0,diagonal_offset,0.27273013231602994,0.27273013231602994,0.0,0.0,8.0,slot003_try00,complete,True,0.0,0.0,0.0,0.0,20.110366493463516,False,False,False,True,True,True,0.021376748918555677,0.07912936237050427,0.013379126787185669,0.009400038048624992
slot015_try00,15,0,diagonal_offset,-0.17153309124229213,-0.17153309124229213,0.0,0.0,8.0,slot015_try00,complete,True,0.0,0.0,0.0,0.0,20.11067569255829,False,False,False,True,True,True,0.023359019905910827,0.08846931922527276,0.01423898059874773,0.009504146873950958
slot004_try00,4,0,tilt_only,0.0,0.0,1.8569474624764788,0.0,8.0,slot004_try00,complete,True,0.9892199039459229,0.017244977876544,0.9021565318107605,0.01455602887290297,20.081543922424316,False,False,False,True,True,True,0.024197353923227638,0.07912936237050427,0.7683205008506775,0.053836673498153687
slot010_try00,10,0,tilt_only,0.0,0.0,0.0,2.473337772952688,8.0,slot010_try00,complete,True,1.7381800413131714,0.03451027721166611,1.4905369281768799,0.02148575549654197,19.948167353868484,False,False,False,True,True,True,0.021694941096939147,0.07912936237050427,1.4830663204193115,0.12022068351507187
slot016_try00,16,0,tilt_only,0.0,0.0,-2.0016020431181625,0.0,8.0,slot016_try00,complete,True,2.2504448890686035,0.03917570412158966,1.800327181816101,0.024447715986752883,19.987621903419495,False,False,False,True,True,True,0.022759471903555095,0.08846931922527276,1.808410882949829,0.09370880573987961
slot022_try00,22,0,tilt_only,0.0,0.0,0.0,-1.0376554981895476,8.0,slot022_try00,complete,True,0.0,0.0,0.0,0.0,20.11333554983139,False,False,False,True,True,True,0.02242627670057118,0.07912936237050427,0.01526280865073204,0.00798615999519825
slot005_try00,5,0,offset_tilt,0.4964073235143819,0.4964073235143819,1.1025624757802235,0.0,8.0,slot005_try00,complete,True,3.4478776454925537,0.013540387153625488,2.8367910385131836,0.008799974239082076,20.08238211274147,False,False,False,True,True,True,0.024540106096537784,0.09691328065893987,3.099259376525879,0.07515627890825272
slot065_try00,65,0,offset_tilt,-0.4500321730891733,-0.4500321730891733,-0.9378742213873645,0.0,8.0,slot065_try00,complete,True,3.051779270172119,0.012022672221064568,2.4417195320129395,0.004295989128877409,19.976390153169632,False,False,False,True,True,True,0.02262472298752982,0.07912936237050427,2.5962939262390137,0.10825487226247787
