trajectory_id,folder,family,policy,depth_mm,replay_matched,checkpoint_kind,checkpoint_id,label_eligible,safe_recovery,reason,numerically_valid,grasp_retained,cleared,force_budget_exceeded,torque_budget_exceeded,max_force,max_torque,max_wrist_force_n,max_wrist_torque_nm,max_normal_load,max_penetration,recovery_work_j,clear_time_s,duration_s,force_axis_frame,wrist_axial_signal,retreat_contact_resistance_definition,moving_average_support_s,stop_observed,stop_sample_count,stop_duration_s,stop_peak_wrist_force_n,stop_peak_wrist_torque_nm,stop_peak_wrist_world_z_abs_n,stop_peak_contact_force_n,stop_peak_contact_downward_resistance_n,stop_peak_wrist_force_mean100ms_n,stop_peak_wrist_world_z_abs_mean100ms_n,stop_peak_contact_downward_resistance_mean100ms_n,stop_contact_resistive_work_j,realign_observed,realign_sample_count,realign_duration_s,realign_peak_wrist_force_n,realign_peak_wrist_torque_nm,realign_peak_wrist_world_z_abs_n,realign_peak_contact_force_n,realign_peak_contact_downward_resistance_n,realign_peak_wrist_force_mean100ms_n,realign_peak_wrist_world_z_abs_mean100ms_n,realign_peak_contact_downward_resistance_mean100ms_n,realign_contact_resistive_work_j,retreat_observed,retreat_sample_count,retreat_duration_s,retreat_peak_wrist_force_n,retreat_peak_wrist_torque_nm,retreat_peak_wrist_world_z_abs_n,retreat_peak_contact_force_n,retreat_peak_contact_downward_resistance_n,retreat_peak_wrist_force_mean100ms_n,retreat_peak_wrist_world_z_abs_mean100ms_n,retreat_peak_contact_downward_resistance_mean100ms_n,retreat_contact_resistive_work_j,clear_hold_observed,clear_hold_sample_count,clear_hold_duration_s,clear_hold_peak_wrist_force_n,clear_hold_peak_wrist_torque_nm,clear_hold_peak_wrist_world_z_abs_n,clear_hold_peak_contact_force_n,clear_hold_peak_contact_downward_resistance_n,clear_hold_peak_wrist_force_mean100ms_n,clear_hold_peak_wrist_world_z_abs_mean100ms_n,clear_hold_peak_contact_downward_resistance_mean100ms_n,clear_hold_contact_resistive_work_j,retreat_start_depth_mm,retreat_end_depth_mm,retreat_actual_withdrawal_mm,retreat_commanded_withdrawal_mm,retreat_max_depth_tracking_error_mm,termination_reason,recovery_censored,termination_phase,replay_error_position_mm,replay_error_orientation_deg,replay_error_joint_rad,replay_error_joint_velocity_rad_s,replay_error_linear_velocity_m_s,replay_error_angular_velocity_rad_s,replay_error_force_n,replay_error_torque_nm,replay_error_normal_load_n,replay_error_min_separation_mm,replay_error_wrist_torque_nm,replay_error_finger_position,replay_error_finger_velocity,replay_error_grasp_position,replay_error_hand_pose,replay_error_wrist_raw_child,replay_error_grasp_quat_angle_deg,replay_error_hand_pose_angle_deg,sample_role,split_group_id,path_group_id,final_pitch_deg,case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,tilt_ramp_duration_s
g0200_d50_pitch_pos20_try00,g0200_d50_pitch_pos20_try00,tilt_only,straight,15.457151085138323,False,first_stall,first_stall,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009447110315118447,0.03570168808597946,0.00025391578674316406,0.005617724498733878,0.0014721403807486445,0.23057640031002777,0.42271741488383074,0.0029184621247987635,0.2908926010131836,0.004243504008627497,0.01053744088858366,9.408686310052872e-06,8.206989150494337e-07,1.0434887371957302e-05,1.2675722246058285e-05,0.2588251680135727,0.03473251974420609,0.01101873944009428,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos20,2.0,g0200_d50_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,2.0,1,pitch,1.0
g0200_d50_pitch_pos20_try00,g0200_d50_pitch_pos20_try00,tilt_only,realign,15.457151085138323,False,first_stall,first_stall,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009447110315118447,0.03570168808597946,0.00025391578674316406,0.005617724498733878,0.0014721403807486445,0.23057640031002777,0.42271741488383074,0.0029184621247987635,0.2908926010131836,0.004243504008627497,0.01053744088858366,9.408686310052872e-06,8.206989150494337e-07,1.0434887371957302e-05,1.2675722246058285e-05,0.2588251680135727,0.03473251974420609,0.01101873944009428,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos20,2.0,g0200_d50_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,2.0,1,pitch,1.0
g0200_d50_pitch_pos20_try00,g0200_d50_pitch_pos20_try00,tilt_only,straight,15.470618009567263,True,terminal,terminal,True,False,grasp_retention_limit,True,False,False,False,False,2.0984723567962646,0.058735303580760956,2.187817096710205,0.07440132647752762,8.510663986206055,0.04666238237405196,0.0009422627672999321,,0.03333333333333333,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,5,0.03333333333333333,2.187817096710205,0.07440132647752762,2.183361530303955,2.0984723567962646,0.9262790679931641,,,,0.0009422627672999321,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,grasp_retention_limit,True,stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos20,2.0,g0200_d50_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,2.0,1,pitch,1.0
g0200_d50_pitch_pos20_try00,g0200_d50_pitch_pos20_try00,tilt_only,realign,15.470618009567263,False,terminal,terminal,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005256273607377136,0.02678274903216879,9.34600830078125e-05,0.008214851375669241,0.0010259856304056668,0.20638270136573136,0.8502827849604696,0.010417338323709663,1.7483301162719727,0.0013300450518727303,0.06792940199375153,1.4136545360088348e-05,3.7989229895174503e-07,9.370822226628661e-06,5.9604644775390625e-06,0.5228188037872314,0.024949520472747917,0.003710147817929072,gap_tilt_characterization,g0200_d50_pitch,g0200_d50_pitch_pos20,2.0,g0200_d50_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,2.0,1,pitch,1.0
g0200_d70_pitch_pos05_try00,g0200_d70_pitch_pos05_try00,tilt_only,straight,20.038297027349472,False,terminal,terminal,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0060083574544948165,0.0016691377411573408,1.6123056411743164e-05,0.00017214147374033928,0.0003381644501246348,0.028811359802726505,0.0,0.0,0.0,0.0,0.0003041480667889118,5.32250851392746e-07,1.40658812597394e-07,8.977804100140929e-07,4.410743713378906e-06,0.0012364116410026327,0.0011786480472258415,0.0012722212855248347,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos05,0.5,g0200_d70_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,0.5,1,pitch,1.0
g0200_d70_pitch_pos05_try00,g0200_d70_pitch_pos05_try00,tilt_only,realign,20.038297027349472,True,terminal,terminal,True,True,cleared,True,True,True,False,False,0.00030297983903437853,1.3989998706165352e-06,0.09235253185033798,0.009944402612745762,0.0,0.0,1.2268995508435412e-08,6.483333333333333,6.483333333333333,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,31,0.25,0.01753377728164196,0.009944402612745762,0.008095486089587212,0.0,0.0,0.004127868325061475,0.002747282802981014,0.0,0.0,True,240,2.0,0.09235253185033798,0.0055403639562428,0.007134951651096344,0.00030297983903437853,0.00015453662490472198,0.0200583262485452,0.004128532057317595,1.5204547101651164e-05,6.249262766525969e-09,True,508,4.233333333333333,0.01537045743316412,0.00373191200196743,0.009910463355481625,0.00018007575999945402,0.0001782762847142294,0.008685606570603946,0.007451206639719506,1.560385726406821e-05,6.019732741909441e-09,False,0,0.0,,,,,,,,,,20.055057108402252,-3.3006504178047167,23.35570752620697,23.759170117914646,0.5866375977330005,cleared,False,retreat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos05,0.5,g0200_d70_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,0.5,1,pitch,1.0
g0200_d70_pitch_pos20_try00,g0200_d70_pitch_pos20_try00,tilt_only,straight,17.483526468276978,False,first_stall,first_stall,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031017917119272303,0.027499013319088914,0.00011754035949707031,0.0033224057406187057,0.0007671558401716722,0.10454729708600974,0.3902084981001204,0.010092375553759915,0.524592399597168,0.0013300596037879586,0.019250737270340323,1.5018973499536514e-05,4.0297163650393486e-07,1.1292759154457599e-05,2.9258430004119873e-05,0.25099984649568796,0.026477685157383784,0.003681617687509332,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0
g0200_d70_pitch_pos20_try00,g0200_d70_pitch_pos20_try00,tilt_only,realign,17.483526468276978,True,first_stall,first_stall,True,False,grasp_retention_limit,True,False,False,False,False,1.0066454410552979,0.06986801326274872,1.0175427198410034,0.024693801999092102,8.253311157226562,0.048879133828449994,0,,0.0,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,1,0.0,1.0175427198410034,0.024693801999092102,0.9883699417114258,1.0066454410552979,0.0,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,grasp_retention_limit,True,stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0
g0200_d70_pitch_pos20_try01,g0200_d70_pitch_pos20_try01,tilt_only,straight,17.483526468276978,False,first_stall,first_stall,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031017917119272303,0.027499013319088914,0.00011754035949707031,0.0033224057406187057,0.0007671558401716722,0.10454729708600974,0.3902084981001204,0.010092375553759915,0.524592399597168,0.0013300596037879586,0.019250737270340323,1.5018973499536514e-05,4.0297163650393486e-07,1.1292759154457599e-05,2.9258430004119873e-05,0.25099984649568796,0.026477685157383784,0.003681617687509332,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0
g0200_d70_pitch_pos20_try01,g0200_d70_pitch_pos20_try01,tilt_only,realign,17.483526468276978,True,first_stall,first_stall,True,False,grasp_retention_limit,True,False,False,False,False,1.0066454410552979,0.06986801326274872,1.0175427198410034,0.024693801999092102,8.253311157226562,0.048879133828449994,0,,0.0,world_z_equals_fixed_hole_axis,absolute_raw_wrist_force_world_z_uncalibrated,"max(0,-world_contact_fz)",0.1,True,1,0.0,1.0175427198410034,0.024693801999092102,0.9883699417114258,1.0066454410552979,0.0,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,False,0,0.0,,,,,,,,,,,,,,,grasp_retention_limit,True,stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gap_tilt_characterization,g0200_d70_pitch,g0200_d70_pitch_pos20,2.0,g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,1.0
