trajectory_id,checkpoint_id,checkpoint_kind,checkpoint_depth_mm,depth_mm,reached,parent_numerically_valid,parent_complete,Y_R_tested,label_reason,parent_insertion_success,parent_stalled,tilt_deg,command_tilt_deg,wrist_force_n,case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,tilt_ramp_duration_s,straight_probe_present,straight_label_eligible,straight_replay_matched,straight_safe_recovery,straight_reason,straight_termination_reason,straight_recovery_censored,straight_termination_phase,straight_numerically_valid,straight_grasp_retained,straight_cleared,straight_force_budget_exceeded,straight_torque_budget_exceeded,straight_max_wrist_force_n,straight_max_wrist_torque_nm,straight_duration_s,straight_clear_time_s,straight_stop_peak_wrist_force_n,straight_realign_peak_wrist_force_n,straight_retreat_peak_wrist_force_n,straight_retreat_peak_wrist_force_mean100ms_n,straight_retreat_peak_wrist_world_z_abs_n,straight_retreat_peak_wrist_world_z_abs_mean100ms_n,straight_retreat_peak_contact_downward_resistance_n,straight_retreat_actual_withdrawal_mm,straight_retreat_commanded_withdrawal_mm,straight_retreat_contact_resistive_work_j,realign_probe_present,realign_label_eligible,realign_replay_matched,realign_safe_recovery,realign_reason,realign_termination_reason,realign_recovery_censored,realign_termination_phase,realign_numerically_valid,realign_grasp_retained,realign_cleared,realign_force_budget_exceeded,realign_torque_budget_exceeded,realign_max_wrist_force_n,realign_max_wrist_torque_nm,realign_duration_s,realign_clear_time_s,realign_stop_peak_wrist_force_n,realign_realign_peak_wrist_force_n,realign_retreat_peak_wrist_force_n,realign_retreat_peak_wrist_force_mean100ms_n,realign_retreat_peak_wrist_world_z_abs_n,realign_retreat_peak_wrist_world_z_abs_mean100ms_n,realign_retreat_peak_contact_downward_resistance_n,realign_retreat_actual_withdrawal_mm,realign_retreat_commanded_withdrawal_mm,realign_retreat_contact_resistive_work_j,paired_label_eligible,paired_measured
g0200_d30_pitch_pos20_try00,pre_tilt,pre_tilt,6.012180447578432,6.012180447578432,True,True,True,,event_recorded_without_recovery_probe,False,True,0.019782341029446364,0.0,0.0011723885545507073,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0200_d30_pitch_pos20_try00,ramp_complete,ramp_complete,11.088991165161135,11.088991165161135,True,True,True,,event_recorded_without_recovery_probe,False,True,1.39661740809827,2.0,0.3050590455532074,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0200_d30_pitch_pos20_try00,first_stall,first_stall,-9.744337201118467,-9.744337201118467,True,True,True,1,safe_policy_witness,False,True,0.048456642643301504,0.0,0.015878872945904732,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0,True,True,True,True,cleared,cleared,False,stop,True,True,True,False,False,0.01875825971364975,0.014742710627615452,0.19583333333333333,0.19583333333333333,0.01875825971364975,,,,,,,,,,True,True,True,True,cleared,cleared,False,stop,True,True,True,False,False,0.01875825971364975,0.014742710627615452,0.19583333333333333,0.19583333333333333,0.01875825971364975,,,,,,,,,,True,True
g0200_d30_pitch_pos20_try00,terminal,terminal,13.64247649908066,13.64247649908066,True,True,True,1,safe_policy_witness,False,True,1.9557471942613267,2.0,3.6984782218933105,g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,1.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,5.769191741943359,0.22066257894039154,4.216666666666667,4.216666666666667,5.2544941902160645,,5.769191741943359,1.747914665999512,5.573286533355713,1.7282305741682649,6.465572834014893,16.91175252199173,17.337094501106197,0.007255913815394128,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,5.2544941902160645,0.22066257894039154,6.175,6.175,5.2544941902160645,3.9224905967712402,0.8422262072563171,0.06956419977359474,0.5197785496711731,0.0415278214107578,0.18775272369384766,16.592923551797867,17.115302496360727,4.857189708738891e-06,True,True
