name,requested_x_offset_mm,csv,status,samples,stock_success_observed,max_depth_mm,max_contact_force_n,max_contact_torque_nm,max_normal_load_n,max_wrist_force_n,max_penetration_mm,final_depth_mm,numerically_valid,Y_R_tested
centered,0.0,centered.csv,complete,2400,False,-0.014199316501616044,9.992082595825195,0.03260809928178787,9.733427047729492,9.326542854309082,0.01074105966836214,-1.1439755558967577,,
x_positive,0.1,x_positive.csv,complete,2400,False,0.0313088297843947,10.330147743225098,0.03545751795172691,10.161096572875977,10.128721237182617,0.019305538444314152,-9.608524292707441,,
x_negative,-0.1,x_negative.csv,complete,2400,False,-0.0030308961868272255,8.834501266479492,0.031576626002788544,8.774046897888184,8.509861946105957,0.01440316282241838,-0.04587173461913924,,
