time_s,phase,depth_mm,peg_x_mm,peg_y_mm,force_norm_n,torque_norm_nm,normal_load_n,penetration_mm,contact_count,stock_success,wrist_force_norm_n,wrist_torque_norm_nm,contact_force_world_n_0,contact_force_world_n_1,contact_force_world_n_2,contact_torque_about_peg_base_world_nm_0,contact_torque_about_peg_base_world_nm_1,contact_torque_about_peg_base_world_nm_2,wrist_raw_child_joint_0,wrist_raw_child_joint_1,wrist_raw_child_joint_2,wrist_raw_child_joint_3,wrist_raw_child_joint_4,wrist_raw_child_joint_5,forge_filtered_observation_0,forge_filtered_observation_1,forge_filtered_observation_2,forge_filtered_observation_3,forge_filtered_observation_4,forge_filtered_observation_5,forge_noisy_force_n_0,forge_noisy_force_n_1,forge_noisy_force_n_2,peg_pose_world_0,peg_pose_world_1,peg_pose_world_2,peg_pose_world_3,peg_pose_world_4,peg_pose_world_5,peg_pose_world_6,peg_velocity_world_0,peg_velocity_world_1,peg_velocity_world_2,peg_velocity_world_3,peg_velocity_world_4,peg_velocity_world_5,joint_position_rad_0,joint_position_rad_1,joint_position_rad_2,joint_position_rad_3,joint_position_rad_4,joint_position_rad_5,joint_position_rad_6,joint_velocity_rad_s_0,joint_velocity_rad_s_1,joint_velocity_rad_s_2,joint_velocity_rad_s_3,joint_velocity_rad_s_4,joint_velocity_rad_s_5,joint_velocity_rad_s_6,smoothed_action_0,smoothed_action_1,smoothed_action_2,smoothed_action_3,smoothed_action_4,smoothed_action_5,smoothed_action_6,requested_action_0,requested_action_1,requested_action_2,requested_action_3,requested_action_4,requested_action_5,requested_action_6,controller_dead_zone_0,controller_dead_zone_1,controller_dead_zone_2,controller_dead_zone_3,controller_dead_zone_4,controller_dead_zone_5
0.008333333333333304,approach,-24.348734319210052,-6.870740093290806,16.833841800689697,0.0,0.0,0.0,-0.0,0,False,0.028356974944472313,0.002328056376427412,0.0,0.0,0.0,0.0,0.0,0.0,-0.016346585005521774,0.00041678445995785296,-0.023167507722973824,-0.00035136862425133586,0.002270806347951293,-0.0003739323001354933,-0.004086646251380444,0.00010419611498946324,-0.005791876930743456,-4.357397119747475e-05,0.0038052464369684458,-6.647435657214373e-05,-0.6433464884757996,-0.010257231071591377,-1.6056421995162964,0.6058398485183716,-0.02575889602303505,0.10147568583488464,0.13203157484531403,-3.839355485979468e-06,0.0003910045197699219,0.9912453889846802,-0.003209012560546398,0.000515380990691483,0.006216811016201973,0.2075349986553192,-0.09578623622655869,-0.03765000030398369,-0.28253328800201416,0.4407266676425934,0.24796314537525177,-1.9963148832321167,-0.15871860086917877,2.419062852859497,1.112302541732788,-1.1730564832687378,0.11130432039499283,1.2191680669784546,0.003216481301933527,-0.7957713007926941,-0.06787806749343872,0.5252354741096497,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.016666666666666607,approach,-24.374327063560486,-6.8422360345721245,16.85222238302231,0.0,0.0,0.0,-0.0,0,False,0.027422312647104263,0.004753496963530779,0.0,0.0,0.0,0.0,0.0,0.0,-0.009176730178296566,0.004862149246037006,-0.02537972293794155,-0.0001648481993470341,0.004718931391835213,-0.0005479442770592868,-0.005359167233109474,0.0012936843559145927,-0.010688838548958302,-0.00010837257286766544,0.0077447956427931786,0.000536588835529983,0.32743361592292786,-0.21003581583499908,-1.1015820503234863,0.6058065295219421,-0.025752566754817963,0.10150127857923508,0.13201935589313507,-2.8384607503539883e-05,0.0003836088872049004,0.9912469983100891,-0.0043526762165129185,-0.0029670563526451588,0.006338590756058693,0.09844589233398438,-0.05438528582453728,0.04494601488113403,-0.29219764471054077,0.44168224930763245,0.2580106854438782,-1.996291995048523,-0.16529111564159393,2.4184677600860596,1.1166291236877441,-1.1594822406768799,0.1147405356168747,1.2056056261062622,0.00314208772033453,-0.7886222004890442,-0.06950763612985611,0.5202808976173401,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.02499999999999991,approach,-24.400053918361664,-6.808878853917122,16.876738518476486,0.0,0.0,0.0,-0.0,0,False,0.029138945043087006,0.006995611824095249,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014174490934237838,-0.00955811608582735,-0.02749020606279373,0.0013022678904235363,0.0068302396684885025,-0.0007684436859562993,-0.00437373761087656,-0.001419265754520893,-0.014889180660247803,0.0004861493653152138,0.011696399189531803,-0.0012555760331451893,1.0330601930618286,-1.5208576917648315,0.2547840178012848,0.6057654619216919,-0.02574734203517437,0.10152700543403625,0.13200877606868744,-2.4482062144670635e-05,0.00037860963493585587,0.9912484288215637,-0.002934384159743786,0.0005453950725495815,0.006665516644716263,0.20326147973537445,-0.11192315071821213,-0.05453857034444809,-0.30173459649086,0.44266635179519653,0.2679308354854584,-1.9962691068649292,-0.17179712653160095,2.417872667312622,1.120909571647644,-1.144317626953125,0.11790362745523453,1.1903319358825684,0.0031075733713805676,-0.7806380987167358,-0.07076399028301239,0.5146926045417786,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.033333333333333215,approach,-24.427665770053864,-6.7788055166602135,16.89831167459488,0.0,0.0,0.0,-0.0,0,False,0.029682885855436325,0.008932478725910187,0.0,0.0,0.0,0.0,0.0,0.0,0.0033439539838582277,-0.0015503097092732787,-0.029453152790665627,0.001174774719402194,0.008809958584606647,-0.0008909043972380459,-0.002444314770400524,-0.00145202677231282,-0.01853017322719097,0.0007537627825513482,0.015545107424259186,-0.0013941358774900436,0.8850012421607971,0.6531369686126709,-1.4345409870147705,0.605728805065155,-0.025742243975400925,0.10155461728572845,0.1319887787103653,-4.592095501720905e-05,0.0003754346980713308,0.9912511110305786,-0.0034518949687480927,-0.0012041761074215174,0.006956168450415134,0.09288623929023743,-0.06936786323785782,-0.06506894528865814,-0.3111304044723511,0.44367343187332153,0.2777099609375,-1.9962462186813354,-0.17822858691215515,2.4172775745391846,1.1251438856124878,-1.127769112586975,0.12080476433038712,1.1736693382263184,0.0030992727261036634,-0.7716023325920105,-0.07149787992238998,0.5084158182144165,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.04166666666666652,approach,-24.458704888820648,-6.750652566552162,16.915326938033104,0.0,0.0,0.0,-0.0,0,False,0.03123067505657673,0.010308528319001198,0.0,0.0,0.0,0.0,0.0,0.0,0.007695090491324663,-0.002799135632812977,-0.030138107016682625,0.0015990372048690915,0.010134714655578136,-0.0009981986368075013,9.053654503077269e-05,-0.0017888039583340287,-0.02143215574324131,0.0010856000008061528,0.0189495999366045,-0.0017062037950381637,-0.4900197386741638,-2.6069767475128174,0.41711050271987915,0.6056966781616211,-0.025735171511769295,0.10158565640449524,0.13198041915893555,-7.691488281125203e-05,0.00036140994052402675,0.9912522435188293,-0.003804638981819153,-0.002863254863768816,0.007067041005939245,0.09506883472204208,-0.06717398762702942,0.027845563367009163,-0.3203774690628052,0.4447033107280731,0.2873402535915375,-1.9962233304977417,-0.18457719683647156,2.416682481765747,1.129332423210144,-1.109925389289856,0.12340512871742249,1.1556552648544312,0.003096579574048519,-0.761701226234436,-0.07187012583017349,0.5015471577644348,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.04999999999999982,approach,-24.491606652736664,-6.723102182149887,16.929516568779945,0.0,0.0,0.0,-0.0,0,False,0.03414390608668327,0.011316032148897648,0.0,0.0,0.0,0.0,0.0,0.0,0.011202800087630749,-0.008672510273754597,-0.031065918505191803,0.002198303584009409,0.01104663871228695,-0.0010917074978351593,0.002868602517992258,-0.003509730566293001,-0.02384059689939022,0.0015970021486282349,0.021939001977443695,-0.00285456795245409,0.8832558989524841,-0.7370241284370422,2.3065686225891113,0.6056669354438782,-0.02572646737098694,0.10161855816841125,0.13197341561317444,-0.00011152526712976396,0.0003537512675393373,0.9912531971931458,-0.0032148712780326605,-0.0017203191528096795,0.007374782580882311,0.07107018679380417,-0.0650697648525238,-0.03092259354889393,-0.3294697105884552,0.4457504451274872,0.2968103289604187,-1.996200442314148,-0.1908370703458786,2.4160873889923096,1.133452296257019,-1.0908868312835693,0.1256834864616394,1.1363649368286133,0.003087107092142105,-0.7510483264923096,-0.07195260375738144,0.4941485524177551,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.058333333333333126,approach,-24.5283380150795,-6.699554622173309,16.94290153682232,0.0,0.0,0.0,-0.0,0,False,0.03560742735862732,0.012056867592036724,0.0,0.0,0.0,0.0,0.0,0.0,0.01345814112573862,-0.00905510876327753,-0.03169814497232437,0.0024366865400224924,0.011752200312912464,-0.0011473435442894697,0.005515987053513527,-0.004896075464785099,-0.02580498345196247,0.002048777649179101,0.024496670812368393,-0.003783227177336812,-0.7923656702041626,-0.8934018611907959,1.6561377048492432,0.6056406497955322,-0.025719935074448586,0.10165528953075409,0.1319701373577118,-0.00015757523942738771,0.00034806938492693007,0.9912536144256592,-0.0027907330077141523,-0.0006508831866085529,0.007791121490299702,0.11486887186765671,-0.07349634170532227,-0.11523815244436264,-0.3383907079696655,0.44681474566459656,0.3061087727546692,-1.9961775541305542,-0.19700217247009277,2.415492296218872,1.1375035047531128,-1.0707863569259644,0.12763644754886627,1.1159594058990479,0.0030629008542746305,-0.7396433353424072,-0.07173240184783936,0.4862443506717682,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.06666666666666643,approach,-24.566537141799927,-6.676346063613892,16.952920705080032,0.0,0.0,0.0,-0.0,0,False,0.03601439297199249,0.01257611345499754,0.0,0.0,0.0,0.0,0.0,0.0,0.015699030831456184,-0.007877996191382408,-0.03144064173102379,0.0024843316059559584,0.012271598912775517,-0.001180928898975253,0.008061747997999191,-0.005641555413603783,-0.027213897556066513,0.0023767712991684675,0.026547573506832123,-0.004302938003093004,1.6184035539627075,-0.4662182331085205,0.9263336658477783,0.6056169271469116,-0.025711199268698692,0.10169348865747452,0.13195782899856567,-0.00020763801876455545,0.0003356854722369462,0.9912551641464233,-0.0024145382922142744,-0.0005455249920487404,0.00803343951702118,0.11839088797569275,-0.07992337644100189,-0.11337168514728546,-0.34713971614837646,0.4478904902935028,0.3152298033237457,-1.9961546659469604,-0.20306512713432312,2.4148972034454346,1.1414860486984253,-1.0497431755065918,0.12925571203231812,1.094565749168396,0.003013725858181715,-0.7275177836418152,-0.0712389126420021,0.4778655171394348,-0.08759748935699463,-0.3450463116168976,1.1194621324539185,0.0,0.0,0.44574999809265137,-1.0,-0.08718013763427734,-0.34397265315055847,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.07499999999999973,approach,-24.608387053012848,-6.656339392066002,16.962330788373947,0.0,0.0,0.0,-0.0,0,False,0.037110406905412674,0.0129773560911417,0.0,0.0,0.0,0.0,0.0,0.0,0.017152350395917892,-0.010598646476864815,-0.031155221164226532,0.002801466267555952,0.012612991966307163,-0.0012149049434810877,0.010334398597478867,-0.006880828179419041,-0.028199227526783943,0.002752649364992976,0.02815479040145874,-0.005114298313856125,0.39877399802207947,-0.45132648944854736,0.6152613162994385,0.6055959463119507,-0.02570422925055027,0.10173533856868744,0.13195925951004028,-0.0002651674149092287,0.0003272070607636124,0.9912550449371338,-0.0017868487630039454,0.0009439647546969354,0.008174407295882702,0.2098061889410019,-0.1109076589345932,-0.0854380801320076,-0.3557056188583374,0.44897767901420593,0.3241671025753021,-1.9961317777633667,-0.20902186632156372,2.414302110671997,1.1453999280929565,-1.0278443098068237,0.13053423166275024,1.0722508430480957,0.0029412913136184216,-0.714785099029541,-0.07050400227308273,0.46907496452331543,-0.08755166828632355,-0.34492847323417664,1.1161776781082153,0.0,0.0,0.44574999809265137,-1.0,-0.08593082427978516,-0.3407609462738037,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
0.08333333333333304,approach,-24.6518611907959,-6.635320372879505,16.96842536330223,0.0,0.0,0.0,-0.0,0,False,0.03720790147781372,0.013131657615303993,0.0,0.0,0.0,0.0,0.0,0.0,0.018655266612768173,-0.008786408230662346,-0.030971083790063858,0.0027184011414647102,0.012789208441972733,-0.0012193815782666206,0.012414615601301193,-0.007357223425060511,-0.028892192989587784,0.002979245502501726,0.02940438501536846,-0.005443222355097532,-0.757572591304779,-0.9294049143791199,0.1028539389371872,0.6055765151977539,-0.025694159790873528,0.10177881270647049,0.13194501399993896,-0.00032303232001140714,0.00030958064598962665,0.9912568926811218,-0.0011558078695088625,0.0012254390167072415,0.008392583578824997,0.2236325591802597,-0.11875256150960922,0.0348530188202858,-0.3640826940536499,0.4500713348388672,0.3329104781150818,-1.996108889579773,-0.2148672640323639,2.4137070178985596,1.14922297000885,-1.0052118301391602,0.1314728856086731,1.049161434173584,0.0028317219112068415,-0.7014321684837341,-0.06953898817300797,0.45988473296165466,-0.08755166828632355,-0.34492847323417664,1.1161776781082153,0.0,0.0,0.44574999809265137,-1.0,-0.08593082427978516,-0.3407609462738037,1.0,0.0,0.0,0.44574999809265137,-1.0,0.14151237905025482,2.204190492630005,2.382457733154297,0.8444162011146545,0.26318684220314026,0.12494605034589767
