study,cohort,trajectory_id,folder,reference,record_id,split_group_id,family,insertion_success,stalled,numerically_valid,max_depth_mm,outcome_group,exact_csv_duplicate_of,same_command_configuration_as,analysis_eligible,reason,windows,band_windows,whole_full_sensitivity,whole_translation_sensitivity,whole_lateral_tilt_sensitivity,whole_force_norm,whole_torque_norm,whole_normal_load,whole_progress_rate,whole_abs_dforce_dt,whole_rms_dforce_dt,whole_abs_dforce_ddepth,band10_15_full_sensitivity,band10_15_translation_sensitivity,band10_15_lateral_tilt_sensitivity,band10_15_force_norm,band10_15_torque_norm,band10_15_normal_load,band10_15_progress_rate,band10_15_abs_dforce_dt,band10_15_rms_dforce_dt,band10_15_abs_dforce_ddepth,full_accepted_windows,full_fully_excited_windows,full_median_rank,translation_accepted_windows,translation_fully_excited_windows,translation_median_rank,lateral_tilt_accepted_windows,lateral_tilt_fully_excited_windows,lateral_tilt_median_rank
Forge-Phase2-100,Phase2A,slot000_try00,slot000_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot000_try00/insertion.csv,Forge-Phase2-100/slot000_try00,all_centered_controls,centered,True,False,True,20.109952986240387,successful_nonstalled,,,True,,46,8,0.0,0.0,0.0,0.0,0.0,0.0,0.004915965660926115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004962983811574881,0.0,0.0,0.0,46,0,2.0,46,6,2.0,41,0,1.0
Forge-Phase2-100,Phase2A,slot001_try00,slot001_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot001_try00/insertion.csv,Forge-Phase2-100/slot001_try00,A:slot001,x_offset,True,False,True,20.110176503658295,successful_nonstalled,,,True,,46,8,0.0,0.0,0.0,0.0,0.0,0.0,0.004922848284970038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004968139312925549,0.0,0.0,0.0,46,0,2.0,46,3,2.0,35,0,1.0
Forge-Phase2-100,Phase2A,slot002_try00,slot002_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot002_try00/insertion.csv,Forge-Phase2-100/slot002_try00,A:slot002,y_offset,True,False,True,19.821593165397644,successful_nonstalled,,,True,,46,8,41323.81285482693,29215.539707861346,136796.89745075608,0.35828952017474774,0.002778386041890775,0.28663162887096405,0.0041505336881683015,1.856277984235155,42.04984898916591,7820.919071374416,6893.283855467575,4860.458390018746,67040.42513521669,0.287721848358049,0.0008939569786332418,0.2301780954003334,0.004920571651915056,0.14376778178507715,23.156515019184468,399.86087795337266,46,0,2.0,46,12,2.0,46,0,1.0
Forge-Phase2-100,Phase2A,slot003_try00,slot003_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot003_try00/insertion.csv,Forge-Phase2-100/slot003_try00,A:slot003,diagonal_offset,True,False,True,20.111219584941864,successful_nonstalled,,,True,,46,8,0.0,0.0,0.0,0.0,0.0,0.0,0.004913904884413988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004958118973003943,0.0,0.0,0.0,46,0,2.0,46,9,2.0,36,0,1.0
Forge-Phase2-100,Phase2A,slot004_try00,slot004_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot004_try00/insertion.csv,Forge-Phase2-100/slot004_try00,A:slot004,tilt_only,True,False,True,19.90734562277794,successful_nonstalled,,,True,,46,8,57892.72825683048,29425.414262276376,123714.02356252963,0.16187562838724825,0.0026497121072848197,0.12950050830841064,0.00484240373536904,0.30904420561784507,53.861009894456956,1707.5821243686876,5636.291383052999,3477.7075070014785,23700.632377919683,0.00011370550008959342,4.5783895685854894e-07,0.0,0.004938782012515176,0.25614275549057514,16.07539014517507,185.1021750309205,46,0,3.0,46,23,2.5,38,0,2.0
Forge-Phase2-100,Phase2A,slot005_try00,slot005_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot005_try00/insertion.csv,Forge-Phase2-100/slot005_try00,A:slot005,offset_tilt,True,False,True,20.042461901903152,successful_nonstalled,,,True,,46,8,22901.986561046142,20908.245933280654,71559.62842144337,0.365720299978166,0.001104586391705448,0.2925763428211212,0.004123570818097265,2.2965672037119873,51.643896296861456,3097.3147778958128,6429.19446167336,6257.789492801122,40761.556891029686,0.24809179039628518,0.0006785978504700497,0.1984739750623703,0.004850054790660824,0.4260464412864193,30.439086599590112,757.3143872989101,46,0,3.0,46,20,2.0,46,0,2.0
Forge-Phase2-100,Phase2A,slot006_try00,slot006_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot006_try00/insertion.csv,Forge-Phase2-100/slot006_try00,all_centered_controls,centered,True,False,True,20.109952986240387,successful_nonstalled,,Forge-Phase2-100/slot000_try00,True,,46,8,0.0,0.0,0.0,0.0,0.0,0.0,0.004915965660930305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004962983811579111,0.0,0.0,0.0,46,0,2.0,46,6,2.0,41,0,1.0
Forge-Phase2-100,Phase2A,slot007_try00,slot007_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot007_try00/insertion.csv,Forge-Phase2-100/slot007_try00,A:slot007,x_offset,True,False,True,20.099779218435287,successful_nonstalled,,,True,,46,8,5.000826117401587,4.640273048439806,28.414653112189615,1.6841417488647108e-05,6.743335367595273e-08,0.0,0.004915236795866345,0.0004432505702860721,0.007482311800226872,0.1580940069944654,0.1980287971310154,0.18527148713676914,4.300741774098682,0.0,0.0,0.0,0.004960341349008288,0.00013302663435622598,0.0008611650396528274,0.018609648645502172,46,0,2.0,46,9,2.0,37,0,1.0
Forge-Phase2-100,Phase2A,slot008_try00,slot008_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot008_try00/insertion.csv,Forge-Phase2-100/slot008_try00,A:slot008,y_offset,True,False,True,20.043035596609116,successful_nonstalled,,,True,,46,8,40412.676995208894,26353.15508154877,96275.91128887728,0.4527563611179256,0.003395731161152634,0.3622051477432251,0.0038454759444912293,2.480150695527943,45.08677844484756,1979.904611997986,5159.814921412516,3744.7092674896553,25447.996004779994,0.34113991419904904,0.0009970985009724333,0.27291264235973356,0.00476201380326568,0.06902982912766165,18.0970112835961,316.4187988253784,46,0,2.0,46,16,2.0,46,0,1.0
Forge-Phase2-100,Phase2A,slot009_try00,slot009_try00,/home/ibrahim/Documents/Franka-Safe-Recovery/outputs/Forge-Phase2-100/slot009_try00/insertion.csv,Forge-Phase2-100/slot009_try00,A:slot009,diagonal_offset,True,False,True,20.11021003127098,successful_nonstalled,,,True,,46,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0049130036945640365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049597064873713745,0.0,0.0,0.0,46,0,2.0,46,5,2.0,31,0,1.0
