cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
Phase2A,stalled_vs_success,band10_15,lateral_tilt_sensitivity,96,3,89,0.8798449612403101,0.6911539968652038,0.9772727272727273,0.7635658914728682,0.11627906976744184,0.008134143155694908,0.2475290697674418,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,force_norm,96,3,89,0.7635658914728682,0.6270371637026904,0.9086468129571578,0.7635658914728682,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,torque_norm,96,3,89,0.9612403100775194,0.907047342192691,1.0,0.7635658914728682,0.19767441860465118,0.09090909090909094,0.31818181818181823,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,normal_load,96,3,89,0.7635658914728682,0.6270371637026904,0.9086468129571578,0.7635658914728682,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,progress_rate,96,3,89,0.9728682170542635,0.92641268702603,1.0,0.7635658914728682,0.20930232558139528,0.08073863636363636,0.3432758620689655,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,abs_dforce_dt,96,3,89,0.9534883720930233,0.8977272727272727,0.9941176470588236,0.7635658914728682,0.18992248062015504,0.05882352941176472,0.32028474399164053,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,rms_dforce_dt,96,3,89,0.7674418604651163,0.6600574712643678,0.862840909090909,0.7635658914728682,0.003875968992248069,-0.2058973354231975,0.18924046499477526,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,abs_dforce_ddepth,96,3,89,0.6550387596899225,0.5058045977011495,0.8026436781609195,0.7635658914728682,-0.10852713178294571,-0.3605276907001045,0.12643678160919541,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,full_sensitivity,100,7,93,0.9219269102990033,0.8072055763628798,0.9911764705882353,0.9750830564784053,-0.05315614617940201,-0.17634982158237975,0.021106113609861702,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,translation_sensitivity,100,7,93,0.9003322259136213,0.7361172161172161,0.9890169612995701,0.9750830564784053,-0.07475083056478404,-0.2409515484515485,0.012075807334428024,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,lateral_tilt_sensitivity,100,7,93,0.9053156146179402,0.7857527627502658,0.9859955386649042,0.9750830564784053,-0.06976744186046513,-0.20338467712063224,0.021601906687852064,descriptive grouped association; no held-out classifier or causal inference
Phase2A,difficult_vs_success,whole,force_norm,100,7,93,0.9750830564784053,0.9396229361892012,1.0,0.9750830564784053,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
