configuration,model,windows,accepted,contact_windows,validation_windows,resolved_response_windows,fully_excited,loaded_fully_excited,median_rank,contact_median_validation_skill_zero,contact_fraction_beating_zero,contact_median_skill_drift,contact_median_validation_rmse_n,contact_median_test_coverage
primary,full,7820,7805,2560,2556,3612,0,0,2.0,0.3608059326360445,0.7453051643192489,0.3645122639881839,0.10652861991985554,0.9990727655093206
primary,translation,7820,7804,2559,2555,3609,3464,1412,2.0,0.1255966047890693,0.6383561643835617,0.13203615631632826,0.12098356233694779,0.9999123410317665
primary,lateral_tilt,7820,7190,2508,2504,3557,0,0,2.0,0.41920584139700223,0.7452076677316294,0.42192685551341724,0.11352271272344125,0.9804343187048052
length_5mm,full,7820,7804,2559,2555,3624,0,0,2.0,0.2417734242886479,0.6982387475538161,0.2439242232584259,0.1828326580633106,0.999481762894536
length_5mm,translation,7820,7804,2559,2555,3609,3464,1412,2.0,0.1255966047890693,0.6383561643835617,0.13203615631632826,0.12098356233694779,0.9999123410317665
length_5mm,lateral_tilt,7820,7165,2483,2479,3543,0,0,2.0,0.3522124194593723,0.7390076643807987,0.35405945913767345,0.1768483135189341,0.9912862311765572
length_20mm,full,7820,7813,2568,2564,3618,2,2,2.0,0.45026567027661435,0.7710608424336973,0.45639862222453226,0.07575275356734584,0.9984160759229592
length_20mm,translation,7820,7804,2559,2555,3609,3464,1412,2.0,0.1255966047890693,0.6383561643835617,0.13203615631632826,0.12098356233694779,0.9999123410317665
length_20mm,lateral_tilt,7820,7219,2536,2532,3583,21,18,2.0,0.45841070292822306,0.7417061611374408,0.4592987777750466,0.08662274624458036,0.9684806313817118
lag_2_steps,full,7820,7801,2556,2552,3613,0,0,3.0,0.07339585007022709,0.5560344827586207,0.08318433226753685,0.12388838195989521,0.9996498423241573
lag_2_steps,translation,7820,7798,2553,2549,3604,4700,1569,3.0,0.01342223166438139,0.5178501373087485,0.021953998712333778,0.13055050590313733,0.9999999999999989
lag_2_steps,lateral_tilt,7820,7556,2507,2503,3563,0,0,2.0,0.20915259582296808,0.6056731921693967,0.22183823413662063,0.11794387945301661,0.9898972998427782
window_500ms,full,7480,7473,2474,2474,3622,0,0,3.0,0.39322927742004116,0.8047696038803557,0.39318376842413355,0.110127077335202,0.9993146814709835
window_500ms,translation,7480,7468,2469,2469,3613,4265,1586,3.0,0.1485625386710634,0.7221547185095181,0.14982721792961562,0.12643982584502653,0.9999999999999994
window_500ms,lateral_tilt,7480,7072,2431,2431,3576,0,0,2.0,0.44707221766616867,0.800082270670506,0.451515000871206,0.11780720086107027,0.9842896419117559
