case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_depth_mm,target_depth_mm,pair_static_friction,pair_dynamic_friction,peg_static_friction,peg_dynamic_friction,hole_static_friction,hole_dynamic_friction,friction_combine_mode,tilt_amplitude_deg,tilt_axis,tilt_sign,split_group_id,baseline_case_id,case_reference_state,baseline_reference_state,reference_comparison_eligible,completed_safe_withdrawal_comparison,tilt_terminal_depth_loss_mm,baseline_tilt_terminal_depth_loss_mm,difference_tilt_terminal_depth_loss_mm,tilt_max_depth_loss_mm,baseline_tilt_max_depth_loss_mm,difference_tilt_max_depth_loss_mm,straight_retreat_peak_wrist_force_n,baseline_straight_retreat_peak_wrist_force_n,difference_straight_retreat_peak_wrist_force_n,straight_retreat_peak_wrist_force_mean100ms_n,baseline_straight_retreat_peak_wrist_force_mean100ms_n,difference_straight_retreat_peak_wrist_force_mean100ms_n,straight_retreat_peak_contact_normal_axial_resistance_n,baseline_straight_retreat_peak_contact_normal_axial_resistance_n,difference_straight_retreat_peak_contact_normal_axial_resistance_n,straight_retreat_peak_contact_friction_axial_resistance_n,baseline_straight_retreat_peak_contact_friction_axial_resistance_n,difference_straight_retreat_peak_contact_friction_axial_resistance_n
m_d18_fs100_fd100_a01,0.2,0.19899400710569026,25.0,18.0,1.0,1.0,0.75,0.75,1.25,1.25,average,1.0,pitch,1,m_d18_fs100_fd100,m_d18_fs100_fd100_a00,valid_protocol_completed,valid_protocol_completed,True,True,0.004019588232040405,0.1023411750793457,-0.0983215868473053,0.16561150550842285,0.22336095571517944,-0.05774945020675659,1.0314520597457886,0.39565563201904297,0.6357964277267456,0.16538632040222487,0.08199494498937081,0.08339137541285406,0.0,0.0,0.0,1.0153553485870361,0.3876436948776245,0.6277116537094116
m_d18_fs100_fd100_a1p5,0.2,0.19899400710569026,25.0,18.0,1.0,1.0,0.75,0.75,1.25,1.25,average,1.5,pitch,1,m_d18_fs100_fd100,m_d18_fs100_fd100_a00,valid_protocol_completed,valid_protocol_completed,True,True,-0.17734244465827942,0.1023411750793457,-0.2796836197376251,0.1450367271900177,0.22336095571517944,-0.07832422852516174,4.583499431610107,0.39565563201904297,4.1878437995910645,2.2026010068754354,0.08199494498937081,2.1206060618860647,0.0,0.0,0.0,5.249064922332764,0.3876436948776245,4.861421227455139
