case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,source_study,trajectory_id,attempt_status,reference_complete,insertion_success,stalled,numerically_valid,grasp_retained,max_depth,max_penetration,max_wrist_force_n,max_wrist_torque_nm,tilt_applicable,tilt_triggered,tilt_ramp_completed,max_actual_tilt_deg,max_command_tilt_deg,terminal_actual_tilt_deg,terminal_command_tilt_deg,tilt_trigger_actual_depth_mm,tilt_completion_actual_tilt_deg,tilt_completion_actual_depth_mm,continuation_straight_present,continuation_straight_origin,continuation_straight_safe_recovery,continuation_straight_numerically_valid,continuation_straight_grasp_retained,continuation_straight_cleared,continuation_straight_reason,continuation_straight_termination_reason,continuation_straight_termination_phase,continuation_straight_recovery_censored,continuation_straight_max_wrist_force_n,continuation_straight_max_wrist_torque_nm,continuation_straight_stop_peak_wrist_force_n,continuation_straight_realign_peak_wrist_force_n,continuation_straight_retreat_peak_wrist_force_n,continuation_straight_retreat_peak_wrist_force_mean100ms_n,continuation_straight_retreat_peak_wrist_world_z_abs_n,continuation_straight_retreat_peak_contact_downward_resistance_n,continuation_straight_retreat_actual_withdrawal_mm,continuation_straight_retreat_commanded_withdrawal_mm,continuation_straight_retreat_contact_resistive_work_j,continuation_straight_duration_s,terminal_actual_fraction_of_target
g0507_aligned,0.507,0.5059210604307709,9.0,7.986,,,0.0,1,pitch,gap_0507,g0507_aligned_try00,complete,True,True,False,True,True,20.11261284351349,0.0,0.014032978564500809,0.00927137490361929,False,False,False,0.0625572578997782,0.0,0.05595291190411357,0.0,,,,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.03510893136262894,0.018659496679902077,0.03510893136262894,,0.012153217568993568,0.007350053871050477,0.00759438332170248,0.0,23.375876247882843,23.76693726424271,0.0,4.483333333333333,
g0400_aligned,0.4,0.3989465010146471,8.786,7.986,,,0.0,1,pitch,gap_0400,g0400_aligned_try00,complete,True,True,False,True,True,20.10694295167923,0.0,0.022692296653985977,0.013689580373466015,False,False,False,0.06561060592844098,0.0,0.05595291190411357,0.0,,,,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.03443681821227074,0.018398944288492203,0.03443681821227074,,0.015502744354307652,0.007333016100650032,0.00871496181935072,0.0,23.38012307882309,23.764067309567622,0.0,4.483333333333333,
g0300_aligned,0.3,0.29897025122423754,8.586,7.986,,,0.0,1,pitch,gap_0300,g0300_aligned_try00,complete,True,True,False,True,True,20.11261284351349,0.0,0.014032978564500809,0.00927137490361929,False,False,False,0.0625572578997782,0.0,0.05595291190411357,0.0,,,,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.03510893136262894,0.018659496679902077,0.03510893136262894,,0.012153217568993568,0.007350053871050477,0.00759438332170248,0.0,23.375876247882843,23.76693726424271,0.0,4.483333333333333,
g0200_aligned,0.2,0.19899400710569026,8.386,7.986,,,0.0,1,pitch,gap_0200,g0200_aligned_try00,complete,True,True,False,True,True,20.10694295167923,0.0,0.022692296653985977,0.013689580373466015,False,False,False,0.06561060592844098,0.0,0.05595291190411357,0.0,,,,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.03443681821227074,0.018398944288492203,0.03443681821227074,,0.015502744354307652,0.007333016100650032,0.00871496181935072,0.0,23.38012307882309,23.764067309567622,0.0,4.483333333333333,
g0100_aligned,0.1,0.0990179858211121,8.186,7.986,,,0.0,1,pitch,gap_0100,g0100_aligned_try00,complete,True,True,False,True,True,20.094310492277145,0.0,0.09431768208742142,0.00927137490361929,False,False,False,0.0625572578997782,0.0,0.048456642643301504,0.0,,,,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.02759152092039585,0.015187540091574192,0.02759152092039585,,0.018759239464998245,0.008001955226063728,0.014601330272853374,0.011957552284002304,23.36331456899643,23.753303506253353,1.2599034014530772e-06,4.483333333333333,
g0507_d30_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,0.5,1,pitch,gap_0507,g0507_d30_pitch_pos05_try00,complete,True,True,False,True,True,20.114076882600784,0.0,0.015208594501018524,0.00927137490361929,True,True,True,0.5640592282477285,0.5,0.557077972858563,0.5,6.026206165552141,0.35110227107990044,11.48710921406746,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.03651593625545502,0.019109034910798073,0.03651593625545502,,0.011871036142110825,0.007247123071768631,0.007601311430335045,0.0,23.42894673347473,23.818563767196444,0.0,4.491666666666666,1.114155945717126
g0507_d30_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,2.0,1,pitch,gap_0507,g0507_d30_pitch_pos20_try00,complete,True,True,False,True,True,19.98877301812172,0.028583137464011088,1.7889628410339355,0.15496282279491425,True,True,True,2.029990289727524,2.0,2.008765578181404,2.0,6.026206165552141,1.3883258953714561,11.279774457216265,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.30876535177230835,0.03861391544342041,0.0850432887673378,,0.30876535177230835,0.06807798442120354,0.19098831713199615,0.24601727724075317,23.39097484946251,23.822711830445634,3.888015627371531e-05,4.5,1.004382789090702
g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,gap_0507,g0507_d50_pitch_pos05_try00,complete,True,True,False,True,True,20.1099194586277,0.0,0.01662476547062397,0.00927137490361929,True,True,True,0.5630175583443771,0.5,0.556726612144137,0.5,10.009010881185533,0.3566317985901176,14.931542426347734,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.037068773061037064,0.019578073173761368,0.037068773061037064,,0.012058285064995289,0.0073775952332653105,0.007966171950101852,0.0,23.427367210388184,23.821197848374496,0.0,4.491666666666666,1.113453224288274
g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,gap_0507,g0507_d50_pitch_pos20_try00,complete,True,True,False,True,True,19.97760459780693,0.03461871892795898,2.1824774742126465,0.17536547780036926,True,True,True,2.023617227147143,2.0,2.0182909756955154,2.0,10.009010881185533,1.3852214439627455,14.707875996828081,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.5094607472419739,0.06495348364114761,0.052443139255046844,,0.5094607472419739,0.08054762516015519,0.312019407749176,0.4110393226146698,23.374877870082855,23.795236497276672,4.05152226311295e-05,4.5,1.0091454878477577
g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,gap_0507,g0507_d70_pitch_pos05_try00,complete,True,True,False,True,True,20.107565075159073,0.0,0.017103124409914017,0.00927137490361929,True,True,True,0.5226451195254468,0.5,0.5143425912433909,0.5,14.036936312913896,0.3636945235202828,17.958400398492813,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.012259180657565594,0.006810886785387993,0.010462382808327675,,0.012259180657565594,0.007267882387774686,0.007430994417518377,0.0,23.360591381788254,23.746252375311375,0.0,4.483333333333333,1.0286851824867818
g0507_d70_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,2.0,1,pitch,gap_0507,g0507_d70_pitch_pos20_try00,complete,True,True,False,True,True,20.01144513487816,0.049763508286559954,3.4142332077026367,0.23296117782592773,True,True,True,1.99987995928004,2.0,1.9959616825630206,2.0,14.036936312913896,1.3852214439627455,17.648523300886154,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.43804308772087097,0.056150466203689575,0.12488846480846405,,0.43804308772087097,0.08789792230042319,0.2693280279636383,0.3530910909175873,23.35190773010254,23.78085367530326,3.370790864222113e-05,4.5,0.9979808412815103
g0200_d30_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,0.5,1,pitch,gap_0200,g0200_d30_pitch_pos05_try00,complete,True,True,False,True,True,20.105396956205368,0.0030438106932706432,0.5758172273635864,0.046167805790901184,True,True,True,0.5661368183717438,0.5,0.5581307278899919,0.5,6.021352112293245,0.34998588235689826,11.468784511089327,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.0358622781932354,0.018845777958631516,0.0358622781932354,,0.017268696799874306,0.0075398957706056535,0.008905434980988503,0.0,23.415658622980118,23.81635491885431,0.0,4.491666666666666,1.1162614557799837
g0200_d30_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.3,6.0,2.0,1,pitch,gap_0200,g0200_d30_pitch_pos20_try00,complete,True,False,True,True,True,14.050596952438356,0.032158204703591764,4.193266868591309,0.09375132620334625,True,True,True,2.0363434152066224,2.0,2.0279646686339037,2.0,6.021352112293245,1.3933909903431936,11.051380634307863,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,3.332918643951416,0.10193745791912079,3.332918643951416,,2.5436744689941406,2.4311798016230264,2.539417266845703,2.549269199371338,17.22560077905655,17.636370377217222,0.019437211747491537,4.216666666666667,1.0139823343169518
g0200_d50_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,0.5,1,pitch,gap_0200,g0200_d50_pitch_pos05_try00,complete,True,True,False,True,True,20.108481496572495,0.0021496664430742385,0.6305791139602661,0.05714138597249985,True,True,True,0.5661368183717438,0.5,0.5574291121090637,0.5,10.002949833869936,0.3549819843055889,14.919148385524752,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.03433617204427719,0.01880570314824581,0.03433617204427719,,0.014810742810368538,0.007521806051954627,0.009233091957867146,0.0002655361022334546,23.37316796183586,23.760186682968964,1.4306532136743044e-08,4.483333333333333,1.1148582242181273
g0200_d50_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.5,10.0,2.0,1,pitch,gap_0200,g0200_d50_pitch_pos20_try00,complete,True,False,True,True,True,15.471556782722475,0.04773909313371405,3.503033399581909,0.09319935739040375,True,True,True,1.9246794578078013,2.0,1.9180586751470907,2.0,10.002949833869936,1.3855039542015795,14.416249096393587,True,original_reference_continuation_without_replay,False,True,False,False,grasp_retention_limit,grasp_retention_limit,stop,True,2.187817096710205,0.07440132647752762,2.187817096710205,,,,,,,,,0.03333333333333333,0.9590293375735454
g0200_d70_pitch_pos05,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,0.5,1,pitch,gap_0200,g0200_d70_pitch_pos05_try00,complete,True,True,False,True,True,20.085500180721283,0.004943867679685354,0.7449644207954407,0.07241807132959366,True,True,True,0.5286014235678185,0.5,0.5226451195254468,0.5,14.026978611946108,0.3727285197772224,17.97625944018364,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.13117186725139618,0.016928410157561302,0.01753377728164196,,0.13117186725139618,0.02131347676428656,0.08347877115011215,0.11176607757806778,23.354921489953995,23.759170117914646,5.134515677696072e-06,4.483333333333333,1.0452902390508936
g0200_d70_pitch_pos20,0.2,0.19899400710569026,8.386,7.986,0.7,14.0,2.0,1,pitch,gap_0200,g0200_d70_pitch_pos20_try04,complete,True,False,True,False,False,17.490150034427643,0.05964636511635035,2.609781503677368,0.1674260050058365,True,True,True,1.7594745472470472,2.0,1.7552428299292626,2.0,14.026978611946108,1.3823931667891733,17.342129349708557,True,original_reference_continuation_without_replay,,False,False,False,numerical_screen_failed,numerical_screen_failed,stop,True,1.8490182161331177,0.05014139786362648,1.8490182161331177,,,,,,,,,0.0,0.8776214149646313
g0100_d30_pitch_pos05,0.1,0.0990179858211121,8.186,7.986,0.3,6.0,0.5,1,pitch,gap_0100,g0100_d30_pitch_pos05_try00,complete,True,True,False,True,True,20.11260911822319,0.004664447260438465,1.0735061168670654,0.07773146778345108,True,True,True,0.5428461908500587,0.5,0.52301937574777,0.5,6.02589324116707,0.36045200059642807,11.430380493402483,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.42605656385421753,0.03991047665476799,0.04086659848690033,,0.42605656385421753,0.102955705486238,0.2996446490287781,0.29210302233695984,23.36958423256874,23.771009417590733,0.00019433627654148172,4.483333333333333,1.04603875149554
g0100_d30_pitch_pos20,0.1,0.0990179858211121,8.186,7.986,0.3,6.0,2.0,1,pitch,gap_0100,g0100_d30_pitch_pos20_try04,complete,True,False,True,False,False,10.869023948907854,0.06945080531295389,6.205750942230225,0.1081528291106224,True,True,True,1.9925268723052167,2.0,1.9896763965319024,2.0,6.02589324116707,1.3835251713299739,10.828746110200884,True,original_reference_continuation_without_replay,,False,True,False,numerical_screen_failed,numerical_screen_failed,stop,True,5.47256326675415,0.02269812487065792,5.47256326675415,,,,,,,,,0.0,0.9948381982659512
g0100_d50_pitch_pos05,0.1,0.0990179858211121,8.186,7.986,0.5,10.0,0.5,1,pitch,gap_0100,g0100_d50_pitch_pos05_try00,complete,True,True,False,True,True,20.115555822849274,0.008632322533230763,1.2917340993881226,0.10099271684885025,True,True,True,0.5241405410628864,0.5,0.5078340434824566,0.5,10.008891671895983,0.3636945235202828,14.824339747428896,True,original_reference_continuation_without_replay,True,True,True,True,cleared,cleared,retreat,False,0.3526640832424164,0.04531540721654892,0.016227437183260918,,0.3526640832424164,0.09822508700502415,0.2270115166902542,0.2958904206752777,23.36324006319046,23.765514073166663,0.00023448211466759125,4.483333333333333,1.0156680869649133
g0100_d50_pitch_pos20,0.1,0.0990179858211121,8.186,7.986,0.5,10.0,2.0,1,pitch,gap_0100,g0100_d50_pitch_pos20_try04,complete,True,False,True,False,False,13.665342330932619,0.0938506709644571,4.6486310958862305,0.12210096418857574,True,True,True,1.7172580708394787,2.0,1.7096056637333013,2.0,10.008891671895983,1.2976950200818615,13.640565425157549,True,original_reference_continuation_without_replay,,False,False,False,numerical_screen_failed,numerical_screen_failed,stop,True,3.708909511566162,0.030947942286729813,3.708909511566162,,,,,,,,,0.0,0.8548028318666506
