trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s,folder,status,sample_role,split_group_id,path_group_id,severity_deg,ramp_onset_mm,ramp_full_depth_mm,final_offset_x_mm,final_offset_y_mm,final_roll_deg,final_pitch_deg,insertion_success,max_force,max_torque,max_normal_load,max_penetration,max_depth,stalled,force_budget_exceeded,torque_budget_exceeded,numerically_valid,outcome_trustworthy,grasp_retained,max_grasp_slip_mm,max_grasp_slip_deg,max_wrist_force_n,max_wrist_torque_nm
b000_try00,0,0,offset_tilt,0.0,0.0,0.0,0.0,8.0,b000_try00,complete,boundary_characterization,b_d10_x_pitch_+1_combined,b_d10_x_pitch_+1_combined,5.0,10.0,20.0,0.8333333333333334,0.0,0.0,5.0,False,3.0113213062286377,0.09363451600074768,10.219026565551758,0.04277023617760278,17.925431579351425,True,False,False,True,True,True,0.06782262062188238,0.15323335969831878,2.7701008319854736,0.23268398642539978
b001_try00,1,0,x_offset,0.0,0.0,0.0,0.0,8.0,b001_try00,complete,boundary_characterization,b_d10_x_pitch_+1_drift,b_d10_x_pitch_+1_drift,5.0,10.0,20.0,0.8333333333333334,0.0,0.0,0.0,True,1.2927967309951782,0.021414058282971382,1.0342555046081543,0.003312847638881067,20.068524032831192,False,False,False,True,True,True,0.02268626485601999,0.07912936237050427,1.1387332677841187,0.08666151762008667
b002_try00,2,0,y_offset,0.0,0.0,0.0,0.0,8.0,b002_try00,complete,boundary_characterization,b_d10_y_roll_-1_drift,b_d10_y_roll_-1_drift,5.0,10.0,20.0,0.0,-0.8333333333333334,0.0,0.0,True,0.7401875853538513,0.012484338134527206,0.592182457447052,0.006396852313628187,20.039355009794235,False,False,False,True,True,True,0.030852123018121347,0.08846931922527276,0.5994295477867126,0.049242980778217316
b003_try00,3,0,tilt_only,0.0,0.0,0.0,0.0,8.0,b003_try00,complete,boundary_characterization,b_d10_y_roll_-1_tilt,b_d10_y_roll_-1_tilt,5.0,10.0,20.0,0.0,0.0,-5.0,0.0,False,3.3451409339904785,0.12262685596942902,12.978172302246094,0.06439960998250172,18.075471371412277,True,False,False,True,True,True,0.04633497883332893,0.11190581936148891,2.9763967990875244,0.11928340047597885
b004_try00,4,0,x_offset,0.0,0.0,0.0,0.0,8.0,b004_try00,complete,boundary_characterization,b_d5_x_pitch_+1_drift,b_d5_x_pitch_+1_drift,5.0,5.0,20.0,0.8333333333333334,0.0,0.0,0.0,True,1.418169617652893,0.023335391655564308,1.1345369815826416,0.004558160526357824,20.050709694623947,False,False,False,True,True,True,0.02255624349345453,0.08846931922527276,1.2659754753112793,0.08526438474655151
b005_try00,5,0,tilt_only,0.0,0.0,0.0,0.0,8.0,b005_try00,complete,boundary_characterization,b_d5_x_pitch_+1_tilt,b_d5_x_pitch_+1_tilt,5.0,5.0,20.0,0.0,0.0,0.0,5.0,False,2.813356637954712,0.1027088537812233,9.299274444580078,0.04473652006709017,17.306102067232132,True,False,False,True,True,True,0.08060292020672932,0.15323335969831878,2.6366703510284424,0.1142176017165184
b006_try00,6,0,offset_tilt,0.0,0.0,0.0,0.0,8.0,b006_try00,complete,boundary_characterization,b_d5_x_pitch_-1_combined,b_d5_x_pitch_-1_combined,5.0,5.0,20.0,-0.8333333333333334,0.0,0.0,-5.0,False,2.3707947731018066,0.07673472911119461,8.452686309814453,0.038509828300448135,17.314733564853668,True,False,False,True,True,True,0.03492564064799808,0.10467831195095843,2.213752031326294,0.14201465249061584
b007_try00,7,0,x_offset,0.0,0.0,0.0,0.0,8.0,b007_try00,complete,boundary_characterization,b_d5_x_pitch_-1_drift,b_d5_x_pitch_-1_drift,5.0,5.0,20.0,-0.8333333333333334,0.0,0.0,0.0,True,1.217126727104187,0.020062627270817757,0.9752393960952759,0.005934557520959061,19.863826781511307,False,False,False,True,True,True,0.024689365091035143,0.07912936237050427,0.9003466367721558,0.10673752427101135
b008_try00,8,0,offset_tilt,0.0,0.0,0.0,0.0,8.0,b008_try00,complete,boundary_characterization,b_d5_y_roll_+1_combined,b_d5_y_roll_+1_combined,5.0,5.0,20.0,0.0,0.8333333333333334,5.0,0.0,False,3.4959776401519775,0.11129200458526611,11.68912124633789,0.05961497299722396,17.37753078341484,True,False,False,True,True,True,0.045527343900175765,0.13122122080831475,3.1546270847320557,0.13595324754714966
b009_try00,9,0,y_offset,0.0,0.0,0.0,0.0,8.0,b009_try00,complete,boundary_characterization,b_d5_y_roll_+1_drift,b_d5_y_roll_+1_drift,5.0,5.0,20.0,0.0,0.8333333333333334,0.0,0.0,True,0.637639582157135,0.01090152282267809,0.5101162195205688,0.003443933110247599,19.854304939508438,False,False,False,True,True,True,0.023264879928319715,0.07912936237050427,0.5315817594528198,0.0384187325835228
