time_s,phase,physics_time_s,command_depth_mm,depth_mm,tip_x_mm,tip_y_mm,tilt_deg,grasp_slip_mm,grasp_slip_deg,force_norm_n,torque_norm_nm,normal_load_n,min_separation_mm,contact_count,wrist_force_n,wrist_torque_nm,wrist_contact_force_balance_n,wrist_contact_torque_balance_nm,contact_power_w,lowest_peg_z_above_mouth_mm,fx,fy,fz,taux,tauy,tauz,qw,qx,qy,qz,vx,vy,vz,omegax,omegay,omegaz,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad,joint_velocity1_rad_s,joint_velocity2_rad_s,joint_velocity3_rad_s,joint_velocity4_rad_s,joint_velocity5_rad_s,joint_velocity6_rad_s,joint_velocity7_rad_s,hand_pose_0,hand_pose_1,hand_pose_2,hand_pose_3,hand_pose_4,hand_pose_5,hand_pose_6,grasp_position_0,grasp_position_1,grasp_position_2,grasp_quat_0,grasp_quat_1,grasp_quat_2,grasp_quat_3,wrist_raw_child_0,wrist_raw_child_1,wrist_raw_child_2,wrist_raw_child_3,wrist_raw_child_4,wrist_raw_child_5,wrist_force_world_0,wrist_force_world_1,wrist_force_world_2,wrist_torque_about_peg_base_world_0,wrist_torque_about_peg_base_world_1,wrist_torque_about_peg_base_world_2,com_offset_world_0,com_offset_world_1,com_offset_world_2,finger_position_0,finger_position_1,finger_velocity_0,finger_velocity_1,step,segment,intervention_count,nominal_clock_s,nominal_offset_x_mm,nominal_offset_y_mm,nominal_roll_deg,nominal_pitch_deg,ramp_progress_depth_mm,check_performed,eta_valid,eta_raw,actual_progress_mm,command_progress_mm,trigger_consecutive,soft_trigger,intervention_started,stalled_now,force_budget_exceeded,torque_budget_exceeded,numerically_valid,grasp_retained,command_hand_position_0,command_hand_position_1,command_hand_position_2,command_hand_quaternion_0,command_hand_quaternion_1,command_hand_quaternion_2,command_hand_quaternion_3
8.866666666658602,insert,8.866667129099369,18.364340277778133,18.13719943165779,0.11408329010009766,0.03388011100469157,0.4270430378234785,0.005188377599552041,0.0,0.0,0.0,0.0,0.0,61,0.0013414851855486631,0.0002541006833780557,0.0013414848363026977,0.0002754545712377876,0.0,-18.16696021119348,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011269370588706806,-0.0035420958884060383,-0.0011570589849725366,0.999993085861206,0.001094537670724094,0.00012077654537279159,-0.00020053214393556118,0.014986243098974228,-0.11756974458694458,-0.07250886410474777,-0.4805809557437897,0.5512063503265381,0.4845532476902008,-2.0223207473754883,-0.40748077630996704,2.486982583999634,1.0543123483657837,-0.00014735592412762344,0.005256270058453083,-0.001793711562640965,-0.0027548440266400576,-0.005547848530113697,0.008891836740076542,0.003936936147511005,0.5998908877372742,-4.850195546168834e-05,0.0892566666007042,-0.001162989647127688,0.9999929070472717,0.00010930679127341136,0.0035692285746335983,-8.017785148695111e-06,-7.009526598267257e-06,0.03239472582936287,2.713786489039194e-05,3.376431322976714e-06,1.0,-5.915895599173382e-06,-3.655770706245676e-05,0.0007549047586508095,-0.0011083162389695644,9.472592864767648e-06,-0.0002531147620175034,2.025688809226267e-05,-4.429680484463461e-05,-0.0007574891205877066,0.0011062683770433068,0.00011860807717312127,0.0002478959213476628,-1.884027005871758e-05,-0.00017708539962768555,-5.7872508477885276e-05,0.024999305605888367,0.004024847876280546,0.004039025399833918,5.080297341919504e-06,7.1899848990142345e-06,1064,0,0,6.866666666666798,0.08038158297350632,0.027677598617712625,0.15222679239741946,-0.4420987063542848,18.111666291952133,False,False,,,,0,False,False,False,False,False,True,True,0.5998330116271973,-6.315049540717155e-05,0.08902834355831146,-0.0013336010742932558,0.9999915361404419,1.916388100653421e-06,0.003875055816024542
8.874999999991928,insert,8.87500046286732,18.387069702148793,18.161868304014206,0.11622905731201172,0.032930722227320075,0.4288719328188791,0.004322074346418958,0.06852804166478502,0.0,0.0,0.0,0.0,63,0.0012278056237846613,0.0002681309706531465,0.0012278057401999831,0.00031639152439311147,0.0,-18.19175653751018,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011818682833109051,-0.0035575549118220806,-0.0011623487807810307,0.9999929070472717,0.001449257368221879,0.00011530139454407617,-0.0001984399277716875,0.014758454635739326,-0.13827532529830933,-0.08780143409967422,-0.4805810749530792,0.5512521266937256,0.48453637957572937,-2.0223388671875,-0.4075264632701874,2.4870736598968506,1.0543352365493774,-0.00014610067592002451,0.005221194587647915,-0.0017965639708563685,-0.0027564303018152714,-0.00549542810767889,0.008815229870378971,0.0039005621802061796,0.5998913049697876,-4.9334397772327065e-05,0.08923160284757614,-0.0011686226353049278,0.9999927878379822,0.00011104551958851516,0.003585712518543005,-7.3543633334338665e-06,-6.527858204208314e-06,0.03239434212446213,2.816682172124274e-05,7.130934136512224e-06,0.9999998211860657,-6.245110853342339e-06,0.0001994235353777185,0.0005116200190968812,-0.001098172040656209,4.574287959258072e-05,-0.000263121270108968,2.3853632228565402e-05,0.00019166120910085738,-0.0005141436704434454,0.0010983756510540843,0.00011974780500167981,0.0002920035913120955,-2.2315278329188004e-05,-0.00017786026000976562,-5.8138051826972514e-05,0.02499929815530777,0.004024846479296684,0.0040390221402049065,5.079562470200472e-06,7.19225499778986e-06,1065,0,0,6.8750000000001315,0.08057318660751484,0.0277435730397084,0.15258965171839622,-0.44315252634133157,18.13719943165779,False,False,,,,0,False,False,False,False,False,True,True,0.5998325943946838,-6.32853334536776e-05,0.08900561183691025,-0.0013367005158215761,0.9999915361404419,1.9581123069656314e-06,0.003884354140609503
8.883333333325254,insert,8.88333379663527,18.409658745660074,18.18680167198181,0.11777877807617188,0.03245499829063192,0.4311471421598645,0.00450596689915983,0.06852804166478502,0.0,0.0,0.0,0.0,60,0.0015340361278504133,0.00022518068726640195,0.001534036360681057,0.0001886211393866688,0.0,-18.21684846261963,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011717870802385733,-0.0035754195414483547,-0.0011685207718983293,0.999992847442627,0.001286697806790471,0.00011151803482789546,-0.00018053501844406128,0.015103565528988838,-0.12920890748500824,-0.08118896186351776,-0.4805811941623688,0.5512979030609131,0.48451942205429077,-2.0223560333251953,-0.4075721502304077,2.4871647357940674,1.0543581247329712,-0.00014470596215687692,0.005187604576349258,-0.0017979780677706003,-0.002754915738478303,-0.005453047808259726,0.00876733660697937,0.003878931747749448,0.5998920202255249,-5.011474422644824e-05,0.08920663595199585,-0.0011745657538995147,0.9999927282333374,0.00011239018203923479,0.0036025652661919594,-7.6114083640277386e-06,-6.447182386182249e-06,0.03239431604743004,2.715193113544956e-05,4.778582479048055e-06,0.9999998211860657,-6.024849426466972e-06,-0.000496228807605803,0.00034848458017222583,-0.0014091070042923093,6.689813017146662e-05,-0.00020598740957211703,6.164549267850816e-05,-0.0005062869749963284,-0.00035190227208659053,0.0014046728610992432,0.00011764280498027802,0.0001344586198683828,-6.0489543102448806e-05,-0.00017875432968139648,-5.844656698172912e-05,0.02499929443001747,0.00402484554797411,0.004039021674543619,5.08032098878175e-06,7.187947630882263e-06,1066,0,0,6.883333333333465,0.08075830467935673,0.027807314303562505,0.1529402286695938,-0.44417067573646196,18.161868304014206,False,False,,,,0,False,False,False,False,False,True,True,0.5998321771621704,-6.342239066725597e-05,0.08898302912712097,-0.0013397999573498964,0.9999915361404419,1.9260269255028106e-06,0.0038931756280362606
8.89166666665858,insert,8.89166713040322,18.432107001410944,18.211641907691956,0.11944770812988281,0.03203295636922121,0.43295870135479414,0.005502343356056372,0.06852804166478502,0.0,0.0,0.0,0.0,63,0.0014146518660709262,0.0003163505461998284,0.0014146522153168917,0.00027955631958320737,0.0,-18.241814944106814,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011720151815097779,-0.003590941894799471,-0.001174567616544664,0.9999927878379822,0.0013562861131504178,0.00010762087913462892,-0.00016919244080781937,0.015033483505249023,-0.13363026082515717,-0.08456480503082275,-0.4805813133716583,0.5513436794281006,0.48450252413749695,-2.022372007369995,-0.40761783719062805,2.487255334854126,1.054381012916565,-0.00014805565297137946,0.005152298137545586,-0.001791295944713056,-0.0027535632252693176,-0.005411648657172918,0.008688659407198429,0.0038538221269845963,0.5998934507369995,-5.132432852406055e-05,0.08918200433254242,-0.0011803389061242342,0.9999926686286926,0.00011362448276486248,0.0036198999732732773,-8.497372618876398e-06,-6.859962013550103e-06,0.03239452838897705,2.8963137083337642e-05,3.563920927263098e-06,0.9999998211860657,-5.755268375651212e-06,-0.0003173910372424871,0.00029371253913268447,-0.0013469356345012784,3.464367546257563e-05,-0.00031363291782326996,2.2624672055826522e-05,-0.00032706453930586576,-0.0002969618944916874,0.0013439059257507324,7.71644408814609e-05,0.00026783905923366547,-2.1438841940835118e-05,-0.00017952919006347656,-5.8749003073899075e-05,0.024999286979436874,0.004024846013635397,0.004039023071527481,5.08169068780262e-06,7.191352779045701e-06,1067,0,0,6.891666666666799,0.08094540755686168,0.027871738990813414,0.15329456444947379,-0.4451997415627392,18.18680167198181,False,False,,,,0,False,False,False,False,False,True,True,0.599831759929657,-6.355877849273384e-05,0.08896055817604065,-0.0013428995152935386,0.9999914169311523,1.9894025626854273e-06,0.003902116324752569
8.899999999991905,insert,8.900000464171171,18.454414062500355,18.236158043146133,0.12189149856567383,0.031171446607913822,0.4347627123954492,0.004876530965702841,0.03956468118525214,0.0,0.0,0.0,0.0,57,0.0013719560811296105,0.0003123231290373951,0.0013719559647142887,0.0003005524049513042,0.0,-18.26645679928462,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012148306268500164,-0.003607766004279256,-0.0011800508946180344,0.9999927878379822,0.001579884672537446,0.00010586602002149448,-0.0001614145003259182,0.014977888204157352,-0.1468966156244278,-0.09412948042154312,-0.4805814325809479,0.5513894557952881,0.48448577523231506,-2.0223889350891113,-0.4076635241508484,2.4873456954956055,1.0544039011001587,-0.00015582582273054868,0.00511557050049305,-0.0017771220300346613,-0.0027553336694836617,-0.00536968233063817,0.00860459916293621,0.0038326529320329428,0.5998943448066711,-5.212596443016082e-05,0.08915720880031586,-0.00118598947301507,0.9999926686286926,0.00011520275438670069,0.0036367573775351048,-8.037764928303659e-06,-6.434114766307175e-06,0.03239426389336586,2.899958417401649e-05,6.267567187023815e-06,0.9999999403953552,-5.912678716413211e-06,-0.00010727222979767248,0.00011397756316000596,-0.0013629986206069589,5.3243737056618556e-05,-0.0003055795095860958,3.6496752727543935e-05,-0.00011715546861523762,-0.00011723514762707055,0.001361908158287406,6.989504618104547e-05,0.00029017264023423195,-3.530250978656113e-05,-0.00018036365509033203,-5.902403427171521e-05,0.02499927580356598,0.004024847410619259,0.00403902493417263,5.078769390820526e-06,7.1904214564710855e-06,1068,0,0,6.900000000000133,0.08113181155913317,0.027935923036023196,0.1536475766981276,-0.4462249635752324,18.211641907691956,True,True,1.0332193434970665,1.626715064048767,1.5744140624999687,0,False,False,False,False,False,True,True,0.5998314023017883,-6.368769390974194e-05,0.08893825113773346,-0.001345879747532308,0.9999914169311523,2.0194838725728914e-06,0.003911176230758429
8.908333333325231,insert,8.908333797939122,18.476579522027265,18.260815739631653,0.12385845184326172,0.030715826142113656,0.43700725397602724,0.0043926147554884665,0.0,0.0,0.0,0.0,0.0,59,0.0016922415234148502,0.0002839186054188758,0.0016922414069995284,0.00020449724979698658,0.0,-18.29127091558417,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012686397531069815,-0.00362411024980247,-0.0011855382472276688,0.9999927282333374,0.0014633452519774437,0.0001055135071510449,-0.00014280830509960651,0.014952958561480045,-0.14060701429843903,-0.08962614089250565,-0.4805815517902374,0.5514352321624756,0.48446908593177795,-2.0224063396453857,-0.4077092111110687,2.4874355792999268,1.0544267892837524,-0.00016440307081211358,0.005079115275293589,-0.0017610415816307068,-0.002755791414529085,-0.005335651803761721,0.00853861216455698,0.0038207375910133123,0.5998948812484741,-5.2696894272230566e-05,0.08913213759660721,-0.00119181745685637,0.9999926090240479,0.00011693700798787177,0.003652917454019189,-7.651149644516408e-06,-6.1721948441118e-06,0.03239387273788452,2.8819593353546225e-05,9.915809641825035e-06,1.0,-6.239607500901911e-06,-0.0005882675759494305,6.939285867701983e-06,-0.0015866865869611502,6.418383418349549e-05,-0.000271446566330269,5.2980823966208845e-05,-0.0005998416454531252,-1.0855121217900887e-05,0.0015823253197595477,6.551662954734638e-05,0.0001865909871412441,-5.206249261391349e-05,-0.0001811981201171875,-5.929947292315774e-05,0.02499927207827568,0.00402484554797411,0.004039020277559757,5.0817216106224805e-06,7.1912945713847876e-06,1069,0,0,6.908333333333466,0.08131578347559217,0.02799926964692985,0.15399598305811418,-0.44723680911575686,18.236158043146133,False,False,,,,0,False,False,False,False,False,True,True,0.5998309850692749,-6.382902211043984e-05,0.08891609311103821,-0.0013490387937054038,0.9999913573265076,2.0516592940111877e-06,0.003919938113540411
8.916666666658557,insert,8.916667131707072,18.49860297309063,18.28574165701866,0.12546777725219727,0.03052580723306164,0.43924032619998993,0.004428842203196837,0.03956468118525214,0.0,0.0,0.0,0.0,62,0.0017903911648318172,0.00030321095255203545,0.0017903908155858517,0.00021751933672931045,0.0,-18.31635245345107,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001258032425539568,-0.0036415793001651764,-0.001191521412692964,0.9999926686286926,0.0013469175901263952,0.00010436765296617523,-0.0001234335359185934,0.014982297085225582,-0.13434594869613647,-0.08521313965320587,-0.480581670999527,0.5514810085296631,0.4844529926776886,-2.022423505783081,-0.40775489807128906,2.487525463104248,1.0544496774673462,-0.00017518566164653748,0.005041325930505991,-0.0017411918379366398,-0.002755213063210249,-0.0053064762614667416,0.008464950136840343,0.0038137806113809347,0.5998953580856323,-5.3498559282161295e-05,0.0891072079539299,-0.0011976775713264942,0.9999924898147583,0.00011824774264823645,0.0036693543661385775,-7.583352271467447e-06,-6.403715815395117e-06,0.03239387273788452,2.778546513582114e-05,7.544908839918207e-06,0.9999999403953552,-6.125085747044068e-06,-0.00061154825380072,-2.129681706719566e-05,-0.001682574162259698,4.0936676668934524e-05,-0.0002953078073915094,5.526628956431523e-05,-0.000623884319793433,1.7125716112786904e-05,0.0016780864680185914,3.820307392743416e-05,0.00020708807278424501,-5.449508171295747e-05,-0.00018209218978881836,-5.9598540246952325e-05,0.024999268352985382,0.00402484554797411,0.004039023537188768,5.081055860500783e-06,7.191643817350268e-06,1070,0,0,6.9166666666668,0.08150081768240604,0.02806298203373902,0.1543464011855646,-0.4482544972532332,18.260815739631653,False,False,,,,0,False,False,False,False,False,True,True,0.5998305678367615,-6.396223761839792e-05,0.0888940691947937,-0.0013520786305889487,0.9999914169311523,2.015849076997256e-06,0.0039288196712732315
8.924999999991883,insert,8.925000465475023,18.52048400878941,18.310507386922836,0.12683868408203125,0.03012362685694825,0.44101864315050876,0.003895284862664994,0.03956468118525214,0.0,0.0,0.0,0.0,62,0.0018154236022382975,0.0002979240380227566,0.001815423951484263,0.00023278647859115154,0.0,-18.341242112380026,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001294659305131063,-0.0036574143450707197,-0.0011977816466242075,0.9999924898147583,0.0013227106537669897,0.00010401492909295484,-0.00010558241046965122,0.014959292486310005,-0.13335660099983215,-0.08449596166610718,-0.48058179020881653,0.5515267848968506,0.48443877696990967,-2.0224404335021973,-0.40780046582221985,2.487612247467041,1.05447256565094,-0.00018874870147556067,0.005002323072403669,-0.0017165342578664422,-0.0027544614858925343,-0.0052790031768381596,0.00838445220142603,0.0038045342080295086,0.5998955965042114,-5.2978648454882205e-05,0.08908252418041229,-0.001203459920361638,0.9999924898147583,0.00012065127521054819,0.003684788942337036,-7.4515410233289e-06,-5.106121534481645e-06,0.03239396959543228,2.738600960583426e-05,8.802365300653037e-06,0.9999999403953552,-5.642459200316807e-06,-0.0004457058967091143,-9.211233555106446e-05,-0.0017574483063071966,3.5490229493007064e-05,-0.00029462602105922997,2.6356963644502684e-05,-0.0004586678696796298,8.77769198268652e-05,0.0017543326830491424,2.23102997551905e-05,0.00023029191652312875,-2.5640414605732076e-05,-0.00018286705017089844,-5.991230864310637e-05,0.024999260902404785,0.004024846944957972,0.004039024002850056,5.080168193671852e-06,7.192807970568538e-06,1071,0,0,6.925000000000134,0.08168786464989232,0.02812738746962664,0.15470063108294654,-0.44928325557440774,18.28574165701866,False,False,,,,0,False,False,False,False,False,True,True,0.5998302102088928,-6.409091292880476e-05,0.08887217193841934,-0.0013550588628277183,0.9999912977218628,2.0764305190823507e-06,0.0039377594366669655
8.933333333325209,insert,8.933333799242973,18.542222222222573,18.33503469824791,0.12803077697753906,0.030976691050454974,0.44278981828488884,0.003621440100687323,0.03956468118525214,0.0,0.0,0.0,0.0,63,0.0019165178528055549,0.0002617027785163373,0.0019165173871442676,0.0002162844903068617,0.0,-18.36589285499485,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012957815488334745,-0.00367236346937716,-0.001203131047077477,0.9999924898147583,0.001290246145799756,0.00010259442933602259,-8.592591620981693e-05,0.014877348206937313,-0.13180774450302124,-0.08329704403877258,-0.4805819094181061,0.5515725612640381,0.4844261109828949,-2.022456169128418,-0.4078460931777954,2.4876952171325684,1.0544954538345337,-0.00020249173394404352,0.004961989354342222,-0.0016930446727201343,-0.002752645406872034,-0.005258054006844759,0.0083089554682374,0.003809902351349592,0.5998956561088562,-5.167990457266569e-05,0.08905797451734543,-0.001209316193126142,0.9999923706054688,0.00012385650188662112,0.003698932472616434,-7.2351103881374e-06,-4.2801693780347705e-06,0.03239394724369049,2.657675759110134e-05,5.712422534998041e-06,0.9999999403953552,-6.160835710034007e-06,-0.00034100329503417015,-9.230992873199284e-06,-0.001885914127342403,1.0572303835942876e-05,-0.00024465133901685476,9.231622243532911e-05,-0.00035494734765961766,4.586530849337578e-06,0.0018833561334758997,9.863200830295682e-06,0.0001955995976459235,-9.177414904115722e-05,-0.00018358230590820312,-6.017989289830439e-05,0.024999253451824188,0.004024847410619259,0.004039024468511343,5.080919436295517e-06,7.190596079453826e-06,1072,0,0,6.933333333333468,0.08187370955197702,0.028191379001203516,0.15505258450661935,-0.45030540253587364,18.310507386922836,False,False,,,,0,False,False,False,False,False,True,True,0.5998298525810242,-6.423544982681051e-05,0.08885043114423752,-0.0013582775136455894,0.9999912977218628,2.0797360775759444e-06,0.003946700133383274
8.941666666658534,insert,8.941667133010924,18.563817206489063,18.359412997961044,0.1290440559387207,0.03260844823671505,0.4445539369656071,0.0038501830204040743,0.0,0.0,0.0,0.0,0.0,54,0.002039705403149128,0.00023545582371298224,0.002039704704657197,0.00019291073840577155,0.0,-18.39039409421176,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013168562145438045,-0.0036870534531772137,-0.0012088464573025703,0.9999924898147583,0.0012165491934865713,9.87484454526566e-05,-6.396346725523472e-05,0.014806356281042099,-0.12782299518585205,-0.08052635192871094,-0.48058202862739563,0.5516183376312256,0.484414279460907,-2.0224685668945312,-0.4078916907310486,2.4877710342407227,1.0545183420181274,-0.00021557639411184937,0.0049199596978724,-0.0016728956252336502,-0.0027493692468851805,-0.005244262516498566,0.008237037807703018,0.0038196933455765247,0.5998959541320801,-5.100289126858115e-05,0.08903425186872482,-0.0012140721082687378,0.9999923706054688,0.00012673341552726924,0.0037115912418812513,-7.34443892724812e-06,-4.924499080516398e-06,0.03239461034536362,2.4545155611122027e-05,4.941496626997832e-06,1.0,-5.2041764320165385e-06,-0.0003169944102410227,0.00017200852744281292,-0.0020075670909136534,-3.145169102936052e-05,-0.00021151053078938276,9.855724783847108e-05,-0.00033184231142513454,-0.00017696191207505763,0.0020047344733029604,-5.923990102019161e-06,0.00016593807958997786,-9.820392733672634e-05,-0.0001843571662902832,-6.046614362276159e-05,0.02499924600124359,0.004024846013635397,0.004039021674543619,5.0788257794920355e-06,7.19251693226397e-06,1073,0,0,6.941666666666801,0.08205776533346404,0.028254754489155105,0.1554011496903531,-0.4513177093340522,18.33503469824791,False,False,,,,0,False,False,False,False,False,True,True,0.5998294353485107,-6.436903640860692e-05,0.08882883936166763,-0.0013613173505291343,0.999991238117218,2.1161029053473612e-06,0.003955581225454807
8.94999999999186,insert,8.950000466778874,18.585268554687847,18.38296428322792,0.12999773025512695,0.033557873393874615,0.4458724455765405,0.002254389073641505,0.03956468118525214,0.0,0.0,0.0,0.0,62,0.0020285192877054214,0.00019551794684957713,0.0020285197533667088,0.00018351647304371,0.0,-18.41403726488425,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013658785610459745,-0.0036982207093387842,-0.0012133069103583694,0.9999924302101135,0.0012499840231612325,9.548531670589e-05,-4.456471651792526e-05,0.014875693246722221,-0.12992623448371887,-0.08210466802120209,-0.4805821478366852,0.5516639947891235,0.4844028353691101,-2.0224802494049072,-0.407937228679657,2.4878382682800293,1.0545412302017212,-0.0002300870546605438,0.004876749590039253,-0.0016520393546670675,-0.002748212544247508,-0.005223608575761318,0.008167732506990433,0.0038213455118238926,0.5998947620391846,-5.0505754188634455e-05,0.08901003748178482,-0.0012178492033854127,0.9999922513961792,0.00012978073209524155,0.00372024136595428,-5.753870937041938e-06,-5.132460501044989e-06,0.032393958419561386,2.202967334596906e-05,6.796721208957024e-06,0.9999999403953552,-4.514290139923105e-06,-0.00010315188410459086,0.0001808897650334984,-0.0020178030245006084,-3.400299192435341e-06,-0.00017690069216769189,8.319765038322657e-05,-0.0001181131083285436,-0.00018583174096420407,0.0020165336318314075,2.329644667042885e-05,0.00016219531244132668,-8.263323252322152e-05,-0.00018489360809326172,-6.069014125387184e-05,0.02499924600124359,0.004024845082312822,0.0040390207432210445,5.0829712563427165e-06,7.188646122813225e-06,1074,0,0,6.950000000000135,0.0822407029145775,0.028317744949840885,0.1557475972241249,-0.4523238660301762,18.359412997961044,False,False,,,,0,False,False,False,False,False,True,True,0.5998290777206421,-6.449525972129777e-05,0.0888073742389679,-0.0013642379781231284,0.9999911785125732,2.158522875106428e-06,0.00396434310823679
8.958333333325186,insert,8.958333800546825,18.60657585991788,18.40697005391121,0.12969970703125,0.034295168006792665,0.44762441581863394,0.002255480694657308,0.03956468118525214,0.0,0.0,0.0,0.0,65,0.002410483779385686,0.00011443374387454242,0.0024104842450469732,0.00013827483053319156,0.0,-18.438165128408958,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013312163355294615,-0.0037112783174961805,-0.0012173090362921357,0.999992311000824,0.0008283733623102307,9.309129382018e-05,-1.0119052603840828e-05,0.014526788145303726,-0.10563454031944275,-0.06432250887155533,-0.48058226704597473,0.5517092347145081,0.48439139127731323,-2.0224897861480713,-0.407982736825943,2.4878997802734375,1.054564118385315,-0.00024191176635213196,0.004835196770727634,-0.0016356910346075892,-0.0027442160062491894,-0.00520492997020483,0.008144473657011986,0.0038253264501690865,0.5998934507369995,-5.0722912419587374e-05,0.08898644149303436,-0.001220824895426631,0.999992311000824,0.0001325438206549734,0.0037276397924870253,-5.222551408223808e-06,-5.892303306609392e-06,0.03239437937736511,1.6362750102416612e-05,5.713018254027702e-07,0.9999999403953552,-3.5114383081236156e-06,-0.0004697918484453112,0.00013267147005535662,-0.0023605350870639086,6.01074134465307e-05,-9.228614544554148e-06,9.693819447420537e-05,-0.00048733994481153786,-0.00013855722500011325,0.002356636570766568,7.999651279533282e-05,-5.839510777150281e-05,-9.649091225583106e-05,-0.00018554925918579102,-6.0889684391440824e-05,0.024999238550662994,0.004024845082312822,0.0040390221402049065,5.077348760096356e-06,7.190043106675148e-06,1075,0,0,6.958333333333469,0.08241743448361774,0.02837859850920145,0.15608229180060798,-0.45329588965989753,18.38296428322792,False,False,,,,0,False,False,False,False,False,True,True,0.5998287200927734,-6.46352200419642e-05,0.0887860655784607,-0.0013673375360667706,0.9999911785125732,2.1404055132734356e-06,0.003972806967794895
8.966666666658512,insert,8.966667134314775,18.62773871527812,18.430372327566147,0.12886524200439453,0.03426887997193262,0.4484978345989087,0.0076816777436761186,0.03956468118525214,0.0,0.0,0.0,0.0,63,0.0022911408450454473,0.00010345884220441803,0.0022911413107067347,0.00011250665556872264,0.0,-18.461628269628303,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014128847396932542,-0.0037172024603933096,-0.0012202885700389743,0.9999923706054688,0.0007017444586381316,9.087371290661395e-05,1.6170786693692207e-05,0.014806780032813549,-0.09826628118753433,-0.058795228600502014,-0.4805823862552643,0.5517442226409912,0.48438000679016113,-2.0224971771240234,-0.4080279767513275,2.4879536628723145,1.0545870065689087,-0.00025641731917858124,0.0047930325381457806,-0.001614928594790399,-0.0027407256420701742,-0.005177309270948172,0.008105198852717876,0.0038180279079824686,0.5998939871788025,-5.252534174360335e-05,0.08896837383508682,-0.0012202003272250295,0.9999921917915344,0.00013506229151971638,0.003736953716725111,-7.236027158796787e-06,-7.695736712776124e-06,0.032399702817201614,1.975957457034383e-05,6.201750693435315e-06,0.9999999403953552,1.1374770281236124e-07,-2.690460860321764e-06,8.54992977110669e-05,-0.002289543393999338,7.391884719254449e-05,-2.7001349735655822e-05,6.716147618135437e-05,-1.9777460693148896e-05,-9.108943049795926e-05,0.0022892444394528866,8.674548007547855e-05,2.6782494387589395e-05,-6.645049143116921e-05,-0.00018584728240966797,-6.104022759245709e-05,0.024999238550662994,0.004024847876280546,0.004039026331156492,5.079411494079977e-06,7.186026778072119e-06,1076,0,0,6.966666666666803,0.08259757656379732,0.02844062640172272,0.156423445209475,-0.4542866711008853,18.40697005391121,False,False,,,,0,False,False,False,False,False,True,True,0.59982830286026,-6.475855479948223e-05,0.08876488357782364,-0.0013701985590159893,0.9999910593032837,2.2265969619184034e-06,0.003981509245932102
8.974999999991837,insert,8.975000468082726,18.648756713867527,18.448305875062943,0.12969970703125,0.03244146137149073,0.4489339067758656,0.005242554834694602,0.03956468118525214,0.0,0.0,0.0,0.0,60,0.0018156224396079779,0.00025042626657523215,0.0018156225560232997,0.0002819308720063418,0.0,-18.479592206497923,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014284368080552667,-0.003724890062585473,-0.0012191535206511617,0.9999922513961792,0.0011982244905084372,9.502148895990103e-05,2.108002081513405e-05,0.014803090132772923,-0.1268986463546753,-0.07993113249540329,-0.48058268427848816,0.5517789721488953,0.48436859250068665,-2.0225088596343994,-0.4080698490142822,2.488007068634033,1.0546098947525024,-0.00027592279366217554,0.004752686712890863,-0.001585054094903171,-0.0027487031184136868,-0.005115746054798365,0.008040133863687515,0.003791084745898843,0.5998920202255249,-5.409806908573955e-05,0.08894859999418259,-0.0012206981191411614,0.9999922513961792,0.00013642158592119813,0.0037433719262480736,-4.8367801355198026e-06,-7.412265404127538e-06,0.03239789977669716,1.848972351581324e-05,6.40525149719906e-06,0.9999999403953552,-1.5178219427980366e-06,0.0006322419503703713,-0.0002529066987335682,-0.0016830903477966785,0.0002040091494563967,-0.00012048611097270623,8.109675400191918e-05,0.0006195526802912354,0.0002489619073458016,0.0016883891075849533,0.0001680021669017151,0.000212058934266679,-7.93176659499295e-05,-0.0001862049102783203,-6.098380981711671e-05,0.024999231100082397,0.0040248483419418335,0.004039024002850056,5.078434696770273e-06,7.1910908445715904e-06,1077,0,0,6.975000000000136,0.082773189932464,0.028501094933817476,0.15675602213599615,-0.45525254462855197,18.430372327566147,False,False,,,,0,False,False,False,False,False,True,True,0.5998279452323914,-6.488344661192968e-05,0.08874386548995972,-0.001373059581965208,0.9999910593032837,2.2149981759866932e-06,0.003989853896200657
