intervention,trigger_time_s,trigger_depth_mm,trigger_eta_raw,commanded_retract_mm,hand_target_retract_mm,actual_retract_mm,max_actual_retract_mm,safe_target_crossed,time_to_0_5_mm_s,sustained_0_5_mm_at_recovery_end,online_verified,recovery_status,recovery_end_time_s,recovery_end_depth_mm,recovery_safety_stop,before_samples,after_samples,after_window_duration_s,rejoin_started,rejoin_start_time_s,retry_started,retry_start_time_s,retry_observed_s,retry_evaluable,stall_observed_after_retry,stall_after_retry,first_stall_before_trigger,trigger_wrist_force_n,after_wrist_force_n,before_mean_wrist_force_n,after_mean_wrist_force_n,trigger_wrist_torque_nm,after_wrist_torque_nm,before_mean_wrist_torque_nm,after_mean_wrist_torque_nm,trigger_normal_load_n,after_normal_load_n,before_mean_normal_load_n,after_mean_normal_load_n,trigger_force_norm_n,after_force_norm_n,before_mean_force_norm_n,after_mean_force_norm_n,trigger_torque_norm_nm,after_torque_norm_nm,before_mean_torque_norm_nm,after_mean_torque_norm_nm,trigger_fx,after_fx,before_mean_fx,after_mean_fx,trigger_fy,after_fy,before_mean_fy,after_mean_fy,trigger_fz,after_fz,before_mean_fz,after_mean_fz,trigger_taux,after_taux,before_mean_taux,after_mean_taux,trigger_tauy,after_tauy,before_mean_tauy,after_mean_tauy,trigger_tauz,after_tauz,before_mean_tauz,after_mean_tauz,normal_load_drop_n,contact_load_decreased,load_decreased_after_verified_unloading,actual_dx_mm,actual_dy_mm,actual_droll_deg,actual_dpitch_deg,trigger_x_mm,trigger_y_mm,trigger_roll_deg,trigger_pitch_deg,after_x_mm,after_y_mm,after_roll_deg,after_pitch_deg,lateral_error_before_mm,lateral_error_after_mm,tilt_error_before_deg,tilt_error_after_deg,verification_time_s,retry_ready_time_s,ready_to_retry,time_to_verified_unloading_s,commanded_relax_fraction,commanded_relax_x_mm,commanded_relax_y_mm,commanded_relax_roll_deg,commanded_relax_pitch_deg,relax_end_actual_retreat_mm,relax_end_normal_load_n,relax_end_x_mm,relax_end_y_mm,relax_end_roll_deg,relax_end_pitch_deg,verified_mean_normal_load_n,verified_mean_wrist_force_n,verified_mean_wrist_torque_nm,retry_success,repeated_stall,case_id,repeat,policy,run_id
1,9.3,17.278773337602615,0.03839138244944087,0.5813867187500001,0.6607323884963989,0.6362497806549072,0.698532909154892,True,1.5999999999994738,True,True,verified,11.399999999999446,16.642523556947708,False,13,13,0.09999999999999432,True,11.408333333332779,True,11.90833333333275,0.7416666666666245,True,False,False,True,2.029621124267578,0.0028782207518815994,1.7449971345754771,0.0020563483972532246,0.041821371763944626,0.0002517554385121912,0.08423580888372201,0.0002998626027524901,13.962629318237305,0.0,13.351592504061186,0.0,2.18161940574646,0.0,1.97685530094,0.0,0.12012437731027603,0.0,0.11104249209165573,0.0,0.22112226486206055,0.0,0.03293595634973966,0.0,-0.5220466256141663,0.0,-0.5102704935348951,0.0,2.1066646575927734,0.0,1.1443161460069509,0.0,0.12004337459802628,0.0,0.1109904795885086,0.0,0.004379221238195896,0.0,0.002472349466048539,0.0,-0.0005249327514320612,0.0,-0.00028071600312474544,0.0,13.351592504061186,True,True,0.06955862045288086,0.5088833131594583,3.8823288766041912,-0.06062589362343829,0.00286102294921875,-0.618844642303884,-4.013133040538136,0.030862304778041905,0.07241964340209961,-0.10996132914442569,-0.13080416393395344,-0.02976358884540011,0.6188512557638856,0.13166661937520835,4.013251709389168,0.13414768176684452,11.15,11.4,True,1.8499999999999996,1.0,-0.00286102294921875,0.618844642303884,4.0131330405381505,-0.030862304778054295,0.02783164381980896,0.5646377801895142,-0.0007748603820800781,-0.5328170373104513,-2.2083695702953348,0.01701227638994354,0.0,0.006283437582449271,0.000922926074753587,True,False,y_negative_tilt,0,dewedge,y_negative_tilt/repeat0/dewedge
1,9.3,17.278773337602615,0.03839138244944087,5.0,5.000002682209015,0.2680383622646332,0.2683475613594055,False,,False,False,budget_exhausted,14.549999999999176,17.010734975337982,False,13,13,0.09999999999999432,False,,False,,0.0,False,False,,True,2.029621124267578,2.7275514602661133,1.7449971345754771,2.767587056526771,0.041821371763944626,0.09386990964412689,0.08423580888372201,0.09234134680949725,13.962629318237305,9.705376625061035,13.351592504061186,9.818673574007475,2.18161940574646,2.7256600856781006,1.97685530094,2.767972469329834,0.12012437731027603,0.05981643497943878,0.11104249209165573,0.06152248783753468,0.22112226486206055,-0.15485793352127075,0.03293595634973966,-0.11083201376291421,-0.5220466256141663,0.09390202164649963,-0.5102704935348951,0.013312355830119206,2.1066646575927734,-2.7196366786956787,1.1443161460069509,-2.765259871116051,0.12004337459802628,0.059784844517707825,0.1109904795885086,0.06149791553616524,0.004379221238195896,-0.0019357326673343778,0.002472349466048539,0.001025513351823275,-0.0005249327514320612,-0.00017654993280302733,-0.00028071600312474544,-0.0004525893611851363,3.532918930053711,True,,0.0033974647521972656,0.016450416296720505,0.019104915752450324,-0.09426408889257232,0.00286102294921875,-0.618844642303884,-4.013133040538136,0.030862304778041905,0.006258487701416016,-0.6023942260071635,-3.9940281247857,-0.06340178411454113,0.6188512557638856,0.602426735956397,4.013251709389168,3.9945313176652006,,,False,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,y_negative_tilt,0,axial,y_negative_tilt/repeat0/axial
1,8.8,16.363611072301865,0.13853715611924391,0.7008448169849526,0.7894262671470642,0.6579272449016553,0.7670000195503217,True,1.6916666666571238,True,True,verified,10.99166666665667,15.70568382740021,False,13,13,0.09999999999990905,True,10.999999999989996,True,11.49999999998954,1.0333333333323935,True,False,False,False,0.5537571310997009,0.0020328357350081205,1.2800959738401265,0.0036431959866044614,0.09101869910955429,0.00039978092536330223,0.10443205615648857,0.0006432523861384162,12.28359603881836,0.0,11.459236585176908,0.0,0.4590231478214264,0.0,1.4078006056638865,0.0,0.09846263378858566,0.0,0.09623043239116669,0.0,-0.02928781509399414,0.0,0.060083093551489025,0.0,0.08933819830417633,0.0,0.010577021883084224,0.0,0.449291855096817,0.0,1.0092435020666857,0.0,-0.09831909835338593,0.0,-0.09607989341020584,0.0,-0.004171036183834076,0.0,-0.004413890670268581,0.0,-0.0032935705967247486,0.0,-0.002714418125553773,0.0,11.459236585176908,True,True,-0.08821487426757812,-0.5196348356548697,-4.096458617734214,0.0015731742572313578,0.0362396240234375,0.6133322604000568,4.221700115857729,0.014728436757178416,-0.051975250244140625,0.09369742474518716,0.12524149812351085,0.01630161101441656,0.6144019628848879,0.10714772065620926,4.221725807662368,0.12629796266720503,10.741666666666667,10.991666666666667,True,1.9416666666666664,1.0,-0.0362396240234375,-0.6133322604000568,-4.221700115857743,-0.014728436757167174,0.11725723743438721,0.5961380004882812,0.008940696716308594,0.5341467913240194,2.318026738513193,0.0028441740371383008,0.0,0.006544000397507961,0.001021345320623368,True,False,y_positive_combined,0,dewedge,y_positive_combined/repeat0/dewedge
1,8.8,16.349250078201294,0.13766723160504052,5.0,5.000002682209015,0.01076236367225647,0.012788921594619751,False,,False,False,budget_exhausted,14.049999999987222,16.338487714529037,False,13,13,0.09999999999990905,False,,False,,0.0,False,False,,False,0.9191665053367615,3.0872585773468018,1.210247916670946,2.9109664146716776,0.12071854621171951,0.0853683203458786,0.09763026008239159,0.08827589624203168,12.381815910339355,7.398425102233887,11.47310051551232,7.515250866229717,1.2786616086959839,3.128063440322876,1.3436183000986393,2.9125546492063084,0.10131257027387619,0.053411152213811874,0.09060303121805191,0.05402864687717878,-0.18099409341812134,-0.13999128341674805,0.057606784197000355,-0.10855713257422814,0.35581883788108826,0.014646288007497787,0.03709491313650058,0.0013825827493117405,-1.2147467136383057,-3.124894857406616,0.898781038247622,-2.909164694639353,-0.1010388433933258,-0.05294952541589737,-0.09047221678953904,-0.05360161971587401,-0.006462337914854288,0.006318195722997189,-0.003501203108149079,0.006086683903749173,-0.0036916560493409634,-0.003029751591384411,-0.002665010692838293,-0.002871459905201426,3.9578496492826023,True,,0.012755393981933594,-0.025944202207028866,-0.12456151413906014,-0.07849893302866917,0.03921985626220703,0.6139191100373864,4.223839751485366,0.008897284592546281,0.051975250244140625,0.5879749078303576,4.099278237346319,-0.06960164843612315,0.6151706029991394,0.5902676671443715,4.223849122293679,4.099869077988487,,,False,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,y_positive_combined,0,axial,y_positive_combined/repeat0/axial
1,9.4,17.178142070770264,0.22630301380877108,0.550349121093749,0.6270036101341248,0.5787499248981476,0.6219856441020966,True,1.574999999990018,True,True,verified,11.474999999989564,16.599392145872116,False,13,13,0.09999999999990905,True,11.48333333332289,True,11.983333333322435,0.8083333333325982,True,False,False,False,2.231318235397339,0.0013203189009800553,1.6523875364890466,0.0064224127518872805,0.07639401406049728,0.0006000380963087082,0.05090626916633202,0.0008593014253375048,10.286270141601562,0.0,9.763379023625301,0.0,2.301567316055298,0.0,1.6631656334950373,0.0,0.10487284511327744,0.0,0.10268616275145458,0.0,-0.7689828872680664,0.0,-0.935112898166363,0.0,0.0011144429445266724,0.0,-0.005181270150037913,0.0,2.1693029403686523,0.0,1.3526407388540416,0.0,-0.00431688129901886,0.0,-0.004830092012595672,0.0,-0.10476533323526382,0.0,-0.10255440381857064,0.0,0.0019757316913455725,0.0,0.0018173972538744027,0.0,9.763379023625301,True,True,0.5640983581542969,-0.01060887586845638,-0.011401478264048137,-3.820227375781343,-0.5966424942016602,0.012134451935708057,0.01817206092819788,3.9481449537900635,-0.03254413604736328,0.0015255760672516772,0.0067705826641478,0.12791757800870796,0.5967658760443312,0.03257987374754944,3.948186773689452,0.12809663365298068,11.225,11.475,True,1.8249999999999993,1.0,0.5966424942016602,-0.012134451935708057,-0.01817206092820811,-3.948144953790063,-0.1481287181377411,1.0537092685699463,-0.5344152450561523,0.03524830754031427,0.014563537651812918,2.195351951548127,0.0,0.004257556624137438,0.0007908224181916851,True,False,x_positive_combined,0,dewedge,x_positive_combined/repeat0/dewedge
1,9.4,17.178142070770264,0.22630301380877108,5.0,5.000002682209015,0.08394196629524231,0.08436664938926697,False,,False,False,budget_exhausted,14.649999999986676,17.09420010447502,False,13,13,0.09999999999990905,False,,False,,0.0,False,False,,False,2.231318235397339,2.8280811309814453,1.6523875364890466,2.8617241015801063,0.07639401406049728,0.04950537532567978,0.05090626916633202,0.051619253192956634,10.286270141601562,4.75164794921875,9.763379023625301,4.723901711977446,2.301567316055298,2.8250370025634766,1.6631656334950373,2.861252491290753,0.10487284511327744,0.035259608179330826,0.10268616275145458,0.03463917254255368,-0.7689828872680664,-0.10653296858072281,-0.935112898166363,-0.078676554446037,0.0011144429445266724,-0.0038033127784729004,-0.005181270150037913,0.004763402044773102,2.1693029403686523,-2.8230249881744385,1.3526407388540416,-2.860029202241164,-0.00431688129901886,0.0013459043111652136,-0.004830092012595672,0.00122902262955904,-0.10476533323526382,-0.0352335162460804,-0.10255440381857064,-0.03461675087992962,0.0019757316913455725,-0.00016687536844983697,0.0018173972538744027,-0.00012885716848988802,5.039477311647856,True,,0.02300739288330078,-0.015000636267359369,-0.054350333651711935,-0.10967645617409971,-0.5966424942016602,0.012134451935708057,0.01817206092819788,3.9481449537900635,-0.5736351013183594,-0.0028661843316513114,-0.036178272723522815,3.838468497615978,0.5967658760443312,0.5736422617600166,3.948186773689452,3.83863898727238,,,False,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,x_positive_combined,0,axial,x_positive_combined/repeat0/axial
1,8.8,16.363611072301865,0.13853715611924391,0.7008448169849526,0.7894262671470642,0.6579272449016553,0.7670000195503217,True,1.6916666666571238,True,True,verified,10.99166666665667,15.70568382740021,False,13,13,0.09999999999990905,True,10.999999999989996,True,11.49999999998954,1.0333333333323935,True,False,False,False,0.5537571310997009,0.0020328357350081205,1.2800959738401265,0.0036431959866044614,0.09101869910955429,0.00039978092536330223,0.10443205615648857,0.0006432523861384162,12.28359603881836,0.0,11.459236585176908,0.0,0.4590231478214264,0.0,1.4078006056638865,0.0,0.09846263378858566,0.0,0.09623043239116669,0.0,-0.02928781509399414,0.0,0.060083093551489025,0.0,0.08933819830417633,0.0,0.010577021883084224,0.0,0.449291855096817,0.0,1.0092435020666857,0.0,-0.09831909835338593,0.0,-0.09607989341020584,0.0,-0.004171036183834076,0.0,-0.004413890670268581,0.0,-0.0032935705967247486,0.0,-0.002714418125553773,0.0,11.459236585176908,True,True,-0.08821487426757812,-0.5196348356548697,-4.096458617734214,0.0015731742572313578,0.0362396240234375,0.6133322604000568,4.221700115857729,0.014728436757178416,-0.051975250244140625,0.09369742474518716,0.12524149812351085,0.01630161101441656,0.6144019628848879,0.10714772065620926,4.221725807662368,0.12629796266720503,10.741666666666667,10.991666666666667,True,1.9416666666666664,1.0,-0.0362396240234375,-0.6133322604000568,-4.221700115857743,-0.014728436757167174,0.11725723743438721,0.5961380004882812,0.008940696716308594,0.5341467913240194,2.318026738513193,0.0028441740371383008,0.0,0.006544000397507961,0.001021345320623368,True,False,y_positive_combined,1,dewedge,y_positive_combined/repeat1/dewedge
1,8.8,16.363611072301865,0.13853715611924391,5.0,5.000002682209015,0.02851337194442749,0.02954527735710144,False,,False,False,budget_exhausted,14.049999999987222,16.335097700357437,False,13,13,0.09999999999990905,False,,False,,0.0,False,False,,False,0.5537571310997009,2.972757577896118,1.2800959738401265,2.9050558713766246,0.09101869910955429,0.08240072429180145,0.10443205615648857,0.08853042354950538,12.28359603881836,7.029731750488281,11.459236585176908,7.072257041931152,0.4590231478214264,2.989638328552246,1.4078006056638865,2.9069021390034604,0.09846263378858566,0.0538749061524868,0.09623043239116669,0.05483686064298336,-0.02928781509399414,-0.12722896039485931,0.060083093551489025,-0.11524177973087017,0.08933819830417633,0.023123841732740402,0.010577021883084224,-0.005491245967837481,0.449291855096817,-2.98684024810791,1.0092435020666857,-2.9036208116091213,-0.09831909835338593,-0.05386677011847496,-0.09607989341020584,-0.05482214660598682,-0.004171036183834076,0.0006062359316274524,-0.004413890670268581,0.00040652712162297504,-0.0032935705967247486,-0.0007136070635169744,-0.002714418125553773,-0.0007758551510050893,4.386979543245756,True,,-0.0028014183044433594,-0.025844783522188663,-0.12735614315866428,-0.10689755538496115,0.0362396240234375,0.6133322604000568,4.221700115857729,0.014728436757178416,0.03343820571899414,0.5874874768778682,4.094343972699067,-0.0921691186277871,0.6144019628848879,0.5884383137509228,4.221725807662368,4.095381265914787,,,False,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,y_positive_combined,1,axial,y_positive_combined/repeat1/axial
1,9.4,17.178142070770264,0.22630301380877108,5.0,5.000002682209015,0.08394196629524231,0.08436664938926697,False,,False,False,budget_exhausted,14.649999999986676,17.09420010447502,False,13,13,0.09999999999990905,False,,False,,0.0,False,False,,False,2.231318235397339,2.8280811309814453,1.6523875364890466,2.8617241015801063,0.07639401406049728,0.04950537532567978,0.05090626916633202,0.051619253192956634,10.286270141601562,4.75164794921875,9.763379023625301,4.723901711977446,2.301567316055298,2.8250370025634766,1.6631656334950373,2.861252491290753,0.10487284511327744,0.035259608179330826,0.10268616275145458,0.03463917254255368,-0.7689828872680664,-0.10653296858072281,-0.935112898166363,-0.078676554446037,0.0011144429445266724,-0.0038033127784729004,-0.005181270150037913,0.004763402044773102,2.1693029403686523,-2.8230249881744385,1.3526407388540416,-2.860029202241164,-0.00431688129901886,0.0013459043111652136,-0.004830092012595672,0.00122902262955904,-0.10476533323526382,-0.0352335162460804,-0.10255440381857064,-0.03461675087992962,0.0019757316913455725,-0.00016687536844983697,0.0018173972538744027,-0.00012885716848988802,5.039477311647856,True,,0.02300739288330078,-0.015000636267359369,-0.054350333651711935,-0.10967645617409971,-0.5966424942016602,0.012134451935708057,0.01817206092819788,3.9481449537900635,-0.5736351013183594,-0.0028661843316513114,-0.036178272723522815,3.838468497615978,0.5967658760443312,0.5736422617600166,3.948186773689452,3.83863898727238,,,False,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,x_positive_combined,1,axial,x_positive_combined/repeat1/axial
1,9.4,17.18979850411415,0.23352861448159848,0.5606192129629619,0.636756420135498,0.5538947880268097,0.6378516554832458,True,1.5833333333233437,True,True,verified,11.48333333332289,16.63590371608734,False,13,13,0.09999999999990905,True,11.491666666656215,True,11.99166666665576,0.7833333333326209,True,False,False,False,2.42136549949646,0.004071395378559828,1.685145378112793,0.006193540506781294,0.09704920649528503,0.0003130203112959862,0.0523996960120992,0.0007312432482229689,10.488860130310059,0.0,9.981775944049541,0.0,2.5099751949310303,0.0,1.7161213709757879,0.0,0.10932298749685287,0.0,0.10352653322311547,0.0,-0.8307818174362183,0.0,-0.9544427073918856,0.0,-0.004877299070358276,0.0,-0.004991768644406245,0.0,2.3684916496276855,0.0,1.3603421793534205,0.0,-0.0014053814811632037,0.0,-0.0013348386777439513,0.0,-0.10930818319320679,0.0,-0.10351144235867721,0.0,0.0011232288088649511,0.0,0.0008107615979567457,0.0,9.981775944049541,True,True,0.5102753639221191,-0.005330377462087199,-0.01771703282628323,-3.8058896918227845,-0.5977749824523926,0.012754816452797968,0.021790709436768623,3.947664295259402,-0.08749961853027344,0.007424438990710769,0.004073676610495865,0.14177460343661843,0.5979110427051024,0.08781403952256243,3.9477244360623334,0.14183311679836033,11.233333333333333,11.483333333333333,True,1.8333333333333321,1.0,0.5977749824523926,-0.012754816452797968,-0.02179070943677175,-3.9476642952594148,-0.13048574328422546,1.0069727897644043,-0.5333423614501953,0.05049236642662436,0.013787695400882882,2.2035636632842572,0.0,0.003700956335076346,0.000619122668957481,True,False,x_positive_combined,1,dewedge,x_positive_combined/repeat1/dewedge
