case_id,repeat,prefix_matched,axial_load_drop_n,dewedge_load_drop_n,additional_dewedge_drop_n,axial_recovery_safe,dewedge_recovery_safe,axial_recovery_duration_s,dewedge_recovery_duration_s
x_positive_combined,0,True,5.039477311647856,9.763379023625301,4.723901711977446,True,True,5.2499999999866755,2.074999999989563
x_positive_combined,1,False,5.039477311647856,9.981775944049541,4.942298632401686,True,True,5.2499999999866755,2.083333333322889
y_negative_tilt,0,True,3.532918930053711,13.351592504061186,9.818673574007475,True,True,5.249999999999176,2.0999999999994454
y_negative_tilt,1,False,3.8316783905029297,13.351592504061186,9.519914113558256,True,True,5.249999999986766,2.099999999989631
y_positive_combined,0,False,3.9578496492826023,11.459236585176908,7.501386935894306,True,True,5.249999999987221,2.191666666656669
y_positive_combined,1,True,4.386979543245756,11.459236585176908,7.072257041931152,True,True,5.249999999987221,2.191666666656669
