case_id,repeat,policy,run_id,log,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows,safety_stop,actual_unloading_crossings,verified_unloadings,recovery_failures,ready_unloadings,retry_successes,retries,evaluable_retries,stalled_retries,max_commanded_retract_mm,max_actual_retract_mm
x_positive_combined,0,axial,x_positive_combined/repeat0/axial,x_positive_combined/repeat0/axial/trajectory.csv,False,False,0,0.0,,3.1866049766540527,0.16668827831745148,10.542981147766113,3.2645509243011475,0.04807920049643144,0.0849039206514135,0.14265250287968312,False,False,True,True,1,12.649999999986676,,17.09420010447502,17.186371237039566,7.3999999999999995,5.25,unloading_budget_exhausted,1759,False,0,0,1,0,0,0,0,0,5.0,0.08436664938926697
x_positive_combined,0,nominal,x_positive_combined/repeat0/nominal,x_positive_combined/repeat0/nominal/trajectory.csv,False,True,1,0.4,9.474999999991383,2.5987117290496826,0.16994065046310425,13.568143844604492,2.7254886627197266,0.06472731911344454,0.09009670611703768,0.17693865179075874,False,False,True,True,0,19.99999999997999,,17.18268319964409,17.191430181264877,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0,0,0.0,0.0
x_positive_drift_control,1,axial,x_positive_drift_control/repeat1/axial,x_positive_drift_control/repeat1/axial/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333324367,7.858333333324367,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184,False,0,0,0,0,0,0,0,0,0.0,0.0
x_positive_drift_control,1,dewedge,x_positive_drift_control/repeat1/dewedge,x_positive_drift_control/repeat1/dewedge/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333324367,7.858333333324367,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184,False,0,0,0,0,0,0,0,0,0.0,0.0
x_positive_drift_control,1,nominal,x_positive_drift_control/repeat1/nominal,x_positive_drift_control/repeat1/nominal/trajectory.csv,True,False,0,0.0,,1.3188409805297852,0.0904630497097969,1.1792409420013428,1.4740432500839233,0.0024290864075737773,0.022446662114816718,0.07912936237050427,False,False,True,True,0,7.8499999999910415,7.8499999999910415,19.701843708753586,19.701843708753586,7.85,0.0,insertion_success,1183,False,0,0,,0,0,0,0,0,0.0,0.0
y_positive_combined,1,dewedge,y_positive_combined/repeat1/dewedge,y_positive_combined/repeat1/dewedge/trajectory.csv,True,False,0,0.0,,2.8982291221618652,0.1762472540140152,12.793746948242188,3.2493224143981934,0.06426851905416697,0.04275553874322213,0.11869404022070311,False,False,True,True,1,10.533333333321934,10.533333333321934,19.812142103910446,19.812142103910446,7.841666666666667,2.6916666666666664,insertion_success,1505,False,1,1,0,1,1,1,1,0,0.7008448169849526,0.7670000195503217
y_positive_combined,1,axial,y_positive_combined/repeat1/axial,y_positive_combined/repeat1/axial/trajectory.csv,False,False,0,0.0,,3.8694007396698,0.1562565118074417,12.793744087219238,4.2099995613098145,0.06426851905416697,0.04275553874322213,0.11869404022070311,False,False,True,True,1,12.049999999987222,,16.335097700357437,16.365887224674225,6.8,5.25,unloading_budget_exhausted,1687,False,0,0,1,0,0,0,0,0,5.0,0.02954527735710144
y_positive_combined,1,nominal,y_positive_combined/repeat1/nominal,y_positive_combined/repeat1/nominal/trajectory.csv,False,True,1,1.0333333333333332,8.841666666658625,3.702772378921509,0.156391903758049,16.364242553710938,3.998408555984497,0.08353835437446833,0.053296313126338646,0.15825873808122176,False,False,True,True,0,19.99999999997999,,16.353821009397507,16.356760263442993,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0,0,0.0,0.0
x_positive_combined,1,axial,x_positive_combined/repeat1/axial,x_positive_combined/repeat1/axial/trajectory.csv,False,False,0,0.0,,3.1866049766540527,0.16668827831745148,10.542981147766113,3.2645509243011475,0.04807920049643144,0.0849039206514135,0.14265250287968312,False,False,True,True,1,12.649999999986676,,17.09420010447502,17.186371237039566,7.3999999999999995,5.25,unloading_budget_exhausted,1759,False,0,0,1,0,0,0,0,0,5.0,0.08436664938926697
x_positive_combined,1,nominal,x_positive_combined/repeat1/nominal,x_positive_combined/repeat1/nominal/trajectory.csv,False,True,1,0.4,9.474999999991383,2.686657428741455,0.16668827831745148,12.722184181213379,2.7998125553131104,0.059156183851882815,0.09595482697477564,0.17245846124184028,False,False,True,True,0,19.99999999997999,,17.17936024069786,17.186371237039566,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0,0,0.0,0.0
x_positive_combined,1,dewedge,x_positive_combined/repeat1/dewedge,x_positive_combined/repeat1/dewedge/trajectory.csv,True,False,0,0.0,,2.42136549949646,0.1959102600812912,10.595537185668945,2.5099751949310303,0.05004547710996121,0.078622717410326,0.14265250287968312,False,False,True,True,1,10.774999999988381,10.774999999988381,19.71459910273552,19.71459910273552,8.191666666666666,2.5833333333333335,insertion_success,1534,False,1,1,0,1,1,1,1,0,0.5606192129629619,0.6378516554832458
y_negative_tilt,1,nominal,y_negative_tilt/repeat1/nominal,y_negative_tilt/repeat1/nominal/trajectory.csv,False,True,1,0.5916666666666667,9.28333333332489,3.4483203887939453,0.1435348242521286,16.214092254638672,3.8684370517730713,0.08058892854023725,0.05135238097864203,0.11869404022070311,False,False,True,True,0,19.99999999997999,,16.969328373670578,17.298878729343414,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0,0,0.0,0.0
y_negative_tilt,1,dewedge,y_negative_tilt/repeat1/dewedge,y_negative_tilt/repeat1/dewedge/trajectory.csv,True,True,1,0.025,9.28333333332489,3.4483203887939453,0.1435348242521286,13.962629318237305,3.8684370517730713,0.06885664333822206,0.048859768867259845,0.11190581936148891,False,False,True,True,1,10.649999999988495,10.649999999988495,19.678441435098648,19.678441435098648,8.05,2.6,insertion_success,1519,False,1,1,0,1,1,1,1,0,0.5813867187500001,0.698532909154892
y_negative_tilt,1,axial,y_negative_tilt/repeat1/axial,y_negative_tilt/repeat1/axial/trajectory.csv,False,True,1,0.016666666666666666,9.291666666658216,3.9273645877838135,0.1526114046573639,14.065284729003906,4.214634895324707,0.06997086893534288,0.04725272083305754,0.10467831195095843,False,False,True,True,1,12.549999999986767,,17.10754781961441,17.304041981697083,7.3,5.25,unloading_budget_exhausted,1747,False,0,0,1,0,0,0,0,0,5.0,0.18018856644630432
