repeat,order,axis,sign,amplitude_si,probe_id,log,reason,prefix_matched,paused_matched,prefix_safe,return_matched,completed,eligible,numerically_valid,grasp_retained,force_budget_exceeded,torque_budget_exceeded,max_normal_load_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,case_id,local_success,local_stalled,baseline_valid_repeats,baseline_n_equiv,above_baseline
0,0,hold,0,0.0,r0_hold_+0,successful_contact/r0_hold_+0/probe.csv,preparation_rejected,False,False,True,True,False,False,True,True,False,False,1.8735073804855347,0.021653408111887984,0.013833840057486668,0.03956468118525214,successful_contact,True,False,0,,False
0,1,roll,-1,0.003490658503988659,r0_roll_-1,successful_contact/r0_roll_-1/probe.csv,preparation_rejected,False,False,True,True,False,False,True,True,False,False,0.2948479950428009,0.0006406885404430795,0.008951367817644496,0.03956468118525214,successful_contact,True,False,0,,False
