time_s,phase,command_depth_mm,depth_mm,tip_x_mm,tip_y_mm,tilt_deg,grasp_slip_mm,grasp_slip_deg,force_norm_n,torque_norm_nm,normal_load_n,min_separation_mm,contact_count,wrist_force_n,wrist_torque_nm,wrist_contact_force_balance_n,wrist_contact_torque_balance_nm,contact_power_w,lowest_peg_z_above_mouth_mm,fx,fy,fz,taux,tauy,tauz,qw,qx,qy,qz,vx,vy,vz,omegax,omegay,omegaz,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad,joint_velocity1_rad_s,joint_velocity2_rad_s,joint_velocity3_rad_s,joint_velocity4_rad_s,joint_velocity5_rad_s,joint_velocity6_rad_s,joint_velocity7_rad_s,hand_pose_0,hand_pose_1,hand_pose_2,hand_pose_3,hand_pose_4,hand_pose_5,hand_pose_6,grasp_position_0,grasp_position_1,grasp_position_2,grasp_quat_0,grasp_quat_1,grasp_quat_2,grasp_quat_3,wrist_raw_child_0,wrist_raw_child_1,wrist_raw_child_2,wrist_raw_child_3,wrist_raw_child_4,wrist_raw_child_5,wrist_force_world_0,wrist_force_world_1,wrist_force_world_2,wrist_torque_about_peg_base_world_0,wrist_torque_about_peg_base_world_1,wrist_torque_about_peg_base_world_2,com_offset_world_0,com_offset_world_1,com_offset_world_2,finger_position_0,finger_position_1,finger_velocity_0,finger_velocity_1,command_tilt_deg,reference_step
0.0,initial,-10.0,-14.815250784158705,-0.4068613052368164,0.07425442890962586,0.019782341029446364,0.0,0.03956468118525214,0.0,0.0,0.0,0.0,0,0.006158268079161644,0.0007105355616658926,0.006158267147839069,0.00017952230700757354,0.0,14.813872133116128,0.0,0.0,0.0,0.0,0.0,0.0,0.0005304869846440852,-0.00014393735909834504,0.00013555648911278695,0.9999998211860657,8.56193364597857e-05,-0.003213414689525962,0.0009633825975470245,-0.13786298036575317,-0.007439118344336748,-0.00412652688100934,-0.49149608612060547,0.4830380976200104,0.5057528018951416,-2.023684501647949,-0.3485948145389557,2.4235622882843018,1.0168455839157104,0.00021124450722709298,-0.0006370178307406604,-0.0009533176198601723,0.0003345835430081934,0.0006234711618162692,-0.0009308381704613566,-0.0012587541714310646,0.5995959043502808,8.797117334324867e-05,0.12221330404281616,-0.0001467521215090528,0.9999999403953552,5.852165486430749e-05,0.00015251323929987848,-1.2626237548829522e-05,2.32248075917596e-05,0.0323980413377285,8.505934601998888e-06,-0.000588966824579984,0.9999997615814209,-0.000282397901173681,0.0003382051654625684,0.0061413892544806,0.0003053203399758786,-0.0007080478826537728,5.9299964050296694e-05,-3.533644303388428e-06,0.000339017336955294,-0.006141258869320154,-0.0003070195089094341,0.0001791857066564262,-1.0415958968224004e-05,3.499662398098735e-06,-7.212162017822266e-06,6.781643605791032e-06,0.02499999850988388,0.00406946986913681,0.004072927869856358,6.960544851608574e-07,9.913637768477201e-07,0.0,0
0.00416666666666643,approach,-10.0,-14.815220981836317,-0.4069209098815918,0.07485206151613966,0.019782341029446364,0.00023077063815435395,0.03956468118525214,0.0,0.0,0.0,0.0,0,0.01945371739566326,0.004863439127802849,0.019453713670372963,0.002343324478715658,0.0,14.81384233079374,0.0,0.0,0.0,0.0,0.0,0.0,0.0005310252890922129,-0.0001432431017747149,0.0001354411506326869,0.9999998211860657,0.00011022819671779871,-0.0002636621647980064,0.0009875528048723936,0.013436238281428814,-0.00567395007237792,-0.002290029078722,-0.49149608612060547,0.4830379784107208,0.5057528018951416,-2.023684501647949,-0.34858936071395874,2.4235622882843018,1.0168455839157104,0.00019259518012404442,-0.000622742110863328,-0.0009140959591604769,0.0002834192127920687,0.000832214136607945,-0.000714608293492347,-0.0013316908152773976,0.5995959043502808,8.828641875879839e-05,0.12221341580152512,-0.0001483699306845665,0.9999999403953552,5.653886910295114e-05,0.0001522328529972583,-1.2667617738770787e-05,2.3047316062729806e-05,0.03239818289875984,8.918611456465442e-06,-0.0005875222268514335,0.9999997615814209,-0.00028390000807121396,0.0016924883238971233,-0.019367234781384468,0.0007020322955213487,0.004510429687798023,0.001655980828218162,0.0007528557907789946,0.0016905110096558928,0.019367629662156105,-0.000695770257152617,0.0017128342296928167,-0.001411042409017682,-0.0007525473483838141,-7.152557373046875e-06,6.7758592194877565e-06,0.02499999850988388,0.004069787450134754,0.00407326640561223,2.3567015432490734e-06,3.346664016135037e-06,0.0,1
0.00833333333333286,approach,-10.0,-14.815317839384077,-0.40668249130249023,0.07424865907523781,0.019782341029446364,0.0010180634717471548,0.06852804166478502,0.0,0.0,0.0,0.0,0,0.008859129622578621,0.0029493593610823154,0.008859125897288322,0.0017555848462507129,0.0,14.8139391883415,0.0,0.0,0.0,0.0,0.0,0.0,0.0005318019539117813,-0.00014584830205421895,0.0001489505375502631,0.9999997615814209,0.00017664977349340916,6.777526868972927e-05,0.001010235515423119,0.047007057815790176,-0.011517452076077461,-0.0019835825078189373,-0.49149608612060547,0.4830378592014313,0.5057527422904968,-2.023684501647949,-0.34858381748199463,2.4235622882843018,1.0168455839157104,0.00016568817954976112,-0.0006045083864592016,-0.0008481607073917985,0.0002383263927185908,0.0010174480266869068,-0.0005682556657120585,-0.001418107422068715,0.599595844745636,8.87203132151626e-05,0.1222134530544281,-0.0001501210208516568,1.0,5.44822214578744e-05,0.00015179802721831948,-1.2341447472863365e-05,2.419812881271355e-05,0.03239813074469566,5.877973762835609e-06,-0.0005862396210432053,0.9999996423721313,-0.0002991601941175759,0.0005810970324091613,-0.008775261230766773,0.0010683127911761403,0.0027899418491870165,0.0009340688120573759,0.000206060751224868,0.0005804647225886583,0.008775641210377216,-0.0010655014775693417,0.0015223174123093486,-0.000849877018481493,-0.00020575959933921695,-7.271766662597656e-06,7.451402780134231e-06,0.02499999850988388,0.0040693809278309345,0.004072913900017738,3.0627297746832483e-06,4.349480150267482e-06,0.0,2
0.01249999999999929,approach,-10.0,-14.815332740545271,-0.4069209098815918,0.07637692033313215,0.019782341029446364,0.0006414800282072974,0.0,0.0,0.0,0.0,0.0,0,0.0041162921115756035,0.0012456050608307123,0.0041162921115756035,0.001769591704942286,0.0,14.813954089502694,0.0,0.0,0.0,0.0,0.0,0.0,0.0005344477249309421,-0.00014306235243566334,0.0001298306160606444,0.9999998211860657,0.00028752602520398796,-0.0029763623606413603,0.001065727323293686,0.13295970857143402,-0.016268262639641762,-0.004154671914875507,-0.49149608612060547,0.4830378293991089,0.5057527422904968,-2.023684501647949,-0.34857818484306335,2.4235622882843018,1.0168455839157104,0.00012862501898780465,-0.0005807166453450918,-0.0007498379563912749,0.00019509979756549,0.0011886184802278876,-0.000456667912658304,-0.0014910008758306503,0.5995956659317017,8.916869410313666e-05,0.12221341580152512,-0.00015194919251371175,1.0,5.235420394456014e-05,0.00015136535512283444,-1.2372748642519582e-05,2.26367155846674e-05,0.032398078590631485,8.228555088862777e-06,-0.0005867605214007199,0.9999998807907104,-0.00028186815325170755,7.790852396283299e-05,0.0039756749756634235,0.0010638600215315819,0.0010996033670380712,0.0005839394289068878,3.767227826756425e-05,7.864701910875738e-05,-0.00397534342482686,-0.0010650446638464928,0.0016740126302465796,-0.0005724842194467783,-3.739053136087023e-05,-7.152557373046875e-06,6.495349225588143e-06,0.02499999850988388,0.004069972317665815,0.004073270596563816,0.00015570688992738724,0.00022100495698396116,0.0,3
0.01666666666666572,approach,-10.0,-14.815258234739302,-0.40715932846069336,0.0765561344451271,0.019782341029446364,0.00027003622449228715,0.0,0.0,0.0,0.0,0.0,0,0.01309332624077797,0.0012459345161914825,0.01309332624077797,0.000656115124002099,0.0,14.813879583696725,0.0,0.0,0.0,0.0,0.0,0.0,0.0005385504337027669,-0.00014312956773210317,0.00013413513079285622,0.9999998807907104,0.00028159128851257265,-0.0002346136752748862,0.000976614304818213,0.0020116055384278297,-0.015334303490817547,-0.007579789496958256,-0.49149608612060547,0.4830377995967865,0.505752682685852,-2.023684501647949,-0.34857258200645447,2.4235622882843018,1.0168455839157104,0.00013141479576006532,-0.0005733200814574957,-0.0007477368344552815,0.00018022532458417118,0.0011577176628634334,-0.0004347643116489053,-0.0014687293441966176,0.5995956659317017,8.958802936831489e-05,0.1222134381532669,-0.0001537573552923277,1.0,5.0241902499692515e-05,0.00015096574497874826,-1.258525844605174e-05,2.2994037863099948e-05,0.032398175448179245,7.760105290799402e-06,-0.0005887500592507422,0.9999998211860657,-0.00028798094717785716,-0.0006611871067434549,-0.012947076000273228,0.001836098963394761,0.0012404399458318949,5.601804150501266e-05,-0.0001025845849653706,-0.0006619343184866011,0.012947573326528072,-0.0018323174444958568,-0.0006300711538642645,-0.0001516110060038045,0.0001025256424327381,-7.152557373046875e-06,6.7106084316037595e-06,0.02499999850988388,0.004069651942700148,0.004073138814419508,2.4896264676499413e-06,3.5351404221728444e-06,0.0,4
0.02083333333333215,approach,-10.0,-14.815228432416914,-0.40715932846069336,0.07714313687756658,0.019782341029446364,0.000374536597291808,0.0,0.0,0.0,0.0,0.0,0,0.004434471484273672,0.0007249796763062477,0.004434471484273672,0.00032353162532672286,0.0,14.813849781374337,0.0,0.0,0.0,0.0,0.0,0.0,0.0005377807538025081,-0.00014330771227832884,0.00013371952809393406,0.9999998807907104,0.00013738780398853123,-0.00019641179824247956,0.0009797080419957638,0.0032998330425471067,-0.007220091763883829,-0.003063832176849246,-0.49149608612060547,0.4830377995967865,0.505752682685852,-2.023684501647949,-0.3485669791698456,2.4235622882843018,1.0168455839157104,0.00012169322144472972,-0.0005588891799561679,-0.0007114975596778095,0.000159197865286842,0.0011764131486415863,-0.00038876241887919605,-0.001466203830204904,0.5995955467224121,8.999418059829623e-05,0.12221340090036392,-0.0001555129565531388,1.0,4.808821904589422e-05,0.00015053001698106527,-1.2437723853508942e-05,2.292698627570644e-05,0.03239816799759865,7.145084964577109e-06,-0.0005858265794813633,0.9999998807907104,-0.00028932030545547605,-0.0011355942115187645,-0.004072756040841341,0.001337018795311451,0.0007084166863933206,0.00012072343088220805,-9.574558498570696e-05,-0.0011355836177244782,0.004073062911629677,-0.001336093875579536,0.00011999695561826229,-0.0002847833966370672,9.576982847647741e-05,-7.152557373046875e-06,6.689828296657652e-06,0.02499999850988388,0.004069647751748562,0.004073161166161299,2.495742137398338e-06,3.541746991686523e-06,0.0,5
0.02499999999999858,approach,-10.0,-14.81519117951393,-0.4073977470397949,0.07782489410601556,0.019782341029446364,0.0005321772391653212,0.055952909680744456,0.0,0.0,0.0,0.0,0,0.0037846507038921118,0.0004206098965369165,0.003784649772569537,0.00018244041712023318,0.0,14.813812528471352,0.0,0.0,0.0,0.0,0.0,0.0,0.0005423761322163045,-0.00014180886500980705,0.00013073475565761328,0.9999998211860657,0.0002587630006019026,-0.00016380177112296224,0.0009566949447616935,0.005880644079297781,-0.014114182442426682,-0.0067405132576823235,-0.49149608612060547,0.4830377995967865,0.505752682685852,-2.023684501647949,-0.3485613465309143,2.4235622882843018,1.0168455839157104,0.00011383762466721237,-0.0005462903063744307,-0.0006798675749450922,0.00014029734302312136,0.0011716512963175774,-0.00036591343814507127,-0.0014496797230094671,0.599595308303833,9.041079465532675e-05,0.1222134456038475,-0.00015733663167338818,0.9999999403953552,4.596893268171698e-05,0.00015006298781372607,-1.2407390386215411e-05,2.2780068320571445e-05,0.03239823505282402,8.174773938662838e-06,-0.0005883030826225877,0.9999997019767761,-0.00028815926634706557,-0.0003354317741468549,-0.0034180269576609135,0.0015900180442258716,0.000400667981011793,6.057691280147992e-05,-0.00011273113341303542,-0.00033526899642311037,0.0034184956457465887,-0.0015890426002442837,-9.319171658717096e-05,-0.00010906076931860298,0.00011271893890807405,-7.092952728271484e-06,6.540583854075521e-06,0.02499999850988388,0.004069652408361435,0.004073184449225664,2.477084763086168e-06,3.514098352752626e-06,0.0,6
0.02916666666666501,approach,-10.0,-14.815198630094526,-0.4076361656188965,0.07817156438250095,0.019782341029446364,0.00027870808594343544,0.055952909680744456,0.0,0.0,0.0,0.0,0,0.0019617732614278793,0.00021074002142995596,0.001961772795766592,0.0002403104299446568,0.0,14.81381997905195,0.0,0.0,0.0,0.0,0.0,0.0,0.0005451778997667134,-0.00014132315118331462,0.00012860630522482097,0.9999997615814209,0.0002493245410732925,-0.0014375911559909582,0.0009901040466502309,-0.11930275708436966,-0.015862222760915756,-0.006565386895090342,-0.49149608612060547,0.4830377995967865,0.505752682685852,-2.023684501647949,-0.34855571389198303,2.4235622882843018,1.0168455839157104,0.00010187109728576615,-0.0005301739438436925,-0.0006353560020215809,0.00011985603487119079,0.0011821024818345904,-0.00032901554368436337,-0.001436712802387774,0.5995952486991882,9.086338832275942e-05,0.12221342325210571,-0.00015923060709610581,0.9999999403953552,4.381401959108189e-05,0.00014969153562560678,-1.2562065421661828e-05,2.3008722564554773e-05,0.03239820525050163,8.287168384413235e-06,-0.0005889501189813018,0.9999997019767761,-0.00028792466036975384,-0.0007003264618106186,0.0013322238810360432,0.0012582832714542747,-0.0001475450408179313,0.00011298422759864479,-9.937998402165249e-05,-0.0006998329190537333,-0.0013318841811269522,-0.0012589165708050132,4.488031845539808e-05,-0.00021417165407910943,9.932451939675957e-05,-7.033348083496094e-06,6.4341656980104744e-06,0.02499999850988388,0.004069644026458263,0.004072890616953373,2.0993893485865556e-06,2.978515112772584e-06,0.0,7
0.03333333333333144,approach,-10.0,-14.815153926610945,-0.4076957702636719,0.07856076990719885,0.019782341029446364,0.00022711213887305348,0.0,0.0,0.0,0.0,0.0,0,0.01121122483164072,0.0005913588684052229,0.011211223900318146,0.0010473435977473855,0.0,14.813775275568368,0.0,0.0,0.0,0.0,0.0,0.0,0.0005455741193145514,-0.00014079605170991272,0.00013222629786469042,0.9999998211860657,0.00016608498117420822,0.0012079726438969374,0.0009477621642872691,-0.031342968344688416,-0.009667925536632538,-0.006963612977415323,-0.49149608612060547,0.4830377995967865,0.505752682685852,-2.023684501647949,-0.34855011105537415,2.4235622882843018,1.0168455839157104,0.00011590159556362778,-0.0005246588261798024,-0.0006547166267409921,0.00011574847303563729,0.001074517611414194,-0.00033703260123729706,-0.001369503908790648,0.5995951890945435,9.130477701546624e-05,0.12221341580152512,-0.00016101512301247567,0.9999999403953552,4.167157021583989e-05,0.00014923613343853503,-1.2532500477391295e-05,2.3176582544692792e-05,0.03239824250340462,8.357738806807902e-06,-0.0005872032488696277,0.9999998211860657,-0.00029332865960896015,-0.0009973958367481828,-0.011042558588087559,0.0016609187005087733,0.0005593440146185458,-0.00011807339615188539,-0.00015132185944821686,-0.0009978209855034947,0.011043009348213673,-0.0016576608177274466,-0.0010360474698245525,-2.6133850042242557e-05,0.00015116586291696876,-7.033348083496094e-06,6.615155143663287e-06,0.02499999850988388,0.004069298971444368,0.004072926007211208,1.5912155504338443e-06,2.262684574816376e-06,0.0,8
0.03749999999999787,approach,-10.0,-14.815139025449751,-0.40781497955322266,0.07894521695561707,0.019782341029446364,0.000331029468725319,0.0,0.0,0.0,0.0,0.0,0,0.0034190190490335226,0.00025468695093877614,0.0034190192818641663,0.0003545630897860974,0.0,14.813760374407174,0.0,0.0,0.0,0.0,0.0,0.0,0.0005452375044114888,-0.0001407025702064857,0.00013369879161473364,0.9999997615814209,0.00021325121633708477,-0.0004820939793717116,0.0009178859763778746,-0.028055455535650253,-0.009265373460948467,-0.0072054993361234665,-0.49149608612060547,0.4830377995967865,0.505752682685852,-2.023684501647949,-0.34854447841644287,2.4235622882843018,1.0168455839157104,0.00010314788232790306,-0.0005079249385744333,-0.000608118309173733,9.493780817138031e-05,0.001091076759621501,-0.0002976350951939821,-0.0013603491242974997,0.5995950698852539,9.1771267761942e-05,0.1222134530544281,-0.00016279262490570545,1.0,3.970036777900532e-05,0.00014876680506858975,-1.250204695679713e-05,2.3373853764496744e-05,0.03239830955862999,7.980738701007795e-06,-0.0005848950822837651,0.9999998211860657,-0.000296578073175624,-0.00041302276076748967,0.0030224642250686884,0.0015439605340361595,-0.00017402968660462648,0.0001561716344440356,-0.00010094318713527173,-0.0004123232502024621,-0.0030219941399991512,-0.0015450675273314118,0.00026257458375766873,-0.00021583351190201938,0.00010092302545672283,-7.033348083496094e-06,6.688773282803595e-06,0.02499999850988388,0.004069601651281118,0.004072955343872309,2.564167289165198e-06,3.6369747249409556e-06,0.0,9
