trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s,folder,status,insertion_success,max_force,max_torque,max_normal_load,max_penetration,max_depth,stalled,force_budget_exceeded,torque_budget_exceeded,numerically_valid,outcome_trustworthy,grasp_retained,max_grasp_slip_mm,max_grasp_slip_deg,max_wrist_force_n,max_wrist_torque_nm
slot000_try00,0,0,centered,0.0,0.0,0.0,0.0,8.0,slot000_try00,complete,True,0.0,0.0,0.0,0.0,20.192352682352066,True,False,False,True,True,True,0.020283099729567766,0.08846931922527276,0.07776028662919998,0.023566346615552902
slot002_try00,2,0,y_offset,0.0,0.6605899687582676,0.0,0.0,8.0,slot002_try00,complete,True,4.868667125701904,0.03567458689212799,3.894951820373535,0.007514532626373693,20.07448449730873,False,False,False,True,True,True,0.022695301595376804,0.08846931922527276,4.240893363952637,0.1138245165348053
slot004_try00,4,0,tilt_only,0.0,0.0,1.8569474624764788,0.0,8.0,slot004_try00,complete,True,5.695608139038086,0.09682098031044006,4.556487083435059,0.017517990272608586,20.136253535747528,False,False,False,True,True,True,0.025298360924352892,0.07912936237050427,4.338732719421387,0.25649091601371765
