trajectory_id,folder,family,sample_role,split_group_id,time_s,horizon_s,Y_stall,label_reason,history_start_row,history_end_row,history_samples,force_norm_n,force_norm_n_mean,force_norm_n_max,force_norm_n_slope,torque_norm_nm,torque_norm_nm_mean,torque_norm_nm_max,torque_norm_nm_slope,wrist_force_n,wrist_force_n_mean,wrist_force_n_max,wrist_force_n_slope,wrist_torque_nm,wrist_torque_nm_mean,wrist_torque_nm_max,wrist_torque_nm_slope,normal_load_n,normal_load_n_mean,normal_load_n_max,normal_load_n_slope,depth_mm,depth_mm_mean,depth_mm_max,depth_mm_slope,command_depth_mm,command_depth_mm_mean,command_depth_mm_max,command_depth_mm_slope,vx,vx_mean,vx_max,vx_slope,vy,vy_mean,vy_max,vy_slope,vz,vz_mean,vz_max,vz_slope,fx,fx_mean,fx_max,fx_slope,fy,fy_mean,fy_max,fy_slope,fz,fz_mean,fz_max,fz_slope,taux,taux_mean,taux_max,taux_slope,tauy,tauy_mean,tauy_max,tauy_slope,tauz,tauz_mean,tauz_max,tauz_slope
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.0083333333333115,1.0,0,full_horizon_without_stall,181,241,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813656374812126,0.005616995193003143,0.014854359440505505,0.0036716982722284496,0.0031355025712400675,0.0005860355589395679,0.009302901104092598,0.005779557162896127,0.0,0.0,0.0,0.0,-9.922074526548384,-10.325390088265058,-9.913133829832075,1.9934177398682773,-9.99990241156684,-9.99999840018962,-9.99990241156684,0.0001951768663204345,0.003954336978495121,-0.0008592493870280317,0.004541261121630669,0.009917000541464058,0.0002776419569272548,-8.764261489335188e-05,0.0004892362048849463,0.0012644698726945343,0.0026863589882850647,0.0014749583253850702,0.0028976069297641516,0.004674356430769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.0083333333333115,2.0,0,full_horizon_without_stall,181,241,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813656374812126,0.005616995193003143,0.014854359440505505,0.0036716982722284496,0.0031355025712400675,0.0005860355589395679,0.009302901104092598,0.005779557162896127,0.0,0.0,0.0,0.0,-9.922074526548384,-10.325390088265058,-9.913133829832075,1.9934177398682773,-9.99990241156684,-9.99999840018962,-9.99990241156684,0.0001951768663204345,0.003954336978495121,-0.0008592493870280317,0.004541261121630669,0.009917000541464058,0.0002776419569272548,-8.764261489335188e-05,0.0004892362048849463,0.0012644698726945343,0.0026863589882850647,0.0014749583253850702,0.0028976069297641516,0.004674356430769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.108333333333306,1.0,0,full_horizon_without_stall,193,253,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004350891336798668,0.005704889329699952,0.014854359440505505,-0.021006936207414867,0.00018786199507303536,0.0005732002021834544,0.009302901104092598,-0.0002659576712176355,0.0,0.0,0.0,0.0,-9.890640527009962,-10.15311080168505,-9.890640527009962,1.4858245849610219,-9.98364508734809,-9.998698051188596,-9.98364508734809,0.03270982530382058,-0.0009275930933654308,-0.0008531185236786203,0.004591829609125853,0.005045921541750718,8.316821185871959e-05,0.0001126296880161657,0.0004892362048849463,0.001057286746800006,0.0034363344311714172,0.002013243681400037,0.0034363344311714172,0.004794004373252664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.108333333333306,2.0,0,full_horizon_without_stall,193,253,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004350891336798668,0.005704889329699952,0.014854359440505505,-0.021006936207414867,0.00018786199507303536,0.0005732002021834544,0.009302901104092598,-0.0002659576712176355,0.0,0.0,0.0,0.0,-9.890640527009962,-10.15311080168505,-9.890640527009962,1.4858245849610219,-9.98364508734809,-9.998698051188596,-9.98364508734809,0.03270982530382058,-0.0009275930933654308,-0.0008531185236786203,0.004591829609125853,0.005045921541750718,8.316821185871959e-05,0.0001126296880161657,0.0004892362048849463,0.001057286746800006,0.0034363344311714172,0.002013243681400037,0.0034363344311714172,0.004794004373252664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.2083333333333,1.0,0,full_horizon_without_stall,205,265,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631870098412037,0.005101855256457309,0.013723894953727722,-0.005194011144340333,0.0003118140739388764,0.0005111650416587449,0.009302901104092598,-0.0008458378724754337,0.0,0.0,0.0,0.0,-9.89549085497856,-10.028673647368539,-9.885231405496596,0.9814798831940256,-9.940024481879341,-9.991272333975477,-9.940024481879341,0.11995103624132468,1.2489179425756447e-05,-0.0007379146542514152,0.004591829609125853,0.004190565374301752,-7.439440378220752e-05,0.00010591164111068136,0.0004892362048849463,-0.0005529018089874031,0.0036290977150201797,0.002533098833528576,0.0036555042024701834,0.004860002314672151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.2083333333333,2.0,0,full_horizon_without_stall,205,265,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002631870098412037,0.005101855256457309,0.013723894953727722,-0.005194011144340333,0.0003118140739388764,0.0005111650416587449,0.009302901104092598,-0.0008458378724754337,0.0,0.0,0.0,0.0,-9.89549085497856,-10.028673647368539,-9.885231405496596,0.9814798831940256,-9.940024481879341,-9.991272333975477,-9.940024481879341,0.11995103624132468,1.2489179425756447e-05,-0.0007379146542514152,0.004591829609125853,0.004190565374301752,-7.439440378220752e-05,0.00010591164111068136,0.0004892362048849463,-0.0005529018089874031,0.0036290977150201797,0.002533098833528576,0.0036555042024701834,0.004860002314672151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.3083333333332945,1.0,0,full_horizon_without_stall,217,277,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052312761545181274,0.004997534597231472,0.013723894953727722,4.745274782181056e-05,0.0001322417228948325,0.0004933474889095705,0.009302901104092598,-0.00069277238799263,0.0,0.0,0.0,0.0,-9.914586693048475,-9.953247877906579,-9.885231405496596,0.5354583263397521,-9.86974372016059,-9.972413231132242,-9.86974372016059,0.26051255967883397,0.0003365126613061875,-0.0005136837621425092,0.004591829609125853,0.004464292607736097,-3.7211528251646087e-05,2.1962090837315955e-05,0.00041156381485052407,-0.0008975506862043914,0.0032766067888587713,0.0029418980492828565,0.0036555042024701834,0.0032274362165482687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.3083333333332945,2.0,0,full_horizon_without_stall,217,277,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052312761545181274,0.004997534597231472,0.013723894953727722,4.745274782181056e-05,0.0001322417228948325,0.0004933474889095705,0.009302901104092598,-0.00069277238799263,0.0,0.0,0.0,0.0,-9.914586693048475,-9.953247877906579,-9.885231405496596,0.5354583263397521,-9.86974372016059,-9.972413231132242,-9.86974372016059,0.26051255967883397,0.0003365126613061875,-0.0005136837621425092,0.004591829609125853,0.004464292607736097,-3.7211528251646087e-05,2.1962090837315955e-05,0.00041156381485052407,-0.0008975506862043914,0.0032766067888587713,0.0029418980492828565,0.0036555042024701834,0.0032274362165482687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.408333333333289,1.0,0,full_horizon_without_stall,229,289,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007344298530369997,0.005303535988310077,0.013723894953727722,0.00380141474306605,0.00021644785010721534,0.0004958567896821598,0.009302901104092598,7.514780736528764e-05,0.0,0.0,0.0,0.0,-9.912172704935072,-9.916548394277445,-9.885231405496596,0.2066045999527095,-9.77350592719184,-9.936951044912984,-9.77350592719184,0.45298814561634604,0.0006731891189701855,-0.0001631911135682756,0.004591829609125853,0.0030148591613398715,0.000151226413436234,-3.5552222888342285e-05,0.0003763884596992284,-0.0002927599707618522,0.0025098640471696854,0.003130214082718384,0.0036555042024701834,0.0005076266825199416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,2.408333333333289,2.0,0,full_horizon_without_stall,229,289,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007344298530369997,0.005303535988310077,0.013723894953727722,0.00380141474306605,0.00021644785010721534,0.0004958567896821598,0.009302901104092598,7.514780736528764e-05,0.0,0.0,0.0,0.0,-9.912172704935072,-9.916548394277445,-9.885231405496596,0.2066045999527095,-9.77350592719184,-9.936951044912984,-9.77350592719184,0.45298814561634604,0.0006731891189701855,-0.0001631911135682756,0.004591829609125853,0.0030148591613398715,0.000151226413436234,-3.5552222888342285e-05,0.0003763884596992284,-0.0002927599707618522,0.0025098640471696854,0.003130214082718384,0.0036555042024701834,0.0005076266825199416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
