trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s
slot084_try00,84,0,centered,0.0,0.0,0.0,0.0,5.729152640817059
slot085_try00,85,0,x_offset,0.28979937726876326,0.0,0.0,0.0,6.160958102985709
slot086_try00,86,0,y_offset,0.0,0.2266059704216054,0.0,0.0,5.596403534164601
slot087_try00,87,0,diagonal_offset,-0.2532814002470595,-0.2532814002470595,0.0,0.0,6.318435012352692
slot088_try00,88,0,tilt_only,0.0,0.0,-1.4948985644787423,0.0,6.048204380924802
slot089_try00,89,0,offset_tilt,-0.37272004886262994,-0.37272004886262994,0.0,-0.723175751198198,6.493040922112195
slot090_try00,90,0,centered,0.0,0.0,0.0,0.0,5.540359001524244
slot091_try00,91,0,x_offset,-0.35301432296971214,0.0,0.0,0.0,6.842368357150631
slot092_try00,92,0,y_offset,0.0,-0.6984324647814354,0.0,0.0,5.980792464746807
slot093_try00,93,0,diagonal_offset,0.19098366494488647,-0.19098366494488647,0.0,0.0,6.517400957696797
slot094_try00,94,0,tilt_only,0.0,0.0,0.0,-1.8876696412576124,6.330696835729627
slot095_try00,95,0,offset_tilt,0.3837658865116717,-0.3837658865116717,0.0,-2.3038440972204857,5.109505039229067
slot096_try00,96,0,centered,0.0,0.0,0.0,0.0,6.318425561867142
slot097_try00,97,0,x_offset,0.4754269816799379,0.0,0.0,0.0,5.24650257765091
slot098_try00,98,0,y_offset,0.0,0.5927984777376626,0.0,0.0,5.851952829157588
slot099_try00,99,0,diagonal_offset,0.5173268752994534,0.5173268752994534,0.0,0.0,6.877858250634192
