intervention,trigger_time_s,trigger_depth_mm,trigger_eta_raw,commanded_retract_mm,hand_target_retract_mm,actual_retract_mm,max_actual_retract_mm,safe_target_crossed,time_to_0_5_mm_s,sustained_0_5_mm_at_recovery_end,online_verified,recovery_status,recovery_end_time_s,recovery_end_depth_mm,recovery_safety_stop,before_samples,after_samples,after_window_duration_s,rejoin_started,rejoin_start_time_s,retry_started,retry_start_time_s,retry_observed_s,retry_evaluable,stall_observed_after_retry,stall_after_retry,first_stall_before_trigger,trigger_wrist_force_n,after_wrist_force_n,before_mean_wrist_force_n,after_mean_wrist_force_n,trigger_wrist_torque_nm,after_wrist_torque_nm,before_mean_wrist_torque_nm,after_mean_wrist_torque_nm,trigger_normal_load_n,after_normal_load_n,before_mean_normal_load_n,after_mean_normal_load_n,trigger_force_norm_n,after_force_norm_n,before_mean_force_norm_n,after_mean_force_norm_n,trigger_torque_norm_nm,after_torque_norm_nm,before_mean_torque_norm_nm,after_mean_torque_norm_nm,trigger_fx,after_fx,before_mean_fx,after_mean_fx,trigger_fy,after_fy,before_mean_fy,after_mean_fy,trigger_fz,after_fz,before_mean_fz,after_mean_fz,trigger_taux,after_taux,before_mean_taux,after_mean_taux,trigger_tauy,after_tauy,before_mean_tauy,after_mean_tauy,trigger_tauz,after_tauz,before_mean_tauz,after_mean_tauz,normal_load_drop_n,contact_load_decreased,load_decreased_after_verified_unloading,actual_dx_mm,actual_dy_mm,actual_droll_deg,actual_dpitch_deg,trigger_x_mm,trigger_y_mm,trigger_roll_deg,trigger_pitch_deg,after_x_mm,after_y_mm,after_roll_deg,after_pitch_deg,lateral_error_before_mm,lateral_error_after_mm,tilt_error_before_deg,tilt_error_after_deg,verification_time_s,retry_ready_time_s,ready_to_retry,time_to_verified_unloading_s,commanded_relax_fraction,commanded_relax_x_mm,commanded_relax_y_mm,commanded_relax_roll_deg,commanded_relax_pitch_deg,relax_end_actual_retreat_mm,relax_end_normal_load_n,relax_end_x_mm,relax_end_y_mm,relax_end_roll_deg,relax_end_pitch_deg,verified_mean_normal_load_n,verified_mean_wrist_force_n,verified_mean_wrist_torque_nm,retry_success,repeated_stall,case_id,family,severity,split,policy,detector_id,run_id,trigger_branch,trigger_phase,trigger_actual_progress_rate_mm_s,trigger_command_progress_rate_mm_s,trigger_diagnostic_normal_load_n
1,9.40000000011969,16.0341277718544,-0.06090149138525954,0.6896296296296303,0.7887780666351318,0.6555728614330274,0.7551573216915113,True,1.6833333334744562,True,True,verified,11.583333333480823,15.378554910421373,False,13,13,0.10000000000127329,True,11.591666666814262,True,12.091666666820629,1.1500000000146429,True,False,False,True,3.0821430683135986,0.0018077704589813948,2.1370046138763428,0.003136831783474638,0.06391927599906921,0.0004467994731385261,0.054753033301005,0.0006057603123526161,17.13789176940918,0.0,16.512681080744816,0.0,3.2990128993988037,0.0,2.166842671541067,0.0,0.1259351670742035,0.0,0.1229602241745362,0.0,0.2630680799484253,0.0,0.11512416486556713,0.0,0.4660777449607849,0.0,0.4652035018572441,0.0,3.2553114891052246,0.0,2.0725621695701895,0.0,-0.1258649230003357,0.0,-0.12293369552263847,0.0,0.0039555844850838184,0.0,-0.0005253821817369988,0.0,0.0014289382379502058,0.0,0.0006230072601913259,0.0,16.512681080744816,True,True,-0.03784894943237305,-0.5486305162776262,-4.323264819497183,-0.0670973450696124,0.0032782554626464844,0.6418267730623484,4.46154854845537,0.06687453983896631,-0.03457069396972656,0.09319625678472221,0.13828372895817903,-0.00022280523063294508,0.6418351451724232,0.09940158530039835,4.4620497144589155,0.1382839084519595,11.333333333333334,11.583333333333334,True,1.9333333333333336,1.0,-0.0032782554626464844,-0.6418267730623484,-4.461548548455369,-0.0668745398389774,0.14210864901542486,0.6164941191673279,0.011146068572998047,0.5362238152883947,2.4447476703906763,0.01980689280788618,0.0,0.005998019487238848,0.0009648889983789279,True,False,fd012_axis_tilt_severe_v0,axis_tilt,severe,development,force,force_2,development/fd012_axis_tilt_severe_v0/force_2,force,insert,-0.12967735528945923,2.129296874999781,17.13789176940918
1,8.600000000109503,16.090424358844757,0.6677219989562969,0.6784838867187517,0.7637515664100647,0.644166022539137,0.7467009127140027,True,1.6750000001308312,True,True,verified,10.775000000137197,15.44625833630562,False,13,13,0.10000000000127329,True,10.783333333470637,True,11.283333333477003,1.133333333347764,True,False,False,False,1.4871554374694824,0.0017549436306580901,1.1579691355045025,0.003274212000318445,0.05251419171690941,0.0004438555333763361,0.06083435880450102,0.0006092517891934571,6.5646772384643555,0.0,4.151975109026982,0.0,1.5895124673843384,0.0,1.1965826795651362,0.0,0.058716125786304474,0.0,0.04090078561924971,0.0,0.07857586443424225,0.0,-0.022860149924571697,0.0,0.6230859160423279,0.0,0.5812315551134256,0.0,1.460184931755066,0.0,0.9848901423124167,0.0,-0.05868895724415779,0.0,-0.04087213039971315,0.0,0.0017855955520644784,0.0,0.00012764478406797236,0.0,-3.9298007322940975e-05,0.0,2.632407603624205e-06,0.0,4.151975109026982,True,True,-0.04303455352783203,-0.5188718787394464,-4.058307000795395,-0.014585139878960263,0.010192394256591797,0.5822234088554978,4.14044914442645,0.020575910911597252,-0.032842159271240234,0.06335153011605144,0.08214214363105422,0.005990771032627736,0.5823126159718661,0.07135841781908062,4.1405002699784434,0.08236031263824897,10.525,10.775,True,1.9250000000000007,1.0,-0.010192394256591797,-0.5822234088554978,-4.140449144426441,-0.020575910911588835,0.12597069144248785,0.3720549941062927,0.010192394256591797,0.5316114984452724,2.2514077151829017,0.010867935161699682,0.0,0.005832627809678133,0.0009224987499272594,True,False,fd012_axis_tilt_severe_v0,axis_tilt,severe,development,force,force_1,development/fd012_axis_tilt_severe_v0/force_1,force,insert,2.454660832881924,3.6761718750000085,6.5646772384643555
1,15.50000000019736,19.444210082292557,,0.550349121093749,0.6042942404747009,0.6085187196731567,0.6778836250305176,True,1.5750000002174147,True,True,verified,17.57500000022378,18.8356913626194,False,13,13,0.10000000000127329,True,17.58333333355722,True,18.083333333563587,0.21666666666942547,False,False,,False,5.04606294631958,0.0027383945416659117,2.05276896747259,0.0014921004151871714,0.22512002289295197,0.0002614057739265263,0.14889453437465888,0.0002664973200388396,19.314083099365234,0.0,5.899026962426992,0.0,6.610367298126221,0.0,2.7074084283370983,0.0,0.24282468855381012,0.0,0.06057394286870896,0.0,0.32773610949516296,0.0,-0.005312411267928278,0.0,-6.027780055999756,0.0,-0.24512461463357865,0.0,2.6935875415802,0.0,0.21558358505269729,0.0,0.2427981048822403,0.0,0.059180233504666654,0.0,0.00332767516374588,0.0,-0.0030341741895431465,0.0,-0.0013545391848310828,0.0,0.0004923081832751782,0.0,5.899026962426992,True,True,0.09608268737792969,0.44885167153552175,3.1854000406232785,-0.03806404726498158,-0.019073486328125,-0.550692668184638,-3.3157807823194174,0.014124216180828698,0.07700920104980469,-0.10184099664911628,-0.13038074169614522,-0.0239398310841448,0.5510228785386547,0.12767930781772963,3.315810864612379,0.13256037612188012,17.325,17.575,True,1.8249999999999993,1.0,0.019073486328125,0.550692668184638,3.315780782319422,-0.014124216180817939,0.01735985279083252,0.32734718918800354,0.013232231140136719,-0.5257794400677085,-1.8591726627796508,0.018554597482151304,0.0,0.007113093546090217,0.0008563720979369604,True,,fd013_axis_tilt_moderate_v1,axis_tilt,moderate,development,force,force_3,development/fd013_axis_tilt_moderate_v1/force_3,force,hold,0.14854967594146729,0.0,19.314083099365234
1,9.800000000124783,19.35710534453392,1.0229514279859728,0.5918830475983796,0.6438940763473511,0.6432384252548218,0.7048770785331726,True,1.608333333478594,True,True,verified,11.908333333484961,18.7138669192791,False,13,13,0.10000000000127329,True,11.9166666668184,True,12.416666666824767,0.23333333333630435,False,False,,False,1.3283545970916748,0.010108697228133678,0.6384124853290044,0.0029113934679816547,0.0617009699344635,0.0007966696284711361,0.053278097023184486,0.00029853070960738335,2.531799793243408,0.0,0.683148015003938,0.0,1.567601203918457,0.0,0.6873757186764963,0.0,0.037525009363889694,0.0,0.012985394185103215,0.0,0.02516743540763855,0.0,-0.033729084498820436,0.0,-1.1557388305664062,0.0,-0.45417382539438533,0.0,1.058776617050171,0.0,0.45462970534628344,0.0,0.0373038612306118,0.0,0.01262465458951895,0.0,-0.0040351091884076595,0.0,-0.0013497469860146096,0.0,0.0005159458378329873,0.0,3.1400540769264645e-05,0.0,0.683148015003938,True,True,0.03606081008911133,0.48019870155258104,3.2125556736841077,-0.025193739450287467,0.026106834411621094,-0.5407317075878382,-3.2544927662544225,0.00550842218626663,0.06216764450073242,-0.06053300603525713,-0.04193709257030526,-0.019685317264019682,0.5413615671562354,0.08677016101422148,3.254497427916843,0.046327437324284015,11.658333333333333,11.908333333333333,True,1.8583333333333325,1.0,-0.026106834411621094,0.5407317075878382,3.2544927662544296,-0.005508422186267126,-0.05272775888442993,0.2599387764930725,0.00947713851928711,-0.5257592420093715,-1.756088204918689,0.011113061688145366,0.0,0.005670163708810623,0.000697691448014946,True,,fd013_axis_tilt_moderate_v1,axis_tilt,moderate,development,force,force_1,development/fd013_axis_tilt_moderate_v1/force_1,force,insert,1.214355230331421,1.1871093749996433,2.531799793243408
1,15.50000000019736,19.444210082292557,,0.550349121093749,0.6042942404747009,0.6085187196731567,0.6778836250305176,True,1.5750000002174147,True,True,verified,17.57500000022378,18.8356913626194,False,13,13,0.10000000000127329,True,17.58333333355722,True,18.083333333563587,0.21666666666942547,False,False,,False,5.04606294631958,0.0027383945416659117,2.05276896747259,0.0014921004151871714,0.22512002289295197,0.0002614057739265263,0.14889453437465888,0.0002664973200388396,19.314083099365234,0.0,5.899026962426992,0.0,6.610367298126221,0.0,2.7074084283370983,0.0,0.24282468855381012,0.0,0.06057394286870896,0.0,0.32773610949516296,0.0,-0.005312411267928278,0.0,-6.027780055999756,0.0,-0.24512461463357865,0.0,2.6935875415802,0.0,0.21558358505269729,0.0,0.2427981048822403,0.0,0.059180233504666654,0.0,0.00332767516374588,0.0,-0.0030341741895431465,0.0,-0.0013545391848310828,0.0,0.0004923081832751782,0.0,5.899026962426992,True,True,0.09608268737792969,0.44885167153552175,3.1854000406232785,-0.03806404726498158,-0.019073486328125,-0.550692668184638,-3.3157807823194174,0.014124216180828698,0.07700920104980469,-0.10184099664911628,-0.13038074169614522,-0.0239398310841448,0.5510228785386547,0.12767930781772963,3.315810864612379,0.13256037612188012,17.325,17.575,True,1.8249999999999993,1.0,0.019073486328125,0.550692668184638,3.315780782319422,-0.014124216180817939,0.01735985279083252,0.32734718918800354,0.013232231140136719,-0.5257794400677085,-1.8591726627796508,0.018554597482151304,0.0,0.007113093546090217,0.0008563720979369604,True,,fd013_axis_tilt_moderate_v1,axis_tilt,moderate,development,force,force_2,development/fd013_axis_tilt_moderate_v1/force_2,force,hold,0.14854967594146729,0.0,19.314083099365234
1,9.300000000118416,18.031281977891922,0.5398345759356186,0.6674081307870345,0.7323846220970154,0.6237179040908813,0.7422715425491333,True,1.6666666668063037,True,True,verified,11.46666666681267,17.40756407380104,False,13,13,0.10000000000127329,True,11.47500000014611,True,11.975000000152477,0.491666666672927,False,False,,False,1.2047823667526245,0.0033780867233872414,1.0625150616352375,0.0022569018631027294,0.026116978377103806,0.00041846270323731005,0.06918405182659626,0.0004290182103152172,5.870779037475586,0.0,3.695561720774724,0.0,1.2501296997070312,0.0,1.0792881708878737,0.0,0.0699935108423233,0.0,0.046266355050297886,0.0,0.47513195872306824,0.0,0.5244398598487561,0.0,-0.26711228489875793,0.0,-0.4608234992394081,0.0,1.125044345855713,0.0,0.7687077797376193,0.0,0.05006876960396767,0.0,0.0334624656691001,0.0,0.04889576882123947,0.0,0.03193001434780084,0.0,-0.00118925585411489,0.0,-0.0006093198149196374,0.0,3.695561720774724,True,True,-0.3592967987060547,0.4250891215633601,2.6376769895983045,2.398368057235132,0.3815293312072754,-0.4271588404662907,-2.686540596925716,-2.464709648280397,0.022232532501220703,-0.0020697189029306173,-0.0488636073274168,-0.06634159104525472,0.5727384268232548,0.022328664038741397,3.645859847725425,0.08239453151431715,11.216666666666667,11.466666666666667,True,1.916666666666666,1.0,-0.3815293312072754,0.4271588404662907,2.6865405969257097,2.4647096482804045,0.1362934708595276,0.29332002997398376,0.28884410858154297,-0.44191343476995826,-1.4708284958895794,-1.3787937528375835,0.0,0.008433040231466293,0.0007958150745253079,True,,fd017_oblique_tilt_severe_v1,oblique_tilt,severe,development,force,force_1,development/fd017_oblique_tilt_severe_v1/force_1,force,insert,1.2671351432800293,2.347265624999814,5.870779037475586
1,8.999999999869033,16.115029901266098,-0.019695420469782014,0.5813867187500001,0.674717128276825,0.6327740848064405,0.6918720901012403,True,1.5999999998457497,True,True,verified,11.099999999838474,15.482255816459658,False,13,13,0.09999999999854481,True,11.108333333171686,True,11.60833333316441,1.1583333333164774,True,False,False,True,2.6758060455322266,0.0028431848622858524,1.57280505162019,0.0028720567083487716,0.03668195754289627,0.0008979849517345428,0.026506040102014176,0.0008434989095593875,14.220532417297363,0.0,13.921335953932543,0.0,2.8635101318359375,0.0,1.590002954006195,0.0,0.11514759063720703,0.0,0.11111701566439408,0.0,-0.05388915538787842,0.0,-0.23413212253497198,0.0,-0.23455573618412018,0.0,-0.42519334531747377,0.0,2.8533787727355957,0.0,1.4906626297877386,0.0,0.09843296557664871,0.0,0.09419475897000386,0.0,-0.059748657047748566,0.0,-0.058927908253211245,0.0,-0.00013362965546548367,0.0,-7.479119365318463e-05,0.0,13.921335953932543,True,True,0.3362298011779785,0.46419602585956454,3.6994621477082887,-2.0303362530517575,-0.3305673599243164,-0.5305791273713112,-3.8102036961182137,2.1088167889732103,0.005662441253662109,-0.06638310151174664,-0.11074154840991743,0.07848053592144365,0.6251311781133897,0.06662416534013792,4.354854814499351,0.13573092890989544,10.85,11.1,True,1.8499999999999996,1.0,0.3305673599243164,0.5305791273713112,3.810203696118208,-2.1088167889732006,0.008083879947662354,0.5756292939186096,-0.17881393432617188,-0.5033574998378754,-2.0870802133674586,1.2086286312477834,0.0,0.00826924883473951,0.001218285917555197,True,False,fd019_oblique_tilt_severe_v3,oblique_tilt,severe,development,force,force_1,development/fd019_oblique_tilt_severe_v3/force_1,force,insert,-0.058278441429138184,2.9589843749999005,14.220532417297363
1,9.399999999863212,16.120595484972,-0.0182407052336316,0.5813867187500001,0.6771087646484375,0.6318539381027204,0.6928592920303327,True,1.5999999998399286,True,True,verified,11.499999999832653,15.48874154686928,False,13,13,0.09999999999854481,True,11.508333333165865,True,12.008333333158589,1.1583333333164774,True,False,False,True,2.2350211143493652,0.003259321441873908,2.0196726597272434,0.002924854379111471,0.036717068403959274,0.0008660827297717333,0.039822706809410684,0.0008552242876388705,16.631332397460938,0.0,16.531228725726788,0.0,2.2685937881469727,0.0,2.029892325401306,0.0,0.12629260122776031,0.0,0.12612732041340607,0.0,-0.13358265161514282,0.0,-0.20771442926847017,0.0,-0.38596677780151367,0.0,-0.4053942274588805,0.0,2.23152494430542,0.0,1.9659233001562266,0.0,0.10779282450675964,0.0,0.1063781139942316,0.0,-0.06580671668052673,0.0,-0.0677460810312858,0.0,7.438205648213625e-05,0.0,0.00040495329840968433,0.0,16.531228725726788,True,True,0.34165382385253906,0.46458667202387005,3.7384590099627815,-2.05472302230055,-0.34111738204956055,-0.5401814123615623,-3.856600096455616,2.146115279888793,0.0005364418029785156,-0.0755947403376922,-0.11814108649283936,0.09139225758823408,0.6388716824193087,0.07559664368562331,4.413521847521956,0.14936485886841885,11.25,11.5,True,1.8499999999999996,1.0,0.34111738204956055,0.5401814123615623,3.8566000964556224,-2.1461152798887895,-0.001959502696990967,0.5028367042541504,-0.1901388168334961,-0.5003053229302168,-2.1120646477373577,1.2332449646162849,0.0,0.007243895759949317,0.0011048944187887872,True,False,fd019_oblique_tilt_severe_v3,oblique_tilt,severe,development,force,force_2,development/fd019_oblique_tilt_severe_v3/force_2,force,insert,-0.038839876651763916,2.129296874999781,16.631332397460938
1,9.799999999857391,16.116177290678024,-0.010569184263432757,0.5813867187500001,0.6783679127693176,0.6338357925415021,0.6852820515632612,True,1.5999999998341075,True,True,verified,11.899999999826832,15.482341498136522,False,13,13,0.09999999999854481,True,11.908333333160044,True,12.408333333152768,1.1583333333164774,True,False,False,True,3.1612184047698975,0.003434230573475361,2.35633777655088,0.002902276267727407,0.025526847690343857,0.000820125627797097,0.06217760850603764,0.0007973230699113068,17.640878677368164,0.0,17.637658485999474,0.0,3.321063756942749,0.0,2.4023193487754235,0.0,0.1247277706861496,0.0,0.12485276907682419,0.0,-0.03624284267425537,0.0,-0.19120238721370697,0.0,-0.3580702245235443,0.0,-0.39546000269743115,0.0,3.3015053272247314,0.0,2.3101285650179935,0.0,0.10506676137447357,0.0,0.10476731279721627,0.0,-0.06721386313438416,0.0,-0.0678982104246433,0.0,0.0005380787188187242,0.0,0.0007034696486348716,0.0,17.637658485999474,True,True,0.3514289855957031,0.4708721462520771,3.759630090272424,-2.077733843985385,-0.3445148468017578,-0.5444816779345274,-3.874580087938661,2.171898622639274,0.0069141387939453125,-0.07360953168245032,-0.11494999766622631,0.09416477865389161,0.6443219515686526,0.07393354089837438,4.441791810167732,0.14859511264641861,11.65,11.9,True,1.8499999999999996,1.0,0.3445148468017578,0.5444816779345274,3.8745800879386536,-2.171898622639276,0.02405792474746704,0.5174070000648499,-0.21326541900634766,-0.4916076431982219,-2.120185880859979,1.2477478995492537,0.0,0.008452818012581421,0.001201240811496973,True,False,fd019_oblique_tilt_severe_v3,oblique_tilt,severe,development,force,force_3,development/fd019_oblique_tilt_severe_v3/force_3,force,insert,-0.012546777725219727,1.1871093749996433,17.640878677368164
1,8.999999999869033,16.327796131372452,0.004149584880363176,0.6564029043692123,0.7493346929550171,0.6249845027923566,0.7425621151924116,True,1.6583333331782342,True,True,verified,11.158333333170958,15.702811628580095,False,13,13,0.09999999999854481,True,11.16666666650417,True,11.666666666496894,1.0249999999850843,True,False,False,True,1.3550440073013306,0.0045915390364825726,1.3829255104064941,0.00338149175961287,0.14182783663272858,0.00010403453779872507,0.14575877671058363,0.000577184786939492,16.838468551635742,0.0,16.473087017352764,0.0,1.3486251831054688,0.0,1.3932405022474437,0.0,0.1574459820985794,0.0,0.15322917355940893,0.0,0.01703202724456787,0.0,0.030513169673772957,0.0,-0.00934648048132658,0.0,0.06570547124227652,0.0,1.3484852313995361,0.0,1.3861363209210908,0.0,0.13815659284591675,0.0,0.1340374109836725,0.0,0.07550737261772156,0.0,0.0742391416659722,0.0,-0.0007933677406981587,0.0,-0.0008982705991142071,0.0,16.473087017352764,True,True,-0.2620220184326172,0.49134116852656007,3.697039492653545,1.9712996276837202,0.3121495246887207,-0.5583897000178695,-3.8380205316334757,-2.0704015799620414,0.050127506256103516,-0.0670485314913094,-0.14098103897992995,-0.09910195227832867,0.639715861026941,0.08371542545192497,4.360844448446818,0.17232774093928308,10.908333333333333,11.158333333333333,True,1.9083333333333332,1.0,-0.3121495246887207,0.5583897000178695,3.8380205316334752,2.070401579962038,0.04562735557556152,0.33736109733581543,0.21147727966308594,-0.49024063628166914,-2.1324684403122602,-1.1948984281233843,0.0,0.008580511579146752,0.0008237258343097682,True,False,fd022_combined_severe_v2,combined,severe,development,force,force_1,development/fd022_combined_severe_v2/force_1,force,insert,0.012278556823730469,2.9589843749999005,16.838468551635742
