case_id,family,severity,nominal_success,force_success,productivity_success,force_outcome,productivity_outcome,success_delta,force_actual_trigger_time_s,productivity_actual_trigger_time_s,actual_trigger_order,force_shadow_trigger_time_s,productivity_shadow_trigger_time_s,shadow_trigger_order,force_actual_triggered,productivity_actual_triggered,force_shadow_triggered,productivity_shadow_triggered,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples,force_actual_trigger_depth_mm,force_actual_trigger_wrist_force_n,force_actual_trigger_eta_raw,force_actual_trigger_actual_progress_rate_mm_s,force_actual_trigger_command_progress_rate_mm_s,force_actual_trigger_diagnostic_normal_load_n,productivity_actual_trigger_depth_mm,productivity_actual_trigger_wrist_force_n,productivity_actual_trigger_eta_raw,productivity_actual_trigger_actual_progress_rate_mm_s,productivity_actual_trigger_command_progress_rate_mm_s,productivity_actual_trigger_diagnostic_normal_load_n,force_magnitude_at_productivity_trigger_n,productivity_eta_at_force_trigger
ft020_oblique_offset_severe_v0,oblique_offset,severe,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,True,9.91666666652236,0.0,0.0,0.0,True,1191,0,,,,,,,,,,,,,,
ft021_oblique_offset_severe_v1,oblique_offset,severe,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,10.733333333177143,0.05506888339671316,0.020831889446104205,0.008453516962929408,False,1289,371,,,,,,,,,,,,,,
ft022_oblique_offset_severe_v2,oblique_offset,severe,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,10.291666666516903,0.025284545215395096,0.010501662264023692,0.006636224468567801,False,1236,278,,,,,,,,,,,,,,
ft023_oblique_offset_severe_v3,oblique_offset,severe,True,True,True,insertion_success,insertion_success,0,,10.79999999984284,productivity_only,,10.79999999984284,productivity_only,False,True,False,True,False,10.374999999849024,0.024210184963027858,0.0011292879220010342,0.004873972788287533,False,1246,221,,,,,,,19.48547139763832,0.5755181908607483,,0.005587935447692871,0.0,0.45693883299827576,0.5755181908607483,
ft024_axis_tilt_moderate_v0,axis_tilt,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.924999999855572,0.03691521044581681,0.052420108870719524,0.014404022800762141,False,1192,95,,,,,,,,,,,,,,
ft025_axis_tilt_moderate_v1,axis_tilt,moderate,False,True,True,insertion_success,insertion_success,0,9.799999999857391,9.99999999985448,force_first,9.799999999857391,9.99999999985448,force_first,True,True,True,True,False,9.799999999857391,0.015972957343202372,0.10185561329783412,0.004803122316126319,False,1177,249,18.97086724638939,1.2626128196716309,0.5199360823938816,0.6172209978103638,1.1871093749996433,2.066828966140747,18.94717440009117,2.817857503890991,0.03847868546198087,0.025928020477294922,0.6738281249995737,10.620250701904297,2.817857503890991,0.5199360823938816
ft026_axis_tilt_moderate_v2,axis_tilt,moderate,False,False,True,time_budget_exhausted,insertion_success,1,,10.79999999984284,productivity_only,,11.199999999837019,productivity_only,False,True,False,True,True,10.79999999984284,0.0,0.0,0.0,True,1297,0,,,,,,,19.18015405535698,0.6260075569152832,,0.00030547380447387695,0.0,6.157055377960205,0.6260075569152832,
ft027_axis_tilt_moderate_v3,axis_tilt,moderate,False,False,True,time_budget_exhausted,insertion_success,1,,10.899999999841384,productivity_only,,10.79999999984284,productivity_only,False,True,False,True,True,10.899999999841384,0.0,0.0,0.0,True,1309,0,,,,,,,19.43446844816208,0.37263134121894836,,-0.0002086162567138672,0.0,5.025369644165039,0.37263134121894836,
ft028_axis_tilt_severe_v0,axis_tilt,severe,False,True,True,insertion_success,insertion_success,0,8.499999999876309,8.799999999871943,force_first,8.499999999876309,8.799999999871943,force_first,True,True,True,True,False,8.499999999876309,0.010562801958005545,0.004412292291856937,0.00677642641046529,False,1021,156,15.691643208265306,1.266196846961975,0.69417201229027,2.6641562581062317,3.8378906250000284,7.671160697937012,15.674857050180437,0.7958292961120605,0.1284581078274324,0.42797625064849854,3.331640624999956,16.132246017456055,0.7958292961120605,0.69417201229027
ft029_axis_tilt_severe_v1,axis_tilt,severe,False,True,True,insertion_success,insertion_success,0,8.999999999869033,9.099999999867578,force_first,8.799999999871943,9.099999999867578,force_first,True,True,True,True,True,8.999999999869033,0.0,0.0,0.0,True,1081,0,16.738442331552505,2.4503583908081055,0.33320310485639526,0.9859427809715271,2.9589843749999005,16.762056350708008,16.730794310569763,0.9500654339790344,0.1655625008977099,0.4573017358779907,2.7621093749998806,17.803783416748047,0.9500654339790344,0.33320310485639526
ft030_axis_tilt_severe_v2,axis_tilt,severe,False,False,True,grasp_retention_limit,insertion_success,1,,8.899999999870488,productivity_only,,8.899999999870488,productivity_only,False,True,False,True,True,8.899999999870488,0.0,0.0,0.0,True,1069,0,,,,,,,17.400582879781723,0.2383815199136734,0.3732615732226903,1.1753365397453308,3.1488281249999375,0.09630846977233887,0.2383815199136734,
ft031_axis_tilt_severe_v3,axis_tilt,severe,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,False,9.79166666652418,0.016930778281093524,0.045431880912862196,0.008963799572428613,False,1176,76,,,,,,,,,,,,,,
ft032_oblique_tilt_moderate_v0,oblique_tilt,moderate,False,True,True,insertion_success,insertion_success,0,9.699999999858846,9.99999999985448,force_first,9.899999999855936,9.99999999985448,force_first,True,True,True,True,False,9.699999999858846,0.028366151710525707,0.014450842606249445,0.012953762237089968,False,1165,244,18.937324732542038,1.54840886592865,0.6410334148600734,0.9187310934066772,1.433203124999686,1.782633662223816,18.925493210554123,1.2147297859191895,0.1102834508039647,0.07431209087371826,0.6738281249995737,1.9971305131912231,1.2147297859191895,0.6410334148600734
ft033_oblique_tilt_moderate_v1,oblique_tilt,moderate,False,True,True,insertion_success,insertion_success,0,9.899999999855936,10.79999999984284,force_first,,11.199999999837019,productivity_only,True,True,False,True,True,9.899999999855936,0.0,0.0,0.0,True,1189,0,19.18410286307335,2.148385524749756,0.6799765682183407,0.6350874900817871,0.9339843749996106,4.976506233215332,19.188804179430008,0.5538893342018127,,0.0023543834686279297,0.0,5.835696697235107,0.5538893342018127,0.6799765682183407
ft034_oblique_tilt_moderate_v2,oblique_tilt,moderate,False,False,True,time_budget_exhausted,insertion_success,1,,11.499999999832653,productivity_only,,11.499999999832653,productivity_only,False,True,False,True,False,11.499999999832653,0.009639500623025689,0.006595413299185702,0.0057424314342855495,False,1381,351,,,,,,,19.472861289978027,0.49599242210388184,,0.0030174851417541504,0.0,6.903276443481445,0.49599242210388184,
ft035_oblique_tilt_moderate_v3,oblique_tilt,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,True,10.391666666515448,0.0,0.0,0.0,True,1248,0,,,,,,,,,,,,,,
ft036_oblique_tilt_severe_v0,oblique_tilt,severe,False,True,True,insertion_success,insertion_success,0,9.099999999867578,9.099999999867578,same_time,9.099999999867578,9.099999999867578,same_time,True,True,True,True,False,9.099999999867578,0.009824569039081705,0.010768562357488156,0.009701195817096902,False,1093,167,16.76730588078499,1.4717833995819092,0.18500553433755307,0.5110055208206177,2.7621093749998806,18.608354568481445,16.773180663585663,1.9360482692718506,0.23061627968082554,0.6369873881340027,2.7621093749998806,18.925334930419922,1.9360482692718506,0.18500553433755307
ft037_oblique_tilt_severe_v1,oblique_tilt,severe,False,True,False,insertion_success,grasp_retention_limit,-1,9.099999999867578,,force_only,9.199999999866122,,force_only,True,False,True,False,False,9.099999999867578,0.008867430574245671,0.0009164296713232239,0.0012927059857075253,False,1093,77,18.087287992239,1.1399906873703003,0.9522527738670574,2.6302263140678406,2.7621093749998806,0.9467321038246155,,,,,,,,0.9522527738670574
ft038_oblique_tilt_severe_v2,oblique_tilt,severe,False,True,False,insertion_success,grasp_retention_limit,-1,9.399999999863212,,force_only,9.399999999863212,,force_only,True,False,True,False,False,9.399999999863212,0.01142534756298765,0.02151341561143186,0.0015145429172351127,False,1129,34,18.99813637137413,1.4891760349273682,0.6307162094326804,1.3429820537567139,2.129296874999781,5.416083335876465,,,,,,,,0.6307162094326804
ft039_oblique_tilt_severe_v3,oblique_tilt,severe,False,True,True,insertion_success,insertion_success,0,8.499999999876309,8.799999999871943,force_first,8.499999999876309,8.799999999871943,force_first,True,True,True,True,False,8.499999999876309,0.014020404045904955,0.005027647920269151,0.00497163589606121,False,1021,158,15.723419934511186,1.1132864952087402,0.6689484186148169,2.5673508644104004,3.8378906250000284,6.88806676864624,15.749415010213854,1.329424262046814,0.2070062534235247,0.6896704435348511,3.331640624999956,15.656439781188965,1.329424262046814,0.6689484186148169
ft040_combined_moderate_v0,combined,moderate,False,True,True,insertion_success,insertion_success,0,9.899999999855936,9.899999999855936,same_time,9.899999999855936,9.899999999855936,same_time,True,True,True,True,False,9.899999999855936,0.03581014168679691,0.025699875716636324,0.008331468501338729,False,1189,122,19.339022785425186,1.221108078956604,0.07860733344936098,0.0734180212020874,0.9339843749996106,7.034310340881348,19.373567402362823,1.4732080698013306,0.04342787936861388,0.04056096076965332,0.9339843749996106,7.602099418640137,1.4732080698013306,0.07860733344936098
ft041_combined_moderate_v1,combined,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.63333333319315,0.0078070133753180195,0.001659818532861187,0.0008747689568926342,False,1157,35,,,,,,,,,,,,,,
ft042_combined_moderate_v2,combined,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.71666666652527,0.03086345660911567,0.003957613196254091,0.0015357114264728678,False,1167,33,,,,,,,,,,,,,,
ft043_combined_moderate_v3,combined,moderate,False,True,True,insertion_success,insertion_success,0,11.499999999832653,9.699999999858846,productivity_first,12.299999999821011,9.699999999858846,productivity_first,True,True,True,True,False,9.699999999858846,0.00806637538844924,0.005490165791595133,0.001981345399265006,False,1165,101,19.007106870412827,2.40101957321167,,-0.010445713996887207,0.0,8.7014799118042,19.064506143331528,0.8088726997375488,0.13936277500258573,0.19973516464233398,1.433203124999686,5.763364791870117,0.8088726997375488,
ft044_combined_severe_v0,combined,severe,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,False,9.124999999867214,0.030831962650116396,0.03354827494445819,0.009510556439104296,False,1096,68,,,,,,,,,,,,,,
ft045_combined_severe_v1,combined,severe,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,False,9.649999999859574,0.01261082932489842,0.021498254874595835,0.002398421761843476,False,1159,47,,,,,,,,,,,,,,
ft046_combined_severe_v2,combined,severe,False,True,True,insertion_success,insertion_success,0,8.499999999876309,8.699999999873398,force_first,8.699999999873398,8.699999999873398,same_time,True,True,True,True,False,8.499999999876309,0.005134816400207484,0.039144928861556044,0.002717260169875924,False,1021,74,15.868289023637773,1.0337671041488647,0.4783067387782248,1.8356889486312866,3.8378906250000284,14.092757225036621,15.854967385530474,1.1919138431549072,0.03187623742508576,0.11180341243743896,3.5074218749999844,17.371376037597656,1.1919138431549072,0.4783067387782248
ft047_combined_severe_v3,combined,severe,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,True,8.758333333205883,0.0,0.0,0.0,True,1052,0,,,,,,,,,,,,,,
ft048_terminal_band_moderate_v0,terminal_band,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.8749999998563,0.017711940813085796,0.00741455887885717,0.005210965012287084,False,1186,140,,,,,,,,,,,,,,
ft049_terminal_band_moderate_v1,terminal_band,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.816666666523815,0.021276899068834735,0.01762890102671166,0.005004364454153071,False,1179,56,,,,,,,,,,,,,,
ft050_terminal_band_moderate_v2,terminal_band,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.79166666652418,0.056105442828043035,0.010354396141761578,0.006747442658203293,False,1176,177,,,,,,,,,,,,,,
ft051_terminal_band_moderate_v3,terminal_band,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.749999999858119,0.005567423654411123,0.010465049874838938,0.00524662590036139,False,1171,147,,,,,,,,,,,,,,
ft052_terminal_band_severe_v0,terminal_band,severe,True,True,True,insertion_success,insertion_success,0,,,neither,,9.699999999858846,productivity_only,False,False,False,True,True,9.924999999855572,0.0,0.0,0.0,True,1192,0,,,,,,,,,,,,,,
ft053_terminal_band_severe_v1,terminal_band,severe,False,True,True,insertion_success,insertion_success,0,11.799999999828287,9.499999999861757,productivity_first,9.399999999863212,9.499999999861757,force_first,True,True,True,True,False,9.499999999861757,0.01979738561801967,0.006498717718305716,0.005212455806964278,False,1141,160,18.32680180668831,1.0039193630218506,,0.0006258487701416016,0.0,9.686505317687988,18.362460285425186,0.7890527248382568,0.09457319210738414,0.18009543418884277,1.9042968749997513,8.10715103149414,0.7890527248382568,
ft054_terminal_band_severe_v2,terminal_band,severe,False,True,True,insertion_success,insertion_success,0,9.399999999863212,9.699999999858846,force_first,,9.699999999858846,productivity_only,True,True,False,True,False,9.399999999863212,0.010197811581699011,0.008023980758735071,0.002504139214904251,False,1129,110,18.800092488527298,1.3894801139831543,0.6640414495334107,1.4139413833618164,2.129296874999781,5.908252716064453,18.7920942902565,0.6661122441291809,0.081570475326976,0.11690706014633179,1.433203124999686,9.172268867492676,0.6661122441291809,0.6640414495334107
ft055_terminal_band_severe_v3,terminal_band,severe,False,False,True,grasp_retention_limit,insertion_success,1,,9.99999999985448,productivity_only,,,neither,False,True,False,False,True,9.99999999985448,0.0,0.0,0.0,True,1201,0,,,,,,,19.312908500432968,1.045020580291748,0.2204121022985996,0.1485198736190796,0.6738281249995737,11.007726669311523,1.045020580291748,
ft056_late_combined_moderate_v0,late_combined,moderate,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,False,9.574999999860665,0.013243466927569657,0.04686895505754819,0.0027931258023255437,False,1150,91,,,,,,,,,,,,,,
ft057_late_combined_moderate_v1,late_combined,moderate,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,True,9.858333333189876,0.0,0.0,0.0,True,1184,0,,,,,,,,,,,,,,
ft058_late_combined_moderate_v2,late_combined,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,False,9.841666666523452,0.05286591930120255,0.031660222292712675,0.006989022428881532,False,1182,65,,,,,,,,,,,,,,
ft059_late_combined_moderate_v3,late_combined,moderate,True,True,True,insertion_success,insertion_success,0,,,neither,,,neither,False,False,False,False,True,9.941666666521996,0.0,0.0,0.0,True,1194,0,,,,,,,,,,,,,,
ft060_late_combined_severe_v0,late_combined,severe,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,False,9.283333333198243,0.008930943078327949,0.015874002624464607,0.003450610314275732,False,1115,71,,,,,,,,,,,,,,
ft061_late_combined_severe_v1,late_combined,severe,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,True,9.458333333195696,0.0,0.0,0.0,True,1136,0,,,,,,,,,,,,,,
ft062_late_combined_severe_v2,late_combined,severe,False,True,True,insertion_success,insertion_success,0,9.699999999858846,9.699999999858846,same_time,,9.699999999858846,productivity_only,True,True,False,True,True,9.699999999858846,0.0,0.0,0.0,True,1165,0,19.14524808526039,1.4871333837509155,0.2282684068324209,0.3271549940109253,1.433203124999686,12.537936210632324,19.14524808526039,1.4871333837509155,0.2282684068324209,0.3271549940109253,1.433203124999686,12.537936210632324,1.4871333837509155,0.2282684068324209
ft063_late_combined_severe_v3,late_combined,severe,False,False,False,grasp_retention_limit,grasp_retention_limit,0,,,neither,,,neither,False,False,False,False,True,9.883333333189512,0.0,0.0,0.0,True,1187,0,,,,,,,,,,,,,,
