case_id,split,policy,detector_id,stage,threshold_n,run_id,log,family,severity,group_id,force_threshold_n,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows,safety_stop,grasp_retention_failure,terminal_timeout,terminal_phase,safety_before_any_recovery,safety_during_recovery,verified_unloadings,ready_unloadings,retries,retry_successes,repeated_stalls,first_trigger_time_s,first_trigger_depth_mm
ft031_axis_tilt_severe_v3,held_out,force,force,held_out,,held_out/ft031_axis_tilt_severe_v3/force,held_out/ft031_axis_tilt_severe_v3/force/trajectory.csv,axis_tilt,severe,ft031_axis_tilt_severe_v3,1.0,False,False,0,0.0,,3.3897855281829834,0.26529237627983093,12.188056945800781,3.8709192276000977,0.04683388033299707,0.10150839079869911,0.18557483902685806,False,False,False,True,0,7.799999999857391,,19.298912584781647,19.31110918521881,7.8,0.0,grasp_retention_limit,1177,True,True,False,insert,True,False,0,0,0,0,0,,
ft031_axis_tilt_severe_v3,held_out,productivity,productivity,held_out,,held_out/ft031_axis_tilt_severe_v3/productivity,held_out/ft031_axis_tilt_severe_v3/productivity/trajectory.csv,axis_tilt,severe,ft031_axis_tilt_severe_v3,,False,False,0,0.0,,3.389784097671509,0.2657158076763153,13.519268989562988,3.8709185123443604,0.05253623749013059,0.10940768697764724,0.19382658799830615,False,False,False,True,0,7.791666666524179,,19.309045374393463,19.310159236192703,7.791666666666667,0.0,grasp_retention_limit,1176,True,True,False,insert,True,False,0,0,0,0,0,,
ft032_oblique_tilt_moderate_v0,held_out,nominal,nominal,held_out,,held_out/ft032_oblique_tilt_moderate_v0/nominal,held_out/ft032_oblique_tilt_moderate_v0/nominal/trajectory.csv,oblique_tilt,moderate,ft032_oblique_tilt_moderate_v0,,False,False,0,0.0,,4.8082170486450195,0.2604998052120209,21.787172317504883,5.949963092803955,0.07479998748749495,0.06509995728265494,0.11869404022070311,False,False,True,True,0,19.999999999679858,,18.87912079691887,18.953894823789597,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft033_oblique_tilt_moderate_v1,held_out,nominal,nominal,held_out,,held_out/ft033_oblique_tilt_moderate_v1/nominal,held_out/ft033_oblique_tilt_moderate_v1/nominal/trajectory.csv,oblique_tilt,moderate,ft033_oblique_tilt_moderate_v1,,False,False,0,0.0,,2.0835347175598145,0.11875206232070923,7.312678337097168,2.4678399562835693,0.03542931881383993,0.044742042518919334,0.11190581936148891,False,False,True,True,0,19.999999999679858,,19.1900335252285,19.196057319641113,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft034_oblique_tilt_moderate_v2,held_out,nominal,nominal,held_out,,held_out/ft034_oblique_tilt_moderate_v2/nominal,held_out/ft034_oblique_tilt_moderate_v2/nominal/trajectory.csv,oblique_tilt,moderate,ft034_oblique_tilt_moderate_v2,,False,False,0,0.0,,2.292783498764038,0.1674254983663559,7.117208480834961,2.7889225482940674,0.03457726052147336,0.05624696132144891,0.11190581936148891,False,False,True,True,0,19.999999999679858,,19.470681995153427,19.487036019563675,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft034_oblique_tilt_moderate_v2,held_out,force,force,held_out,,held_out/ft034_oblique_tilt_moderate_v2/force,held_out/ft034_oblique_tilt_moderate_v2/force/trajectory.csv,oblique_tilt,moderate,ft034_oblique_tilt_moderate_v2,1.0,False,False,0,0.0,,2.4156382083892822,0.16912299394607544,7.342748641967773,2.9176785945892334,0.03601920252549462,0.05574749957304448,0.11869404022070311,False,False,True,True,0,19.999999999679858,,19.477447122335434,19.484011083841324,8.0,0.0,time_budget_exhausted,2641,False,False,True,hold,False,False,0,0,0,0,0,,
ft036_oblique_tilt_severe_v0,held_out,nominal,nominal,held_out,,held_out/ft036_oblique_tilt_severe_v0/nominal,held_out/ft036_oblique_tilt_severe_v0/nominal/trajectory.csv,oblique_tilt,severe,ft036_oblique_tilt_severe_v0,,False,True,1,0.4583333333333333,9.174999999866486,2.6868643760681152,0.133424311876297,21.172210693359375,2.8423099517822266,0.11886656284332275,0.1016872120089829,0.18974557664965,False,False,False,True,0,7.624999999859938,,16.783875972032547,16.784173995256424,7.625,0.0,grasp_retention_limit,1156,True,True,False,insert,True,False,0,0,0,0,0,,
ft037_oblique_tilt_severe_v1,held_out,productivity,productivity,held_out,,held_out/ft037_oblique_tilt_severe_v1/productivity,held_out/ft037_oblique_tilt_severe_v1/productivity/trajectory.csv,oblique_tilt,severe,ft037_oblique_tilt_severe_v1,,False,False,0,0.0,,2.1563236713409424,0.13905325531959534,14.03611946105957,2.449094533920288,0.06413743540178984,0.100234268757049,0.19782343594174043,False,False,False,True,0,7.316666666531091,,18.06933954358101,18.096105754375458,7.316666666666666,0.0,grasp_retention_limit,1119,True,True,False,insert,True,False,0,0,0,0,0,,
ft037_oblique_tilt_severe_v1,held_out,nominal,nominal,held_out,,held_out/ft037_oblique_tilt_severe_v1/nominal,held_out/ft037_oblique_tilt_severe_v1/nominal/trajectory.csv,oblique_tilt,severe,ft037_oblique_tilt_severe_v1,,False,False,0,0.0,,2.1563236713409424,0.13905325531959534,14.03611946105957,2.449094533920288,0.06413743540178984,0.100234268757049,0.19782343594174043,False,False,False,True,0,7.316666666531091,,18.06933954358101,18.096105754375458,7.316666666666666,0.0,grasp_retention_limit,1119,True,True,False,insert,True,False,0,0,0,0,0,,
ft038_oblique_tilt_severe_v2,held_out,productivity,productivity,held_out,,held_out/ft038_oblique_tilt_severe_v2/productivity,held_out/ft038_oblique_tilt_severe_v2/productivity/trajectory.csv,oblique_tilt,severe,ft038_oblique_tilt_severe_v2,,False,True,1,0.025,9.533333333194605,5.390403747558594,0.4099709391593933,19.503936767578125,5.960297107696533,0.07691853534197435,0.10475585440872237,0.2306997777792299,False,False,False,True,0,7.549999999861029,,18.96718665957451,19.169238954782486,7.55,0.0,grasp_retention_limit,1147,True,True,False,insert,True,False,0,0,0,0,0,,
