case_id,family,severity,detector,nominal_success,nominal_outcome,nominal_stalled,nominal_first_stall_s,nominal_safety_time_s,shadow_triggered,first_trigger_time_s,first_trigger_depth_mm,branch,wrist_force_at_trigger_n,eta_at_trigger,actual_progress_rate_mm_s,command_progress_rate_mm_s,safety_lead_s,stall_lead_s,safe_alarm_checks,false_alert,actual_interventions,actual_prefix_matched_to_nominal
ft024_axis_tilt_moderate_v0,axis_tilt,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft025_axis_tilt_moderate_v1,axis_tilt,moderate,force,False,time_budget_exhausted,False,,,True,9.799999999857391,18.97086724638939,force,1.2626128196716309,0.5199360823938816,0.6172209978103638,1.1871093749996433,,,12,False,1,True
ft025_axis_tilt_moderate_v1,axis_tilt,moderate,productivity,False,time_budget_exhausted,False,,,True,9.99999999985448,18.98992955684662,normal,2.411884069442749,0.13019727623989216,0.08773058652877808,0.6738281249995737,,,67,False,1,False
ft026_axis_tilt_moderate_v2,axis_tilt,moderate,force,False,time_budget_exhausted,False,,,False,,,,,,,,,,0,False,0,False
ft026_axis_tilt_moderate_v2,axis_tilt,moderate,productivity,False,time_budget_exhausted,False,,,True,11.199999999837019,19.18148398399353,terminal,0.6237848997116089,,0.0007748603820800781,0.0,,,109,False,1,False
ft027_axis_tilt_moderate_v3,axis_tilt,moderate,force,False,time_budget_exhausted,False,,,False,,,,,,,,,,0,False,0,False
ft027_axis_tilt_moderate_v3,axis_tilt,moderate,productivity,False,time_budget_exhausted,False,,,True,10.79999999984284,19.4225512444973,terminal,0.5638942718505859,,0.004991888999938965,0.0,,,109,False,1,False
ft028_axis_tilt_severe_v0,axis_tilt,severe,force,False,time_budget_exhausted,True,8.841666666538003,,True,8.499999999876309,15.691643208265306,force,1.266196846961975,0.69417201229027,2.6641562581062317,3.8378906250000284,,0.34166666666169476,128,False,1,True
ft028_axis_tilt_severe_v0,axis_tilt,severe,productivity,False,time_budget_exhausted,True,8.841666666538003,,True,8.799999999871943,15.664202719926836,normal,2.712114095687866,0.1318818981391172,0.4393830895423889,3.331640624999956,,0.04166666666606034,120,False,1,False
ft029_axis_tilt_severe_v1,axis_tilt,severe,force,False,time_budget_exhausted,True,9.14999999986685,,True,8.799999999871943,16.748277097940445,force,1.6681238412857056,0.6547221853439903,2.1812990307807887,3.331640624999956,,0.34999999999490683,121,False,1,False
ft029_axis_tilt_severe_v1,axis_tilt,severe,productivity,False,time_budget_exhausted,True,9.14999999986685,,True,9.099999999867578,16.725493222475052,normal,1.1071377992630005,0.16584303301171432,0.4580765962600708,2.7621093749998806,,0.049999999999272404,76,False,1,False
ft030_axis_tilt_severe_v2,axis_tilt,severe,force,False,grasp_retention_limit,False,,9.249999999865395,False,,,,,,,,,,0,False,0,False
ft030_axis_tilt_severe_v2,axis_tilt,severe,productivity,False,grasp_retention_limit,False,,9.249999999865395,True,8.899999999870488,17.411170154809952,normal,0.16953308880329132,0.37998615430996635,1.1965110898017883,3.1488281249999375,0.34999999999490683,,1,False,1,False
ft031_axis_tilt_severe_v3,axis_tilt,severe,force,False,grasp_retention_limit,False,,9.799999999857391,False,,,,,,,,,,0,False,0,True
ft031_axis_tilt_severe_v3,axis_tilt,severe,productivity,False,grasp_retention_limit,False,,9.799999999857391,False,,,,,,,,,,0,False,0,False
ft032_oblique_tilt_moderate_v0,oblique_tilt,moderate,force,False,time_budget_exhausted,False,,,True,9.899999999855936,18.92898380756378,force,2.1482725143432617,0.23399522144003507,0.21854788064956665,0.9339843749996106,,,3,False,1,False
ft032_oblique_tilt_moderate_v0,oblique_tilt,moderate,productivity,False,time_budget_exhausted,False,,,True,9.99999999985448,18.925493210554123,normal,1.2147297859191895,0.1102834508039647,0.07431209087371826,0.6738281249995737,,,110,False,1,True
ft033_oblique_tilt_moderate_v1,oblique_tilt,moderate,force,False,time_budget_exhausted,False,,,False,,,,,,,,,,0,False,1,False
ft033_oblique_tilt_moderate_v1,oblique_tilt,moderate,productivity,False,time_budget_exhausted,False,,,True,11.199999999837019,19.194302707910538,terminal,0.6448910236358643,,0.0026598572731018066,0.0,,,109,False,1,False
ft034_oblique_tilt_moderate_v2,oblique_tilt,moderate,force,False,time_budget_exhausted,False,,,False,,,,,,,,,,0,False,0,False
ft034_oblique_tilt_moderate_v2,oblique_tilt,moderate,productivity,False,time_budget_exhausted,False,,,True,11.499999999832653,19.472861289978027,terminal,0.49599242210388184,,0.0030174851417541504,0.0,,,106,False,1,True
ft035_oblique_tilt_moderate_v3,oblique_tilt,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft035_oblique_tilt_moderate_v3,oblique_tilt,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft036_oblique_tilt_severe_v0,oblique_tilt,severe,force,False,grasp_retention_limit,True,9.174999999866486,9.624999999859938,True,9.099999999867578,16.773180663585663,force,1.9360482692718506,0.23061627968082554,0.6369873881340027,2.7621093749998806,0.5249999999923602,0.0749999999989086,6,False,1,False
ft036_oblique_tilt_severe_v0,oblique_tilt,severe,productivity,False,grasp_retention_limit,True,9.174999999866486,9.624999999859938,True,9.099999999867578,16.773180663585663,normal,1.9360482692718506,0.23061627968082554,0.6369873881340027,2.7621093749998806,0.5249999999923602,0.0749999999989086,6,False,1,True
ft037_oblique_tilt_severe_v1,oblique_tilt,severe,force,False,grasp_retention_limit,False,,9.316666666531091,True,9.199999999866122,18.07781085371971,force,1.3091952800750732,0.9235598182183654,2.362653613090515,2.5582031249998494,0.11666666666496894,,2,False,1,False
ft037_oblique_tilt_severe_v1,oblique_tilt,severe,productivity,False,grasp_retention_limit,False,,9.316666666531091,False,,,,,,,,,,0,False,0,True
ft038_oblique_tilt_severe_v2,oblique_tilt,severe,force,False,grasp_retention_limit,True,9.533333333194605,9.54999999986103,True,9.399999999863212,18.987347930669785,force,1.1656129360198975,0.6205828730895772,1.3214051723480225,2.129296874999781,0.1499999999978172,0.13333333333139308,1,False,1,False
ft038_oblique_tilt_severe_v2,oblique_tilt,severe,productivity,False,grasp_retention_limit,True,9.533333333194605,9.54999999986103,False,,,,,,,,,,0,False,0,True
ft039_oblique_tilt_severe_v3,oblique_tilt,severe,force,False,time_budget_exhausted,True,8.874999999870852,,True,8.499999999876309,15.723419934511186,force,1.1132864952087402,0.6689484186148169,2.5673508644104004,3.8378906250000284,,0.37499999999454303,128,False,1,True
ft039_oblique_tilt_severe_v3,oblique_tilt,severe,productivity,False,time_budget_exhausted,True,8.874999999870852,,True,8.799999999871943,15.733973681926729,normal,1.3899435997009277,0.18818770641318655,0.6269738078117371,3.331640624999956,,0.0749999999989086,128,False,1,False
