case_id,family,severity,mechanism,nominal_success,nominal_outcome,other_detector_ever_alerts,other_detector_already_alerted,time_s,depth_mm,phase,wrist_force_n,eta_raw,actual_progress_rate_mm_s,command_progress_rate_mm_s,diagnostic_normal_load_n,safe,branch
ft023_oblique_offset_severe_v3,oblique_offset,severe,A_terminal_low_force,True,insertion_success,False,False,10.79999999984284,19.48547139763832,hold,0.5755181908607483,,0.005587935447692871,0.0,0.45693883299827576,True,terminal
ft025_axis_tilt_moderate_v1,axis_tilt,moderate,B_high_force_healthy_eta,False,time_budget_exhausted,True,False,9.799999999857391,18.97086724638939,insert,1.2626128196716309,0.5199360823938816,0.6172209978103638,1.1871093749996433,2.066828966140747,True,force
ft025_axis_tilt_moderate_v1,axis_tilt,moderate,A_terminal_low_force,False,time_budget_exhausted,True,True,13.599999999802094,18.891727179288864,hold,0.8631697297096252,,0.0032708048820495605,0.0,7.288531303405762,True,terminal
ft026_axis_tilt_moderate_v2,axis_tilt,moderate,A_terminal_low_force,False,time_budget_exhausted,False,False,11.199999999837019,19.18148398399353,hold,0.6237848997116089,,0.0007748603820800781,0.0,6.069543361663818,True,terminal
ft027_axis_tilt_moderate_v3,axis_tilt,moderate,A_terminal_low_force,False,time_budget_exhausted,False,False,10.79999999984284,19.4225512444973,hold,0.5638942718505859,,0.004991888999938965,0.0,5.717462539672852,True,terminal
ft028_axis_tilt_severe_v0,axis_tilt,severe,B_high_force_healthy_eta,False,time_budget_exhausted,True,False,8.499999999876309,15.691643208265306,insert,1.266196846961975,0.69417201229027,2.6641562581062317,3.8378906250000284,7.671160697937012,True,force
ft029_axis_tilt_severe_v1,axis_tilt,severe,B_high_force_healthy_eta,False,time_budget_exhausted,True,False,8.799999999871943,16.748277097940445,insert,1.6681238412857056,0.6547221853439903,2.1812990307807887,3.331640624999956,7.724726676940918,True,force
ft029_axis_tilt_severe_v1,axis_tilt,severe,A_low_force_low_eta,False,time_budget_exhausted,True,True,9.499999999861757,16.68579652905464,insert,0.7856215238571167,-0.055084228515632196,-0.10489672422409058,1.9042968749997513,19.19129753112793,True,normal
ft030_axis_tilt_severe_v2,axis_tilt,severe,A_low_force_low_eta,False,grasp_retention_limit,False,False,8.899999999870488,17.411170154809952,insert,0.16953308880329132,0.37998615430996635,1.1965110898017883,3.1488281249999375,0.049543965607881546,True,normal
ft032_oblique_tilt_moderate_v0,oblique_tilt,moderate,A_terminal_low_force,False,time_budget_exhausted,True,True,11.199999999837019,18.879400193691254,hold,0.7728497982025146,,0.0031068921089172363,0.0,7.34644079208374,True,terminal
ft033_oblique_tilt_moderate_v1,oblique_tilt,moderate,A_terminal_low_force,False,time_budget_exhausted,False,False,11.199999999837019,19.194302707910538,hold,0.6448910236358643,,0.0026598572731018066,0.0,6.913057327270508,True,terminal
ft034_oblique_tilt_moderate_v2,oblique_tilt,moderate,A_terminal_low_force,False,time_budget_exhausted,False,False,11.499999999832653,19.472861289978027,hold,0.49599242210388184,,0.0030174851417541504,0.0,6.903276443481445,True,terminal
ft037_oblique_tilt_severe_v1,oblique_tilt,severe,B_high_force_healthy_eta,False,grasp_retention_limit,False,False,9.199999999866122,18.07781085371971,insert,1.3091952800750732,0.9235598182183654,2.362653613090515,2.5582031249998494,7.056234359741211,True,force
ft038_oblique_tilt_severe_v2,oblique_tilt,severe,B_high_force_healthy_eta,False,grasp_retention_limit,False,False,9.399999999863212,18.987347930669785,insert,1.1656129360198975,0.6205828730895772,1.3214051723480225,2.129296874999781,3.6013920307159424,True,force
ft039_oblique_tilt_severe_v3,oblique_tilt,severe,B_high_force_healthy_eta,False,time_budget_exhausted,True,False,8.499999999876309,15.723419934511186,insert,1.1132864952087402,0.6689484186148169,2.5673508644104004,3.8378906250000284,6.88806676864624,True,force
ft039_oblique_tilt_severe_v3,oblique_tilt,severe,A_low_force_low_eta,False,time_budget_exhausted,True,True,8.899999999870488,15.737717598676683,insert,0.8335224390029907,0.009090725030722951,0.028625130653381348,3.1488281249999375,16.93175506591797,True,normal
ft040_combined_moderate_v0,combined,moderate,A_low_force_low_eta,False,time_budget_exhausted,True,True,9.99999999985448,19.340766221284866,insert,0.3454645872116089,0.022622813349199095,0.015243887901306152,0.6738281249995737,8.014341354370117,True,normal
ft040_combined_moderate_v0,combined,moderate,A_terminal_low_force,False,time_budget_exhausted,True,True,10.79999999984284,19.3438358604908,hold,0.18400810658931732,,0.0024586915969848633,0.0,9.194976806640625,True,terminal
ft043_combined_moderate_v3,combined,moderate,A_low_force_low_eta,False,time_budget_exhausted,True,False,9.699999999858846,19.064506143331528,insert,0.8088726997375488,0.13936277500258573,0.19973516464233398,1.433203124999686,5.763364791870117,True,normal
ft043_combined_moderate_v3,combined,moderate,A_terminal_low_force,False,time_budget_exhausted,True,False,11.799999999828287,19.028132408857346,hold,0.5345326662063599,,-0.0037997961044311523,0.0,5.500298976898193,True,terminal
ft052_terminal_band_severe_v0,terminal_band,severe,A_low_force_low_eta,True,insertion_success,False,False,9.699999999858846,19.363099336624146,insert,0.28287357091903687,0.24025106858939493,0.3443285822868347,1.433203124999686,0.22110910713672638,True,normal
ft053_terminal_band_severe_v1,terminal_band,severe,A_low_force_low_eta,False,time_budget_exhausted,True,True,9.499999999861757,18.362460285425186,insert,0.7890527248382568,0.09457319210738414,0.18009543418884277,1.9042968749997513,8.10715103149414,True,normal
ft053_terminal_band_severe_v1,terminal_band,severe,A_terminal_low_force,False,time_budget_exhausted,True,True,10.59999999984575,18.364039808511734,hold,0.7609289884567261,,0.0013709068298339844,0.0,9.693411827087402,True,terminal
ft054_terminal_band_severe_v2,terminal_band,severe,A_low_force_low_eta,False,time_budget_exhausted,False,False,9.699999999858846,18.7920942902565,insert,0.6661122441291809,0.081570475326976,0.11690706014633179,1.433203124999686,9.172268867492676,True,normal
ft054_terminal_band_severe_v2,terminal_band,severe,A_terminal_low_force,False,time_budget_exhausted,False,False,10.59999999984575,18.782956153154373,hold,0.7278577089309692,,-0.0030547380447387695,0.0,11.373835563659668,True,terminal
ft062_late_combined_severe_v2,late_combined,severe,A_low_force_low_eta,False,grasp_retention_limit,False,False,9.699999999858846,19.157396256923676,insert,0.5682622790336609,0.24517929563738253,0.3513917326927185,1.433203124999686,12.77230453491211,True,normal
