policy,conditions,successes,success_rate,success_wilson_low,success_wilson_high,stalled_runs,safety_stops,productivity_triggered_runs,intervened_runs,recoveries,verified_unloadings,ready_unloadings,retries,retry_successes,evaluable_retries,repeated_stalls,mean_final_depth_mm,mean_insertion_time_s,mean_success_time_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n
nominal,48,25,0.5208333333333334,0.3832923230334281,0.6552868382304838,10,7,14,0,0,0,0,0,0,0,0,18.68979673211773,12.019097222196095,8.12866666667781,5.443921089172363,0.3026426136493683,21.4919376373291
force,48,25,0.5208333333333334,0.3832923230334281,0.6552868382304838,11,6,14,13,23,0,0,22,0,21,18,18.6618038918823,12.313541666642498,8.191666666690406,5.443921089172363,0.3026426136493683,21.3026123046875
axial,48,26,0.5416666666666666,0.40291074545649797,0.6742475770713254,7,4,13,13,17,8,8,8,0,8,4,18.604364804923534,11.103645833303569,8.159294871800098,5.443921089172363,0.3026426136493683,18.330121994018555
dewedge,48,38,0.7916666666666666,0.6574109872738206,0.882697270420944,4,4,14,14,14,14,14,14,14,11,0,19.48789159456889,10.31666666664676,9.10899122806821,6.3212785720825195,0.31573328375816345,18.330110549926758
