time_s,depth_mm,phase,eta_valid,eta_raw,productivity_would_trigger,productivity_trigger_onset,productivity_consecutive,actual_policy_soft_trigger,actual_intervention_started,wrist_force_n,case_id,run_id,policy
0.09999999999990905,-14.986964315176008,approach,False,,False,False,0,False,False,0.0016554542817175388,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.1999999999998181,-14.962675422430037,approach,False,,False,False,0,False,False,0.00454486720263958,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.29999999999972715,-14.884667843580244,approach,False,,False,False,0,False,False,0.006352671887725592,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.3999999999996362,-14.747674018144606,approach,False,,False,False,0,False,False,0.00765501894056797,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.49999999999954525,-14.529096335172651,approach,False,,False,False,0,False,False,0.005839964374899864,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.5999999999994543,-14.226774126291273,approach,False,,False,False,0,False,False,0.003405856667086482,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.6999999999993634,-13.873132318258284,approach,False,,False,False,0,False,False,0.004500252660363913,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.7999999999992724,-13.46798464655876,approach,False,,False,False,0,False,False,0.006494136061519384,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.8999999999991815,-13.194518536329268,approach,False,,False,False,0,False,False,0.00773575296625495,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
0.9999999999990905,-12.737105041742323,approach,False,,False,False,0,False,False,0.005065979901701212,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
1.0999999999989996,-12.395965307950972,approach,False,,False,False,0,False,False,0.0012222523801028728,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
1.1999999999989086,-12.010710686445234,approach,False,,False,False,0,False,False,0.003075092099606991,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
1.2999999999988177,-11.621447652578352,approach,False,,False,False,0,False,False,0.0038506973069161177,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
1.3999999999987267,-11.275748163461683,approach,False,,False,False,0,False,False,0.003482165979221463,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
1.4999999999986358,-10.948205739259718,approach,False,,False,False,0,False,False,0.003689889330416918,g000_axis_offset_moderate_v0,g000_axis_offset_moderate_v0/repeat0/nominal,nominal
