dimension,value,policy,conditions,successes,success_rate,success_wilson_low,success_wilson_high,stalled_runs,safety_stops,productivity_triggered_runs,intervened_runs,recoveries,verified_unloadings,ready_unloadings,retries,retry_successes,evaluable_retries,repeated_stalls,mean_final_depth_mm,mean_insertion_time_s,mean_success_time_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n
family,axis_offset,nominal,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.663374964147806,7.8520833333243445,7.8520833333243445,1.3003759384155273,0.1119721531867981,1.165412425994873
family,axis_offset,force,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.66790910810232,7.846874999990888,7.846874999990888,1.3429797887802124,0.11152609437704086,1.2120110988616943
family,axis_offset,axial,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.66090090572834,7.85416666665769,7.85416666665769,1.3003759384155273,0.1119721531867981,1.165412425994873
family,axis_offset,dewedge,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.654183741658926,7.8479166666748625,7.8479166666748625,1.3003759384155273,0.1119721531867981,1.165412425994873
family,axis_tilt,nominal,8,4,0.5,0.21521606221387757,0.7847839377861224,3,1,4,0,0,0,0,0,0,0,0,18.124037515372038,12.568750000023044,8.237500000061175,5.443921089172363,0.3026426136493683,20.850513458251953
family,axis_tilt,force,8,4,0.5,0.21521606221387757,0.7847839377861224,3,2,4,3,6,0,0,5,0,5,5,18.106267414987087,11.122916666710559,8.23125000006118,5.443921089172363,0.3026426136493683,21.3026123046875
family,axis_tilt,axial,8,4,0.5,0.21521606221387757,0.7847839377861224,1,0,4,4,4,0,0,0,0,0,0,18.11090586706996,10.307291666692144,8.239583333394535,5.443921089172363,0.3026426136493683,18.330121994018555
family,axis_tilt,dewedge,8,7,0.875,0.5291118177871464,0.9775825085499433,1,0,4,4,4,4,4,4,4,3,0,19.667101185768843,10.871875000044033,9.56785714286745,6.3212785720825195,0.31573328375816345,18.330110549926758
family,cross_axis_combined,nominal,8,1,0.125,0.02241749145005667,0.4708881822128535,4,1,5,0,0,0,0,0,0,0,0,18.206609971821308,17.06770833316842,8.79999999984284,3.6008169651031494,0.20693424344062805,20.795623779296875
family,cross_axis_combined,force,8,0,0.0,0.0,0.32440756488388023,4,0,5,5,8,0,0,8,0,8,7,18.09441354125738,19.999999999844675,,3.507605791091919,0.20852668583393097,19.988136291503906
family,cross_axis_combined,axial,8,2,0.25,0.071479212752109,0.5907245696898311,3,0,4,4,7,6,6,6,0,6,3,17.76079097762704,16.279166666500856,8.741666666510355,3.563495397567749,0.1994897425174713,12.88581371307373
family,cross_axis_combined,dewedge,8,5,0.625,0.30574239460262737,0.8631557141764026,1,0,5,5,5,5,5,5,5,4,0,19.67551801353693,14.179166666527877,10.686666666516635,3.470144271850586,0.20548298954963684,12.885795593261719
family,oblique_combined,nominal,8,2,0.25,0.071479212752109,0.5907245696898311,2,2,4,0,0,0,0,0,0,0,0,18.12792904675007,14.483333333257278,9.754166666561787,3.4843909740448,0.1989942342042923,21.4919376373291
family,oblique_combined,force,8,2,0.25,0.071479212752109,0.5907245696898311,3,1,4,3,6,0,0,6,0,6,4,18.080753833055496,15.814583333256067,9.754166666561787,4.24462890625,0.26183053851127625,18.050857543945312
family,oblique_combined,axial,8,2,0.25,0.071479212752109,0.5907245696898311,2,1,4,4,5,2,2,2,0,2,1,18.072547018527985,12.98333333324615,9.754166666566732,4.03899621963501,0.20301847159862518,17.283370971679688
family,oblique_combined,dewedge,8,6,0.75,0.40927543031016883,0.9285207872478909,1,1,4,4,4,4,4,4,4,3,0,19.426613673567772,11.201041666593625,10.431944444401779,4.24462890625,0.23755638301372528,17.65261459350586
family,oblique_offset,nominal,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.66928793117404,7.846875000041649,7.846875000041649,1.5341027975082397,0.09021544456481934,1.4028637409210205
family,oblique_offset,force,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.66961668804288,7.845833333374998,7.845833333374998,1.5341027975082397,0.10125672817230225,1.4028637409210205
family,oblique_offset,axial,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.667104445397854,7.848958333374995,7.848958333374995,1.4867956638336182,0.09021544456481934,1.3661073446273804
family,oblique_offset,dewedge,8,8,1.0,0.6755924351161198,1.0,0,0,0,0,0,0,0,0,0,0,0,19.67053171247244,7.847916666708315,7.847916666708315,1.4867956638336182,0.10125672817230225,1.3661073446273804
family,oblique_tilt,nominal,8,2,0.25,0.071479212752109,0.5907245696898311,1,3,1,0,0,0,0,0,0,0,0,18.347540963441133,12.295833333361834,8.183333333403112,3.4927291870117188,0.15976379811763763,17.326547622680664
family,oblique_tilt,force,8,3,0.375,0.13684428582359742,0.6942576053973727,1,3,1,2,3,0,0,3,0,2,2,18.351862765848637,11.2510416666778,8.93888888898825,3.4099440574645996,0.24769875407218933,17.507633209228516
family,oblique_tilt,axial,8,2,0.25,0.071479212752109,0.5907245696898311,1,3,1,1,1,0,0,0,0,0,0,18.35393961519003,11.348958333349579,8.283333333404386,4.158846378326416,0.23819498717784882,17.750537872314453
family,oblique_tilt,dewedge,8,4,0.5,0.21521606221387757,0.7847839377861224,1,3,1,1,1,1,1,1,1,1,0,18.83340124040842,9.95208333333185,9.393750000115134,2.3196756839752197,0.2107458859682083,17.750537872314453
severity,moderate,nominal,24,17,0.7083333333333334,0.5083230633550337,0.8508535180303913,0,0,2,0,0,0,0,0,0,0,0,19.570805846403044,11.633333333293281,8.188235294122308,5.443921089172363,0.3026426136493683,8.512714385986328
severity,moderate,force,24,17,0.7083333333333334,0.5083230633550337,0.8508535180303913,0,0,2,1,1,0,0,1,0,1,0,19.568283514430124,11.700694444409963,8.283333333356572,5.443921089172363,0.3026426136493683,8.512714385986328
severity,moderate,axial,24,18,0.75,0.55100555994846,0.8800063377140499,1,0,1,1,2,2,2,2,0,2,1,19.557621888816357,11.170138888856227,8.22685185184832,5.443921089172363,0.3026426136493683,8.512714385986328
severity,moderate,dewedge,24,18,0.75,0.55100555994846,0.8800063377140499,0,0,2,2,2,2,2,2,2,0,0,19.62627541894714,11.402083333298712,8.536111111104967,6.3212785720825195,0.31573328375816345,12.179466247558594
severity,severe,nominal,24,8,0.3333333333333333,0.1797219032729775,0.5329368316186824,10,7,12,0,0,0,0,0,0,0,0,17.808787617832422,12.404861111098908,8.002083333358257,4.092447757720947,0.20693424344062805,21.4919376373291
severity,severe,force,24,8,0.3333333333333333,0.1797219032729775,0.5329368316186824,11,6,12,12,22,0,0,21,0,20,18,17.755324269334476,12.926388888875032,7.996875000024801,4.24462890625,0.26183053851127625,21.3026123046875
severity,severe,axial,24,8,0.3333333333333333,0.1797219032729775,0.5329368316186824,6,4,12,12,15,6,6,6,0,6,3,17.651107721030712,11.037152777750912,8.0072916666916,4.158846378326416,0.24023950099945068,18.330121994018555
