intervention,trigger_time_s,trigger_depth_mm,trigger_eta_raw,commanded_retract_mm,hand_target_retract_mm,actual_retract_mm,max_actual_retract_mm,safe_target_crossed,time_to_0_5_mm_s,sustained_0_5_mm_at_recovery_end,online_verified,recovery_status,recovery_end_time_s,recovery_end_depth_mm,recovery_safety_stop,before_samples,after_samples,after_window_duration_s,rejoin_started,rejoin_start_time_s,retry_started,retry_start_time_s,retry_observed_s,retry_evaluable,stall_observed_after_retry,stall_after_retry,first_stall_before_trigger,trigger_wrist_force_n,after_wrist_force_n,before_mean_wrist_force_n,after_mean_wrist_force_n,trigger_wrist_torque_nm,after_wrist_torque_nm,before_mean_wrist_torque_nm,after_mean_wrist_torque_nm,trigger_normal_load_n,after_normal_load_n,before_mean_normal_load_n,after_mean_normal_load_n,trigger_force_norm_n,after_force_norm_n,before_mean_force_norm_n,after_mean_force_norm_n,trigger_torque_norm_nm,after_torque_norm_nm,before_mean_torque_norm_nm,after_mean_torque_norm_nm,trigger_fx,after_fx,before_mean_fx,after_mean_fx,trigger_fy,after_fy,before_mean_fy,after_mean_fy,trigger_fz,after_fz,before_mean_fz,after_mean_fz,trigger_taux,after_taux,before_mean_taux,after_mean_taux,trigger_tauy,after_tauy,before_mean_tauy,after_mean_tauy,trigger_tauz,after_tauz,before_mean_tauz,after_mean_tauz,normal_load_drop_n,contact_load_decreased,load_decreased_after_verified_unloading,actual_dx_mm,actual_dy_mm,actual_droll_deg,actual_dpitch_deg,trigger_x_mm,trigger_y_mm,trigger_roll_deg,trigger_pitch_deg,after_x_mm,after_y_mm,after_roll_deg,after_pitch_deg,lateral_error_before_mm,lateral_error_after_mm,tilt_error_before_deg,tilt_error_after_deg,verification_time_s,retry_ready_time_s,ready_to_retry,time_to_verified_unloading_s,commanded_relax_fraction,commanded_relax_x_mm,commanded_relax_y_mm,commanded_relax_roll_deg,commanded_relax_pitch_deg,retry_success,repeated_stall,case_id,run_id,policy,family,severity,ramp_onset_mm,verification_enforced,relax_end_actual_retreat_mm,relax_end_normal_load_n,relax_end_x_mm,relax_end_y_mm,relax_end_roll_deg,relax_end_pitch_deg,verified_mean_normal_load_n,verified_mean_wrist_force_n,verified_mean_wrist_torque_nm
1,8.6,15.877252072095873,0.589492533566935,1.0,1.0000020265579224,0.030085444450378418,0.03034248948097229,False,,False,False,fixed_completed,9.350000000119053,15.847166627645494,False,13,13,0.10000000000127329,True,9.358333333452492,True,9.858333333458859,0.8416666666773835,True,True,True,False,1.3101651668548584,0.2616608440876007,1.1064723775937007,0.6734150040608186,0.019977644085884094,0.055095747113227844,0.041538744018628046,0.06283371408398335,9.089693069458008,6.283584117889404,7.222318685971773,6.391599435072679,1.3625869750976562,0.22541499137878418,1.119158263389881,0.7317790950720127,0.0700785294175148,0.04084538668394089,0.06098519294307782,0.04656818365821472,0.1435089409351349,0.031038923189044,0.026806846547585268,-0.029629340968452968,0.52081298828125,-0.12637780606746674,0.5890755630456485,-0.0004864630217735584,1.2509205341339111,-0.18405745923519135,0.9363355682446406,-0.47619612629597,-0.0700509250164032,-0.0408177524805069,-0.060945942997932434,-0.04653756950910275,0.0019551152363419533,0.001475580153055489,0.0010234795157045412,0.0009012047308855332,0.00021273735910654068,-0.0002815245825331658,-0.0002754862876967169,-0.00029329881475020485,0.8307192508990946,True,,0.0008940696716308594,-0.01158611848950386,-0.06211136468189693,-0.01247992469870951,0.0008940696716308594,0.5985856987535954,4.279391418453182,0.0203277756379177,0.0017881393432617188,0.5869995802640915,4.217280053771285,0.00784785093921263,0.5985863664609374,0.5870023038051303,4.27943969823073,4.217287355718305,,,False,,0.0,0.0,0.0,0.0,0.0,False,True,g020_axis_tilt_severe_v0,g020_axis_tilt_severe_v0/repeat0/force,force,axis_tilt,severe,7.0,False,,,,,,,,,
2,10.7,15.753974765539171,-0.05193465695485903,1.0,1.0000020265579224,0.07152929902076721,0.07152929902076721,False,,False,False,fixed_completed,11.450000000145792,15.682445466518404,False,13,13,0.10000000000127329,True,11.458333333479231,True,11.958333333485598,10.041666666794526,True,True,True,True,2.4976296424865723,0.07851769775152206,2.280456882256728,0.9051308843951958,0.022706469520926476,0.08333440870046616,0.048895813238162264,0.10954797325225976,17.301530838012695,12.646186828613281,17.11334389906663,12.683135986328125,2.5133306980133057,0.07417236268520355,2.284490942955017,1.0590587499049993,0.12321149557828903,0.0794811025261879,0.12336206722718018,0.08616597549273418,0.036394715309143066,-0.05528062582015991,0.05889185002216926,-0.0203539992754276,0.4530327022075653,-0.043260253965854645,0.45923810509534985,-0.008257113826962618,2.471895456314087,-0.023961275815963745,2.2162299431287327,-0.4800047347178826,-0.12320525199174881,-0.07939794659614563,-0.12334678608637589,-0.08610725574768506,-0.0012212102301418781,-0.003633798100054264,1.5355369004492575e-05,-0.0015312116637897606,-0.00021665511303581297,-8.664801134727895e-05,0.00025670220761989744,0.0001262668559390407,4.430207912738506,True,,0.0008344650268554688,-0.02222543116658926,-0.1015905783966673,-0.02336785986386758,-0.0019669532775878906,0.6453676614910364,4.554882944804439,0.06829457114124633,-0.0011324882507324219,0.6231422303244472,4.453292366407771,0.04492671127738676,0.6453706589267947,0.6231432594061853,4.5553949103582365,4.453518980546948,,,False,,0.0,0.0,0.0,0.0,0.0,False,True,g020_axis_tilt_severe_v0,g020_axis_tilt_severe_v0/repeat0/force,force,axis_tilt,severe,7.0,False,,,,,,,,,
1,8.8,15.86420238018036,0.22433989072324317,5.0,5.000002682209015,0.3452487289905548,0.3452487289905548,False,,False,False,budget_exhausted,14.050000000178898,15.518953651189806,False,13,13,0.10000000000127329,False,,False,,0.0,False,False,,False,0.5852972269058228,2.705379009246826,1.627675359065716,2.714794268974891,0.07261867076158524,0.07132650166749954,0.06635721486348373,0.07599463141881503,13.15744400024414,5.842113018035889,12.295096764197716,5.873107213240403,0.5337907075881958,2.7013325691223145,1.7505014217816866,2.7150254799769473,0.10485465824604034,0.034394897520542145,0.10121061022465046,0.040192717543015115,-0.015561848878860474,-0.09699645638465881,0.03337423159525944,-0.12404787855652663,0.5269470810890198,-0.01737847924232483,0.5007859949882214,-0.01167833088682248,-0.08376830816268921,-2.6995346546173096,1.3295181599947123,-2.7107973098754883,-0.10484210401773453,-0.0343928299844265,-0.10115817762338199,-0.04017344575661879,0.0016091293655335903,-0.00037656797212548554,0.0008335766122819713,-0.0007840505736217332,-0.0002060603874269873,1.8749196897260845e-05,-0.00022546239247626194,-0.0001523598598746153,6.421989550957313,True,,0.009059906005859375,-0.034848577342927456,-0.09462843768719154,-0.10886733008501892,0.0007152557373046875,0.6215169560164213,4.402658884080552,0.039642223675440375,0.009775161743164062,0.5866683786734939,4.308030446393372,-0.06922510640957821,0.6215173675825061,0.5867498106710313,4.402837352829575,4.308586594512136,,,False,,0.0,0.0,0.0,0.0,0.0,,,g020_axis_tilt_severe_v0,g020_axis_tilt_severe_v0/repeat0/axial,axial,axis_tilt,severe,7.0,True,,,,,,,,,
1,8.8,15.85754528641701,0.21904207279484256,0.6896296296296267,0.7862821221351624,0.6461590528488159,0.7487162947654724,True,1.6833333334668161,True,True,verified,10.983333333473183,15.211386233568193,False,13,13,0.10000000000127329,True,10.991666666806623,True,11.49166666681299,1.1416666666812034,True,False,False,False,1.2002944946289062,0.0017153980443254113,1.58131677370805,0.003964723992304733,0.026274634525179863,0.00038534554187208414,0.05678649461613251,0.0006952685362193733,13.284906387329102,0.0,12.512593049269457,0.0,1.148719310760498,0.0,1.6838205594282885,0.0,0.10102573782205582,0.0,0.09858294117909211,0.0,0.04958377033472061,0.0,0.03893265128135681,0.0,0.4742949306964874,0.0,0.49767709236878616,0.0,1.045055866241455,0.0,1.3026461349083827,0.0,-0.10102349519729614,0.0,-0.0985420741713964,0.0,0.0005572711816057563,0.0,0.0011650815991183312,0.0,-0.0003784981672652066,0.0,-0.00020760158300757981,0.0,12.512593049269457,True,True,-0.052869319915771484,-0.5382597373682074,-4.291832287798314,-0.026266802773790232,0.007987022399902344,0.6229423452168703,4.411142239863587,0.035062083597359815,-0.04488229751586914,0.08468260784866288,0.11930995206527005,0.008795280823560774,0.6229935457058211,0.09584135173479877,4.411281583623395,0.11963369770504602,10.733333333333333,10.983333333333333,True,1.9333333333333318,1.0,-0.007987022399902344,-0.6229423452168703,-4.41114223986358,-0.03506208359735297,True,False,g020_axis_tilt_severe_v0,g020_axis_tilt_severe_v0/repeat0/dewedge,dewedge,axis_tilt,severe,7.0,True,0.10491907596588135,0.5414518713951111,0.010073184967041016,0.5335386376827955,2.4108335048692693,0.01432492879315512,0.0,0.0059727384135700185,0.0009415654259590575
1,9.3,17.260213941335678,0.09282493496084736,0.5813867187500001,0.6655678153038025,0.6263330578804016,0.6868466734886169,True,1.5999999999900858,True,True,verified,11.399999999989632,16.633880883455276,False,13,13,0.09999999999990905,True,11.408333333322958,True,11.908333333322503,0.7499999999993179,True,False,False,False,0.4977755844593048,0.0028854436241090298,1.5615945618886213,0.002222317261979557,0.10747306793928146,0.00031656419741921127,0.08462421022928678,0.00028985260220137064,17.978500366210938,0.0,17.297283759483925,0.0,0.4775296449661255,0.0,1.7270701435896068,0.0,0.1396833211183548,0.0,0.14144678929677376,0.0,-0.014489859342575073,0.0,0.0507454310472195,0.0,-0.45341792702674866,0.0,-0.5645340287054961,0.0,-0.149120032787323,0.0,1.0214452697680547,0.0,0.13964368402957916,0.0,0.1413914469572214,0.0,0.003141001332551241,0.0,0.002195561403193726,0.0,0.0010988459689542651,0.0,0.00045962056565958145,0.0,17.297283759483925,True,True,0.052928924560546875,0.5215609126025811,3.977905588938654,-0.05038090506312187,0.0020265579223632812,-0.6438425043597817,-4.131295919110754,0.024581877912457938,0.054955482482910156,-0.12228159175720066,-0.15339033017209092,-0.02579902715065599,0.6438456937475688,0.13406301778493623,4.131369051535202,0.15554479480915892,11.15,11.4,True,1.8499999999999996,1.0,-0.0020265579223632812,0.6438425043597817,4.131295919110755,-0.024581877912453365,True,False,g021_axis_tilt_severe_v1,g021_axis_tilt_severe_v1/repeat0/dewedge,dewedge,axis_tilt,severe,12.0,True,0.059157609939575195,0.49066564440727234,-0.005066394805908203,-0.5329118575900793,-2.2778458342739714,0.021400980109460916,0.0,0.005807330330403952,0.0008899359471307924
1,9.2,17.261379957199097,0.27831446434601625,1.0,1.0000020265579224,0.0393502414226532,0.03964826464653015,False,,False,False,fixed_completed,9.94999999999095,17.222029715776443,False,13,13,0.09999999999990905,True,9.958333333324276,True,10.458333333323822,0.8416666666659012,True,True,True,False,1.0720267295837402,1.517651915550232,1.5572924751501818,0.7915322150175388,0.09666308015584946,0.10165730863809586,0.06390331026453239,0.10686388955666469,16.49159812927246,11.781564712524414,15.157147407531738,11.936553808359,1.3563072681427002,1.6641286611557007,1.7243637901086073,0.8865396701372587,0.13824056088924408,0.08753005415201187,0.12872986380870527,0.09261961453236066,-0.013732850551605225,0.035588428378105164,0.008063171345453996,-0.042952003387304455,-0.9228793382644653,0.00602731853723526,-0.6301278526393267,0.009201712333239041,-0.9938181638717651,-1.663737177848816,1.0059611934881945,-0.6572120441840246,0.13823653757572174,0.08747100830078125,0.12868739435305962,0.09254212104357205,0.0010002925992012024,0.0031935882288962603,0.0019483574298926843,-0.0012577322508709936,-0.00033645605435594916,0.00036671903217211366,6.600290250319701e-05,-0.0002886694609724845,3.220593599172739,True,,-0.009894371032714844,0.02029037568718195,0.0900202695418102,-0.007382336412860013,0.009000301361083984,-0.6334456847980618,-4.080317281738164,0.010711220650127628,-0.0008940696716308594,-0.6131553091108799,-3.990297012196356,0.003328884237273783,0.6335096218794753,0.6131559609523799,4.080331340700035,3.9902984007481734,,,False,,0.0,0.0,0.0,0.0,0.0,False,True,g021_axis_tilt_severe_v1,g021_axis_tilt_severe_v1/repeat0/force,force,axis_tilt,severe,12.0,False,,,,,,,,,
2,11.3,17.12045967578888,-0.02394096808348945,1.0,1.0000020265579224,0.031150877475738525,0.03569573163986206,False,,False,False,fixed_completed,12.04999999998904,17.08930879831314,False,13,13,0.09999999999990905,True,12.058333333322366,True,12.558333333321912,9.44166666665808,True,True,True,True,2.2098727226257324,0.37790384888648987,1.818119805592757,0.7784111694647715,0.04055558517575264,0.1252053827047348,0.07486911175342706,0.14002798268428215,18.40584373474121,16.12849998474121,18.259151458740234,15.93897350017841,2.326019763946533,0.32841503620147705,1.8688855171203613,0.8844030935030717,0.1502595841884613,0.12547704577445984,0.14978855504439428,0.12385083906925641,0.31067192554473877,-0.09524953365325928,0.08634440543559882,-0.04199264141229483,-0.4751620888710022,-0.019580665975809097,-0.5042303708883432,0.018770838980204783,2.2556753158569336,-0.31368863582611084,1.7012927738519816,-0.6221408523046054,0.1502564698457718,0.12545044720172882,0.14973747386382177,0.12382362553706536,0.0008664429187774658,-0.0025674381759017706,-0.0027041882668317366,-0.0022553113566783187,0.0004304080212023109,-0.0002906780573539436,0.0006676586546326199,-0.00033397031634544523,2.3201779585618247,True,,-0.004589557647705078,0.022785505279898643,0.11605185600154755,-0.00739102549277959,-0.003933906555175781,-0.6594054866582155,-4.252068796659788,0.04239545651713559,-0.00852346420288086,-0.6366199813783169,-4.136016940658233,0.03500443102435793,0.6594172210791457,0.6366770375411276,4.252280144376793,4.136165064840041,,,False,,0.0,0.0,0.0,0.0,0.0,False,True,g021_axis_tilt_severe_v1,g021_axis_tilt_severe_v1/repeat0/force,force,axis_tilt,severe,12.0,False,,,,,,,,,
1,9.3,17.260213941335678,0.09282493496084736,5.0,5.000002682209015,0.27846917510032654,0.2800300717353821,False,,False,False,budget_exhausted,14.549999999986767,16.98174476623535,False,13,13,0.09999999999990905,False,,False,,0.0,False,False,,False,0.4977755844593048,2.740201711654663,1.5615945618886213,2.7590156335097094,0.10747306793928146,0.12039041519165039,0.08462421022928678,0.1216546050631083,17.978500366210938,12.428245544433594,17.297283759483925,12.455357551574707,0.4775296449661255,2.736640453338623,1.7270701435896068,2.759381184211144,0.1396833211183548,0.0910910964012146,0.14144678929677376,0.09066799798837075,-0.014489859342575073,-0.08554962277412415,0.0507454310472195,-0.09837043973115775,-0.45341792702674866,-0.004322990775108337,-0.5645340287054961,0.014680839501894437,-0.149120032787323,-2.735299587249756,1.0214452697680547,-2.7574676000154934,0.13964368402957916,0.09104713797569275,0.1413914469572214,0.09060461704547589,0.003141001332551241,0.0027822719421237707,0.002195561403193726,0.003141394458138026,0.0010988459689542651,-0.0005148895434103906,0.00045962056565958145,-0.0005375973168366517,4.841926207909218,True,,0.0024437904357910156,0.02700439654290676,0.06020002977570016,-0.07743896594737976,0.0020265579223632812,-0.6438425043597817,-4.131295919110754,0.024581877912457938,0.004470348358154297,-0.616838107816875,-4.071095889335048,-0.052857088034919196,0.6438456937475688,0.6168543063556791,4.131369051535202,4.071439009971321,,,False,,0.0,0.0,0.0,0.0,0.0,,,g021_axis_tilt_severe_v1,g021_axis_tilt_severe_v1/repeat0/axial,axial,axis_tilt,severe,12.0,True,,,,,,,,,
1,9.5,18.13303455710411,0.19904503455531444,5.0,5.000002682209015,0.0049211084842681885,0.0056549906730651855,False,,False,False,budget_exhausted,14.749999999999256,18.128113448619843,False,13,13,0.09999999999999432,False,,False,,0.0,False,False,,False,0.4014865458011627,3.0058135986328125,1.133921912083259,2.914374443200918,0.036393243819475174,0.07035451382398605,0.03383390884846449,0.0676044449210167,10.941346168518066,6.440046310424805,9.650957400982197,6.521123812748836,0.3176427185535431,3.0188567638397217,1.1888809020702655,2.9152811490572414,0.10443057864904404,0.049005359411239624,0.10962880173554787,0.05003153790648167,-0.1832481026649475,-0.04608222842216492,-0.6746081778636346,-0.06662115053488658,-0.008119747042655945,0.01437889039516449,-0.0031511600200946513,0.004722625590287722,0.259328156709671,-3.0184707641601562,0.8129089314203995,-2.9143971479856052,-0.007342809345573187,0.006779839750379324,-0.004781046130049687,0.006980579382238479,-0.10416017472743988,-0.04849781095981598,-0.10950275395925228,-0.04950590546314533,0.001577259972691536,-0.0018765528220683336,0.0019225350742299969,-0.0018751903060966958,3.129833588233361,True,,0.022351741790771484,-0.011433199688326567,-0.04336469567576273,-0.10441701440737461,-0.6021857261657715,0.01671302925387863,0.0038617421202783745,3.7452162913629152,-0.579833984375,0.005279829565552063,-0.03950295355548055,3.640799276955534,0.6024176077644465,0.5798580223092796,3.745218282309109,3.641013575698331,,,False,,0.0,0.0,0.0,0.0,0.0,,,g022_axis_tilt_severe_v2,g022_axis_tilt_severe_v2/repeat0/axial,axial,axis_tilt,severe,15.0,True,,,,,,,,,
1,9.5,18.13303455710411,0.19904503455531444,0.5709652596932884,0.6392151117324829,0.577051192522049,0.653434544801712,True,1.5916666666660397,True,True,verified,11.591666666666011,17.55598336458206,False,13,13,0.09999999999999432,True,11.599999999999344,True,12.099999999999316,0.48333333333330586,False,False,,False,0.4014865458011627,0.004827826749533415,1.133921912083259,0.005735459683749538,0.036393243819475174,0.000726262223906815,0.03383390884846449,0.0008070225863216015,10.941346168518066,0.0,9.650957400982197,0.0,0.3176427185535431,0.0,1.1888809020702655,0.0,0.10443057864904404,0.0,0.10962880173554787,0.0,-0.1832481026649475,0.0,-0.6746081778636346,0.0,-0.008119747042655945,0.0,-0.0031511600200946513,0.0,0.259328156709671,0.0,0.8129089314203995,0.0,-0.007342809345573187,0.0,-0.004781046130049687,0.0,-0.10416017472743988,0.0,-0.10950275395925228,0.0,0.001577259972691536,0.0,0.0019225350742299969,0.0,9.650957400982197,True,True,0.5068778991699219,-0.007844602805562317,0.00487394390705731,-3.5784900296597755,-0.6021857261657715,0.01671302925387863,0.0038617421202783745,3.7452162913629152,-0.09530782699584961,0.008868426448316313,0.008735686027343537,0.16672626170313712,0.6024176077644465,0.09571954280260639,3.745218282309109,0.16695495965041376,11.341666666666667,11.591666666666667,True,1.8416666666666668,1.0,0.6021857261657715,-0.01671302925387863,-0.0038617421202786772,-3.745216291362908,True,,g022_axis_tilt_severe_v2,g022_axis_tilt_severe_v2/repeat0/dewedge,dewedge,axis_tilt,severe,15.0,True,-0.14934688806533813,0.9572386145591736,-0.5323290824890137,0.047738136345287785,0.006670839239583772,2.1228475718333693,0.0,0.003927966382784339,0.0003560086110015758
