case_id,repeat,policy,policy_order,run_id,log,family,severity,ramp_onset_mm,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows,safety_stop,recovery_count,productivity_trigger,first_productivity_trigger_s,productivity_trigger_onsets,actual_productivity_recoveries,eligible_detector_checks,last_eligible_eta_raw,minimum_eligible_eta_raw,terminal_productivity_consecutive,last_check_time_s,terminal_time_s,terminal_grasp_slip_mm,terminal_grasp_slip_deg,terminal_wrist_force_n,terminal_wrist_torque_nm,terminal_normal_load_n,terminal_min_separation_mm,verified_unloadings,ready_unloadings,retry_successes,retries,repeated_stalls,failure_class,terminal_phase,condition_plot,final_offset_x_mm,final_offset_y_mm,final_roll_deg,final_pitch_deg
g023_axis_tilt_severe_v3,0,force,1,g023_axis_tilt_severe_v3/repeat0/force,g023_axis_tilt_severe_v3/repeat0/force/trajectory.csv,axis_tilt,severe,7.0,False,True,1,0.15,10.3583333331826,2.46372127532959,0.19852860271930695,16.401763916015625,2.881779909133911,0.08058892126427963,0.10411906987428665,0.18557483902685806,False,False,False,True,2,8.524999999846841,,15.996647626161577,16.000939160585403,7.25,1.275,grasp_retention_limit,1264,True,2,True,10.499999999847205,1,0,19,0.003674602513972747,0.003674602513972747,2,10.499999999847205,10.524999999846841,0.10411906987428665,0.18557483902685806,1.7703629732131958,0.1451820731163025,15.505949974060059,-0.08006458665477112,0,0,0,1,1,grasp_retention_limit_during_recovery,stop,conditions/g023_axis_tilt_severe_v3.png,0.0,0.0,0.0,-7.0
g023_axis_tilt_severe_v3,0,nominal,2,g023_axis_tilt_severe_v3/repeat0/nominal,g023_axis_tilt_severe_v3/repeat0/nominal/trajectory.csv,axis_tilt,severe,7.0,False,True,1,0.975,8.899999999870488,3.234586000442505,0.1252819001674652,16.29250144958496,3.413625955581665,0.07999904482858256,0.09008791676023975,0.19382658799830615,False,False,True,True,0,19.999999999679858,,15.80491065979004,15.982662886381151,8.0,0.0,time_budget_exhausted,2641,False,0,True,8.899999999870488,1,0,31,-0.011952718098965896,-0.01899774485006745,0,21.999999999679858,21.999999999679858,0.07303719030460343,0.15825873808122176,2.7958984375,0.013508899137377739,15.173882484436035,-0.07442777859978378,0,0,0,0,0,nominal_stall,hold,conditions/g023_axis_tilt_severe_v3.png,0.0,0.0,0.0,-7.0
g023_axis_tilt_severe_v3,0,axial,3,g023_axis_tilt_severe_v3/repeat0/axial,g023_axis_tilt_severe_v3/repeat0/axial/trajectory.csv,axis_tilt,severe,7.0,False,True,1,0.008333333333333333,8.899999999870488,3.8372411727905273,0.24023950099945068,13.800457954406738,4.023971080780029,0.06702131940983236,0.09641045471653342,0.19782343594174043,False,False,True,True,1,12.14999999979409,,15.975104272365572,15.982852876186373,6.8999999999999995,5.25,unloading_budget_exhausted,1699,False,1,True,8.899999999870488,1,1,20,0.06130442343076547,0.06130442343076547,0,14.099999999794818,14.14999999979409,0.08627803617855534,0.19382658799830615,3.3410093784332275,0.11298288404941559,12.333476066589355,-0.06505503552034497,0,0,0,0,0,unloading_not_ready_within_frozen_budget,unload_retract,conditions/g023_axis_tilt_severe_v3.png,0.0,0.0,0.0,-7.0
g024_oblique_tilt_moderate_v0,0,dewedge,0,g024_oblique_tilt_moderate_v0/repeat0/dewedge,g024_oblique_tilt_moderate_v0/repeat0/dewedge/trajectory.csv,oblique_tilt,moderate,7.0,False,False,0,0.0,,1.443778157234192,0.08588915318250656,3.463423252105713,1.622489333152771,0.0172385716723511,0.02177998612751253,0.08846931922527276,False,False,True,True,0,19.999999999679858,,19.462911039590836,19.467303156852722,8.0,0.0,time_budget_exhausted,2641,False,0,False,,0,0,31,1.113736802253875,0.9103323960726484,0,21.999999999679858,21.999999999679858,0.014670031305286102,0.055952909680744456,0.4093713164329529,0.020147178322076797,3.239933967590332,-0.0156350160978036,0,0,0,0,0,no_policy_trigger_before_timeout,hold,conditions/g024_oblique_tilt_moderate_v0.png,0.0,0.0,2.1,2.8000000000000003
g024_oblique_tilt_moderate_v0,0,force,1,g024_oblique_tilt_moderate_v0/repeat0/force,g024_oblique_tilt_moderate_v0/repeat0/force/trajectory.csv,oblique_tilt,moderate,7.0,False,False,0,0.0,,1.3592592477798462,0.09113622456789017,3.69088077545166,1.5336551666259766,0.01714249992801342,0.02177998612751253,0.07912936237050427,False,False,True,True,0,19.999999999679858,,19.48709562420845,19.491156190633774,8.0,0.0,time_budget_exhausted,2641,False,0,False,,0,0,31,1.1566493822188024,0.9106812604022518,0,21.999999999679858,21.999999999679858,0.016852267435751855,0.0,0.43714478611946106,0.018753616139292717,3.3855865001678467,-0.01635598709981423,0,0,0,0,0,no_policy_trigger_before_timeout,hold,conditions/g024_oblique_tilt_moderate_v0.png,0.0,0.0,2.1,2.8000000000000003
g024_oblique_tilt_moderate_v0,0,nominal,2,g024_oblique_tilt_moderate_v0/repeat0/nominal,g024_oblique_tilt_moderate_v0/repeat0/nominal/trajectory.csv,oblique_tilt,moderate,7.0,False,False,0,0.0,,1.3592592477798462,0.09113622456789017,3.69088077545166,1.5336551666259766,0.01714249992801342,0.02177998612751253,0.07912936237050427,False,False,True,True,0,19.999999999679858,,19.48709562420845,19.491156190633774,8.0,0.0,time_budget_exhausted,2641,False,0,False,,0,0,31,1.1566493822188024,0.9106812604022518,0,21.999999999679858,21.999999999679858,0.016852267435751855,0.0,0.43714478611946106,0.018753616139292717,3.3855865001678467,-0.01635598709981423,0,0,0,0,0,nominal_no_success_within_budget,hold,conditions/g024_oblique_tilt_moderate_v0.png,0.0,0.0,2.1,2.8000000000000003
g024_oblique_tilt_moderate_v0,0,axial,3,g024_oblique_tilt_moderate_v0/repeat0/axial,g024_oblique_tilt_moderate_v0/repeat0/axial/trajectory.csv,oblique_tilt,moderate,7.0,False,False,0,0.0,,1.443778157234192,0.08588915318250656,3.463423252105713,1.622489333152771,0.0172385716723511,0.02177998612751253,0.08846931922527276,False,False,True,True,0,19.999999999679858,,19.462911039590836,19.467303156852722,8.0,0.0,time_budget_exhausted,2641,False,0,False,,0,0,31,1.113736802253875,0.9103323960726484,0,21.999999999679858,21.999999999679858,0.014670031305286102,0.055952909680744456,0.4093713164329529,0.020147178322076797,3.239933967590332,-0.0156350160978036,0,0,0,0,0,no_policy_trigger_before_timeout,hold,conditions/g024_oblique_tilt_moderate_v0.png,0.0,0.0,2.1,2.8000000000000003
g027_oblique_tilt_moderate_v3,0,axial,0,g027_oblique_tilt_moderate_v3/repeat0/axial,g027_oblique_tilt_moderate_v3/repeat0/axial/trajectory.csv,oblique_tilt,moderate,7.0,False,False,0,0.0,,2.3126227855682373,0.15976379811763763,3.3881993293762207,2.6917407512664795,0.025844819901976734,0.02177998612751253,0.08846931922527276,False,False,True,True,0,20.000000000280124,,19.48641762137413,19.487058371305466,8.0,0.0,time_budget_exhausted,2641,False,0,False,,0,0,31,1.1443649513141299,0.9182737626853757,0,22.000000000280124,22.000000000280124,0.014745269254490267,0.06852804166478502,0.4854986369609833,0.02202516794204712,3.3276546001434326,-0.015241759683704004,0,0,0,0,0,no_policy_trigger_before_timeout,hold,conditions/g027_oblique_tilt_moderate_v3.png,0.0,0.0,-2.1,2.8000000000000003
g027_oblique_tilt_moderate_v3,0,nominal,3,g027_oblique_tilt_moderate_v3/repeat0/nominal,g027_oblique_tilt_moderate_v3/repeat0/nominal/trajectory.csv,oblique_tilt,moderate,7.0,False,False,0,0.0,,2.3126227855682373,0.15976379811763763,3.3881993293762207,2.6917407512664795,0.025844819901976734,0.02177998612751253,0.08846931922527276,False,False,True,True,0,20.000000000280124,,19.48641762137413,19.487058371305466,8.0,0.0,time_budget_exhausted,2641,False,0,False,,0,0,31,1.1443649513141299,0.9182737626853757,0,22.000000000280124,22.000000000280124,0.014745269254490267,0.06852804166478502,0.4854986369609833,0.02202516794204712,3.3276546001434326,-0.015241759683704004,0,0,0,0,0,nominal_no_success_within_budget,hold,conditions/g027_oblique_tilt_moderate_v3.png,0.0,0.0,-2.1,2.8000000000000003
g028_oblique_tilt_severe_v0,0,dewedge,0,g028_oblique_tilt_severe_v0/repeat0/dewedge,g028_oblique_tilt_severe_v0/repeat0/dewedge/trajectory.csv,oblique_tilt,severe,12.0,False,False,0,0.0,,2.2058804035186768,0.10917171090841293,17.750537872314453,2.355059862136841,0.0877332131494768,0.1003364086500369,0.18130817193078183,False,False,False,True,0,7.291666666531455,,17.292098701000214,17.293503135442734,7.291666666666667,0.0,grasp_retention_limit,1116,True,0,False,,0,0,14,0.2908349892696098,0.2908349892696098,1,9.199999999866122,9.291666666531455,0.1003364086500369,0.17693865179075874,0.7038941979408264,0.0938887894153595,17.750537872314453,-0.0871433294378221,0,0,0,0,0,grasp_retention_limit_during_insertion,insert,conditions/g028_oblique_tilt_severe_v0.png,0.0,0.0,4.2,5.6000000000000005
