policy,started,completed_retractions,incomplete_retractions,median_actual_retraction_mm,min_actual_retraction_mm,max_actual_retraction_mm,first_triggers,first_triggers_before_own_stall,first_triggers_before_nominal_stall,strict_matched_first_triggers,hidden_load_first_triggers
force,12,12,0,0.00529363751411438,0.00033155083656311035,0.909019261598587,6,4,4,1,2
productivity,12,10,2,0.007286667823791504,0.0013187527656555176,0.04863366484642029,6,4,4,2,6
