case_id,repeat,policy,success_delta,stall_delta,final_depth_delta_mm,elapsed_delta_s,prefix_end_s,prefix_endpoint_matched,prefix_depth_rmse_mm,prefix_wrist_force_rmse_n,prefix_position_error_mm,prefix_orientation_error_deg
x_positive_combined,0,force,0,0,-0.7287487387657166,0.0,8.899999999991905,False,0.0021604545648012076,0.04891208498974971,0.00402110859926908,0.0031804689879478694
x_positive_combined,0,productivity,0,0,-0.005904585123062134,-10.691666666656943,8.899999999991905,False,0.0021604545648012076,0.04891208498974971,0.00402110859926908,0.0031804689879478694
x_positive_combined,1,force,0,0,-0.7254257798194885,0.0,8.899999999991905,True,0.0,0.0,0.0,0.0
x_positive_combined,1,productivity,0,0,0.0005811452865600586,-10.683333333323617,8.899999999991905,False,0.0021604545648012076,0.04891208498974971,0.00402110859926908,0.0031804689879478694
y_negative_tilt,0,force,0,0,-0.011086463928222656,-1.3841372492606752e-11,9.000000000002245,False,0.00240129358570783,0.1167419933891475,0.0061932493525151,0.034074245398234095
y_negative_tilt,0,productivity,0,0,-0.04538148641586304,-1.3749001936957939e-11,9.000000000002245,False,0.00240129358570783,0.1167419933891475,0.0061932493525151,0.034074245398234095
y_negative_tilt,1,force,0,0,0.0353008508682251,5.684341886080802e-14,8.999999999991815,False,0.00240129358570783,0.1167419933891475,0.0061932493525151,0.034074245398234095
y_negative_tilt,1,productivity,0,0,-0.011377036571502686,0.0,8.999999999991815,True,0.0,0.0,0.0,0.0
y_positive_combined,0,force,0,0,-0.014659017324447632,-6.73594513500575e-12,8.799999999998732,False,0.004125437330290439,0.18680370890318657,0.014678703221009032,0.00673324395277388
y_positive_combined,0,productivity,0,0,-0.004027038812637329,-6.73594513500575e-12,8.799999999998732,True,0.0,0.0,0.0,0.0
y_positive_combined,1,force,0,0,0.016897916793823242,0.0,8.799999999991996,False,0.004125437330290439,0.18680370890318657,0.014678703221009032,0.00673324395277388
y_positive_combined,1,productivity,0,0,0.01179426908493042,0.0,8.799999999991996,False,0.004125437330290439,0.18680370890318657,0.014678703221009032,0.00673324395277388
x_positive_drift_control,0,force,0,0,0.0,0.0,9.850000000007839,True,0.0,0.0,0.0,0.0
x_positive_drift_control,0,productivity,0,0,0.026695430278778076,-0.008333333333339965,9.850000000007839,False,0.028820853352843612,0.13951653852070672,0.029824889047238887,0.008334250941690144
x_positive_drift_control,1,force,0,0,-0.026695430278778076,0.008333333333325754,9.849999999991041,False,0.028820853352843612,0.13951653852070672,0.029824889047238887,0.008334250941690144
x_positive_drift_control,1,productivity,0,0,-0.026695430278778076,0.008333333333325754,9.849999999991041,False,0.028820853352843612,0.13951653852070672,0.029824889047238887,0.008334250941690144
