case_id,repeat,policy,intervention,trigger_time_s,trigger_depth_mm,trigger_command_depth_mm,eta_raw,wrist_force_n,wrist_torque_nm,normal_load_n,previous_stall,retract_start_actual_depth_mm,retract_end_time_s,retract_end_actual_depth_mm,actual_retraction_mm,actual_retract_phase_mm,retry_started_s,nominal_stall_confirmation_s,lead_to_nominal_stall_s,prefix_endpoint_matched
x_positive_combined,0,force,1,8.9,16.93720892071724,18.454414062500355,0.7917117634773282,1.1896408796310425,0.11660546809434891,0.9524394273757935,False,16.956152021884918,9.649999999991223,16.028189659118652,0.909019261598587,0.9279623627662659,10.15,9.474999999991383,0.5749999999913822,False
x_positive_combined,0,force,2,10.8,16.453755646944046,19.395129175828565,0.0049634427746775775,1.5267558097839355,0.04337477311491966,6.683163166046143,True,16.45282432436943,11.549999999989495,16.44846200942993,0.00529363751411438,0.004362314939498901,12.05,9.474999999991383,-1.3250000000086182,False
x_positive_combined,0,productivity,1,9.4,17.178142070770264,19.519062500000246,0.22630301380877108,2.231318235397339,0.07639401406049728,10.286270141601562,False,17.17953160405159,10.149999999990769,17.176823318004608,0.0013187527656555176,0.0027082860469818115,10.65,9.474999999991383,0.07499999999138218,False
x_positive_combined,0,productivity,2,11.3,17.18006059527397,19.817496665449703,0.0015355593170319419,2.0244863033294678,0.04800529032945633,12.410858154296875,True,,,,,,,9.474999999991383,-1.8250000000086182,False
x_positive_combined,1,force,1,8.9,16.93720892071724,18.454414062500355,0.7917117634773282,1.1896408796310425,0.11660546809434891,0.9524394273757935,False,16.956152021884918,9.649999999991223,16.028189659118652,0.909019261598587,0.9279623627662659,10.15,9.474999999991383,0.5749999999913822,True
x_positive_combined,1,force,2,10.8,16.453755646944046,19.395129175828565,0.0049634427746775775,1.5267558097839355,0.04337477311491966,6.683163166046143,True,16.45282432436943,11.549999999989495,16.44846200942993,0.00529363751411438,0.004362314939498901,12.05,9.474999999991383,-1.3250000000086182,True
x_positive_combined,1,productivity,1,9.4,17.18979850411415,19.519062500000246,0.23352861448159848,2.42136549949646,0.09704920649528503,10.488860130310059,False,17.17968061566353,10.149999999990769,17.178067564964294,0.011730939149856567,0.0016130506992340088,10.65,9.474999999991383,0.07499999999138218,False
x_positive_combined,1,productivity,2,11.3,17.180582135915756,19.81785010572783,-0.0006464065423635179,1.3444480895996094,0.03521251678466797,12.862504005432129,True,,,,,,,9.474999999991383,-1.8250000000086182,False
y_negative_tilt,0,force,1,9.0,17.29184165596962,18.710937500000338,0.5876597791615297,1.3529905080795288,0.018224457278847694,8.79716968536377,False,17.28592962026596,9.749999999999446,17.280393838882446,0.011447817087173462,0.005535781383514404,10.25,9.291666666669144,0.2916666666691441,False
y_negative_tilt,0,force,2,10.9,17.237873375415802,19.84598652900325,-0.03625551029994363,2.5992438793182373,0.06984501332044601,15.881458282470703,True,17.2180138528347,11.649999999999338,17.1792633831501,0.058609992265701294,0.03875046968460083,12.15,9.291666666669144,-1.6083333333308563,False
y_negative_tilt,0,productivity,1,9.3,17.278773337602615,19.351132812500275,0.03839138244944087,2.029621124267578,0.041821371763944626,13.962629318237305,True,17.2480545938015,10.049999999999523,17.230139672756195,0.04863366484642029,0.017914921045303345,10.55,9.291666666669144,-0.008333333330856618,False
y_negative_tilt,0,productivity,2,11.2,17.15250089764595,19.832400089177273,-0.06619867967689973,1.648810625076294,0.040845759212970734,15.517541885375977,True,17.144141346216202,11.949999999999415,17.12833121418953,0.0241696834564209,0.015810132026672363,12.45,9.291666666669144,-1.9083333333308552,False
y_negative_tilt,1,force,1,9.0,17.294061928987503,18.710937500000338,0.5886518522457912,1.6051771640777588,0.10826052725315094,8.271147727966309,False,17.295827716588974,9.749999999991132,17.29373037815094,0.00033155083656311035,0.0020973384380340576,10.25,9.28333333332489,0.2833333333248902,False
y_negative_tilt,1,force,2,10.9,17.22128838300705,19.84951546016124,-0.09067409758900767,2.4451544284820557,0.027191465720534325,16.312288284301758,True,17.19426140189171,11.649999999989461,17.17262864112854,0.04865974187850952,0.021632760763168335,12.15,9.28333333332489,-1.6166666666751102,False
y_negative_tilt,1,productivity,1,9.3,17.278773337602615,19.351132812500275,0.03839138244944087,2.029621124267578,0.041821371763944626,13.962629318237305,True,17.2480545938015,10.04999999999086,17.230139672756195,0.04863366484642029,0.017914921045303345,10.55,9.28333333332489,-0.01666666667511052,True
y_negative_tilt,1,productivity,2,11.2,17.15250089764595,19.832400089177273,-0.06619867967689973,1.648810625076294,0.040845759212970734,15.517541885375977,True,17.144141346216202,11.949999999989132,17.12833121418953,0.0241696834564209,0.015810132026672363,12.45,9.28333333332489,-1.916666666675109,True
y_positive_combined,0,force,1,9.0,16.347357630729675,18.710937500000338,0.006201715752630159,1.448635458946228,0.0969238132238388,13.739738464355469,True,16.347067058086395,9.749999999991132,16.345759481191635,0.0015981495380401611,0.0013075768947601318,10.25,8.849999999998687,-0.15000000000131308,False
y_positive_combined,0,force,2,10.9,16.349712014198303,19.52891137678587,-0.00035927805223877026,3.135434150695801,0.13019104301929474,15.257299423217773,True,16.350311785936356,11.649999999989404,16.346295922994614,0.003416091203689575,0.004015862941741943,12.15,8.849999999998687,-2.0500000000013134,False
