policy,runs,successes,stalled_runs,safety_stops,interventions,mean_final_depth_mm,mean_elapsed_insertion_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n
nominal,8,2,6,0,0,17.554394993931055,16.96354166665644,3.8601417541503906,0.16994065046310425,16.698932647705078
force,8,2,6,0,12,17.37259291112423,16.96458333332054,3.92124342918396,0.24335092306137085,16.652925491333008
productivity,8,2,6,2,12,17.54760565236211,14.291666666656305,3.6798341274261475,0.18105126917362213,16.67090606689453
