case_id,trajectory_id,folder,target_depth_mm,tilt_amplitude_deg,pair_static_friction,pair_dynamic_friction,reference_complete,reference_numerically_valid,reference_grasp_retained,reference_termination_reason,policy,reason,replay_matched,safe_recovery,profile_available,stop_executed,stop_step_count,stop_observed_duration_s,full_stop_observed,retreat_executed,recovery_start_normal_load_n,recovery_start_wrist_force_n,recovery_start_depth_mm,recovery_start_tilt_deg,recovery_start_tip_x_mm,recovery_start_tip_y_mm,recovery_start_grasp_slip_mm,recovery_start_upper_rim_band_normal_load_n,recovery_start_inner_straight_wall_normal_load_n,recovery_start_wall_rim_centroid_axial_span_mm,recovery_start_wall_rim_both_sides_loaded,stop_end_normal_load_n,stop_end_wrist_force_n,stop_end_depth_mm,stop_end_tilt_deg,stop_end_tip_x_mm,stop_end_tip_y_mm,stop_end_grasp_slip_mm,stop_end_upper_rim_band_normal_load_n,stop_end_inner_straight_wall_normal_load_n,stop_end_wall_rim_centroid_axial_span_mm,stop_end_wall_rim_both_sides_loaded,retreat_first_normal_load_n,retreat_first_wrist_force_n,retreat_first_depth_mm,retreat_first_tilt_deg,retreat_first_tip_x_mm,retreat_first_tip_y_mm,retreat_first_grasp_slip_mm,retreat_first_upper_rim_band_normal_load_n,retreat_first_inner_straight_wall_normal_load_n,retreat_first_wall_rim_centroid_axial_span_mm,retreat_first_wall_rim_both_sides_loaded,retreat_first_loaded_at_0p01n_normal_load_n,retreat_first_loaded_at_0p01n_wrist_force_n,retreat_first_loaded_at_0p01n_depth_mm,retreat_first_loaded_at_0p01n_tilt_deg,retreat_first_loaded_at_0p01n_tip_x_mm,retreat_first_loaded_at_0p01n_tip_y_mm,retreat_first_loaded_at_0p01n_grasp_slip_mm,retreat_first_loaded_at_0p01n_upper_rim_band_normal_load_n,retreat_first_loaded_at_0p01n_inner_straight_wall_normal_load_n,retreat_first_loaded_at_0p01n_wall_rim_centroid_axial_span_mm,retreat_first_loaded_at_0p01n_wall_rim_both_sides_loaded,before_stop_last100ms_mean_normal_load_n,before_stop_last100ms_mean_wrist_force_n,before_stop_last100ms_loaded_sample_fraction_at_0p01n,stop_last100ms_mean_normal_load_n,stop_last100ms_mean_wrist_force_n,stop_last100ms_loaded_sample_fraction_at_0p01n,retreat_first100ms_mean_normal_load_n,retreat_first100ms_mean_wrist_force_n,retreat_first100ms_loaded_sample_fraction_at_0p01n,stop_endpoint_change_delta_normal_load_n,stop_endpoint_change_delta_wrist_force_n,stop_endpoint_change_fractional_change_normal_load_n,stop_endpoint_change_fractional_change_wrist_force_n,stop_endpoint_change_delta_depth_mm,stop_endpoint_change_delta_tilt_deg,stop_endpoint_change_tip_lateral_motion_mm,stop_tail_mean_change_delta_normal_load_n,stop_tail_mean_change_delta_wrist_force_n,stop_tail_mean_change_fractional_change_normal_load_n,stop_tail_mean_change_fractional_change_wrist_force_n,stop_tail_mean_change_delta_depth_mm,stop_tail_mean_change_delta_tilt_deg,stop_tail_mean_change_tip_lateral_motion_mm
m_d06_fs100_fd100_a02,m_d06_fs100_fd100_a02_try00,m_d06_fs100_fd100_a02_try00,6.0,2.0,1.0,1.0,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.0,0.0012882583541795611,6.039620935916902,1.9863292522514213,0.015676021575927734,-0.0013870230759494007,0.003101843049080344,0,0,,false,0.0,0.000250038254307583,6.040433049201967,1.9864277781403004,0.01519918441772461,-0.0015329979987654951,0.0026992092898581177,0,0,,false,0.0,0.00024135856074281037,6.040447950363161,1.9863292522514213,0.0152587890625,-0.0015307373359974008,0.0027255841814621817,0,0,,false,0.18438859283924103,0.19516950845718384,6.010511517524721,1.9857379943000362,0.025093555450439453,0.019190661987522617,0.004863332833338063,0.1843885870646318,0,,false,0.0,0.002274312762892805,0.0,0.0,0.0015583417904660262,0.0,0.0,0.0015906877621697884,0.0,0.0,-0.0010382200998719782,,,0.0008121132850646973,9.85258888790419e-05,0.0004986806127516858,0.0,-0.0007159709724267789,,,0.0003467624386157553,-0.00013958404274716507,0.0005024239404471209
m_d06_fs100_fd100_a02,m_d06_fs100_fd100_a02_try00,m_d06_fs100_fd100_a02_try00,6.0,2.0,1.0,1.0,true,true,true,completed,realign,replay_mismatch,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d06_fs100_fd050_a02,m_d06_fs100_fd050_a02_try00,m_d06_fs100_fd050_a02_try00,6.0,2.0,1.0,0.5,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.0,0.0011253225384280086,6.012374162673952,1.9858365495120127,0.006377697445714148,0.013670116459252313,0.002050795046670828,0,0,,false,0.0,0.0002985034079756588,6.013312935829164,1.9862307214771775,0.00470876739200321,0.01646451528358739,0.002563830321378191,0,0,,false,0.0,0.0002684776554815471,6.0132980346679705,1.9862307214771775,0.00470876739200321,0.01653709296078887,0.002626844434416853,0,0,,false,0.2549571692943573,0.2109818160533905,5.956196784973146,1.9834698733834288,0.025451183319091797,0.03392582220840268,0.0033995756894000806,0.25495717859121214,0,,false,0.0,0.0014817544166968826,0.0,0.0,0.0014853261806517064,0.0,0.0,0.0025045058840381293,0.0,0.0,-0.0008268191304523498,,,0.0009387731552124023,0.00039417196516478015,0.003254841365354823,0.0,3.5717639548238367e-06,,,0.004759058356285095,0.0013675857365098576,0.009013831605649975
m_d06_fs100_fd050_a02,m_d06_fs100_fd050_a02_try00,m_d06_fs100_fd050_a02_try00,6.0,2.0,1.0,0.5,true,true,true,completed,realign,replay_mismatch,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d12_fs050_fd050_a02,m_d12_fs050_fd050_a02_try00,m_d12_fs050_fd050_a02_try00,12.0,2.0,0.5,0.5,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.23081210255622864,0.19440512359142303,12.071849405765535,1.9818905198329064,-0.18531084060668945,5.050185691857223e-05,0.008425274245382752,0.23081210208101766,0,,false,0.0,0.00041833831346593797,12.073525786399843,1.9817917684619797,-0.19216537475585938,-0.000630690749403584,0.003004667405548389,0,0,,false,0.0,0.0005513789947144687,12.073540687561037,1.981693012172055,-0.19210577011108398,-0.0006108289767325914,0.0030568080546800047,0,0,,false,0.010443001985549927,0.08397307991981506,12.054221332073213,1.9811991569117173,-0.1850724220275879,0.02121798570442479,0.003894310339092044,0.010442578597576357,0,,false,0.07419207940498988,0.08702632101873557,0.125,0.0,0.0011361250581103377,0.0,0.0,0.0011672746562301957,0.0,-0.23081210255622864,-0.1939867852779571,-1.0,-0.9978481106581062,0.0016763806343078613,-9.87513709267418e-05,0.006888298902417388,-0.07419207940498988,-0.08589019596062523,-1.0,-0.9869450409392149,-0.0019508103529606302,0.003023223131284558,0.0008471308239797007
m_d12_fs050_fd050_a02,m_d12_fs050_fd050_a02_try00,m_d12_fs050_fd050_a02_try00,12.0,2.0,0.5,0.5,true,true,true,completed,realign,cleared,true,true,true,true,60,0.25,true,true,0.23081210255622864,0.19440512359142303,12.071849405765535,1.9818905198329064,-0.18531084060668945,5.050185691857223e-05,0.008425274245382752,0.23081210208101766,0,,false,0.0,0.00041833831346593797,12.073525786399843,1.9817917684619797,-0.19216537475585938,-0.000630690749403584,0.003004667405548389,0,0,,false,0.0,0.0056259166449308395,11.990883946418764,0.2712420465110601,-0.12296438217163086,-0.06980285252211615,0.015245130271068774,0,0,,false,0.05840038135647774,0.019401492550969124,11.977264285087587,0.09065408419654447,-0.19997358322143555,-0.0018370985799265327,0.013709788618143648,0,0.058400382884428836,,false,0.07419207940498988,0.08702632101873557,0.125,0.0,0.0011361250581103377,0.0,0.0,0.007683918539745112,0.0,-0.23081210255622864,-0.1939867852779571,-1.0,-0.9978481106581062,0.0016763806343078613,-9.87513709267418e-05,0.006888298902417388,-0.07419207940498988,-0.08589019596062523,-1.0,-0.9869450409392149,-0.0019508103529606302,0.003023223131284558,0.0008471308239797007
m_d12_fs100_fd100_a02,m_d12_fs100_fd100_a02_try00,m_d12_fs100_fd100_a02_try00,12.0,2.0,1.0,1.0,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.06138601526618004,0.09391576796770096,12.147837877273561,1.9776397599291997,-0.18739700317382812,0.0292703443847131,0.003021307293238351,0.06138473903411068,0,,false,0.0,0.0005325222737155855,12.149640917778017,1.9765508884168301,-0.18894672393798828,0.03676981577882543,0.0024292774014611496,0,0,,false,0.0,0.00066478515509516,12.149648368358614,1.9764518703630343,-0.18900632858276367,0.0367774955520872,0.002408083446425735,0,0,,false,0.22277460992336273,0.17725501954555511,12.143866717815401,1.9776397599291997,-0.18858909606933594,0.04765289122588001,0.0021051434941909974,0.22277461713247249,0,,false,0.13382419396657497,0.18238031825361153,0.4583333333333333,0.0,0.0018502706661820412,0.0,0.0,0.0008500949776741132,0.0,-0.06138601526618004,-0.09338324569398537,-1.0,-0.9943297884344754,0.0018030405044555664,-0.0010888715123695825,0.007657917839594411,-0.13382419396657497,-0.1805300475874295,-1.0,-0.9898548775224247,-0.00237052639325519,0.0007067674309881866,0.0136052913350813
m_d12_fs100_fd100_a02,m_d12_fs100_fd100_a02_try00,m_d12_fs100_fd100_a02_try00,12.0,2.0,1.0,1.0,true,true,true,completed,realign,replay_mismatch,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d12_fs100_fd050_a02,m_d12_fs100_fd050_a02_try00,m_d12_fs100_fd050_a02_try00,12.0,2.0,1.0,0.5,true,true,true,completed,straight,cleared,,true,true,true,60,0.25,true,true,0.1517646312713623,0.16726373136043549,12.12638020515442,1.9695082407556967,-0.18489360809326172,0.01249569595529465,0.001164672312370385,0.15176463653733663,0,,false,0.051353175193071365,0.055689048022031784,12.126491963863375,1.9697069697300087,-0.18513202667236328,0.011820633517345414,0.0020815782590943854,0.05135227294977085,0,,false,0.0,0.0052853734232485294,12.126395106315615,1.9696076077482785,-0.1850724220275879,0.011887040272995364,0.002002537030421081,0,0,,false,0.021279044449329376,0.020964084193110466,12.126410007476808,1.9694088687515046,-0.18483400344848633,0.012542222975753248,0.0023542838789580856,0.02127871762968425,0,,false,0.16132035059854388,0.19811442696178952,0.5833333333333334,0.00457792902792183,0.01920750369754387,0.16666666666666666,0.007374619633386222,0.010212180253195887,0.20833333333333334,-0.10041145607829094,-0.1115746833384037,-0.6616261986546162,-0.6670584377791511,0.00011175870895385742,0.0001987289743119458,0.0007159278692653155,-0.15674242157062204,-0.17890692326424565,-0.9716221232415102,-0.9030484352295634,-0.003732740879058838,-0.0003725671746539483,0.002996298077818793
m_d12_fs100_fd050_a02,m_d12_fs100_fd050_a02_try00,m_d12_fs100_fd050_a02_try00,12.0,2.0,1.0,0.5,true,true,true,completed,realign,replay_mismatch,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d18_fs050_fd050_a02,m_d18_fs050_fd050_a02_try00,m_d18_fs050_fd050_a02_try00,18.0,2.0,0.5,0.5,false,true,false,grasp_lost,straight,grasp_retention_limit,,false,true,false,0,0.0,false,false,14.901399612426758,2.7291157245635986,18.25236678123474,1.50480206692691,-0.23603439331054688,0.002452325816193479,0.1042257426888682,8.013004202395678,6.88839581143111,16.644444316625595,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.503390351931253,2.688270438462496,1.0,,,,,,,,,,,,,,,,,,,,
m_d18_fs050_fd050_a02,m_d18_fs050_fd050_a02_try00,m_d18_fs050_fd050_a02_try00,18.0,2.0,0.5,0.5,false,true,false,grasp_lost,realign,reference_not_eligible,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_d18_fs075_fd075_a02,m_d18_fs075_fd075_a02_try00,m_d18_fs075_fd075_a02_try00,18.0,2.0,0.75,0.75,false,true,false,grasp_lost,straight,grasp_retention_limit,,false,true,false,0,0.0,false,false,8.09280014038086,3.6047585010528564,18.237793445587158,1.4938382989867482,-0.22864341735839844,0.00141735711167712,0.10270420898450539,3.523811866854885,4.568987741600722,16.632314771413803,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.466781616210938,2.623871959745884,1.0,,,,,,,,,,,,,,,,,,,,
m_d18_fs075_fd075_a02,m_d18_fs075_fd075_a02_try00,m_d18_fs075_fd075_a02_try00,18.0,2.0,0.75,0.75,false,true,false,grasp_lost,realign,reference_not_eligible,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
