time_s,phase,command_depth_mm,command_roll_deg,command_pitch_deg,depth_mm,tip_x_mm,tip_y_mm,tilt_deg,effort_saturated,force_norm_n,torque_norm_nm,normal_load_n,contact_count,min_separation_mm,contact_power_w,lowest_peg_z_m,qw,qx,qy,qz,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad,fx,fy,fz,taux,tauy,tauz,normal_fx,normal_fy,normal_fz,friction_fx,friction_fy,friction_fz,vx,vy,vz,omegax,omegay,omegaz,joint_velocity1_rad_s,joint_velocity2_rad_s,joint_velocity3_rad_s,joint_velocity4_rad_s,joint_velocity5_rad_s,joint_velocity6_rad_s,joint_velocity7_rad_s,simulation_time_s
0.0020833333333333333,baseline,-25.00000000000002,0.0,0.0,-25.003323554992683,0.006794929504394531,0.6605620728805661,0.0,False,0.0,0.0,0.0,0,0.0,0.0,0.8900032949447632,1.5496227945277496e-07,1.0,-8.274596439150628e-06,-6.02216800871247e-07,0.0007762720342725515,0.12983110547065735,0.00053710414795205,-2.395427942276001,-0.00012239640636835247,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011812871525762603,1.2864074960816652e-07,-7.016128074610606e-05,8.167537089320831e-06,6.941826086404035e-06,0.0001677083200775087,3.2236173865385354e-05,-0.00012709959992207587,-3.26598237734288e-05,-0.00042143234168179333,2.1527541321120225e-05,0.0002874052443075925,-0.00018539394659455866,0.0020833334419876337
0.004166666666666667,baseline,-25.00000000000002,0.0,0.0,-25.00338315963746,0.006854534149169922,0.6603311630897224,0.05595291190411357,False,0.0,0.0,0.0,0,0.0,0.0,0.8899994626049883,2.3045701880164415e-07,0.9999998807907104,-8.46732291392982e-06,-5.612769200524781e-07,0.0007763390894979239,0.12983110547065735,0.0005370370927266777,-2.395427942276001,-0.00012235506437718868,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001182681808131747,-1.0484654922038317e-07,-6.99753436492756e-05,6.230966846487718e-06,7.318053576454986e-06,0.00017049651069100946,3.2429823477286845e-05,-0.00012772760237567127,-3.2975654903566465e-05,-0.00042156869312748313,1.8249658751301467e-05,0.0002865346323233098,-0.00018562689365353435,0.004166666883975267
0.00625,baseline,-25.00000000000002,0.0,0.0,-25.00350236892701,0.006794929504394531,0.660460616927594,0.03956468264845247,False,0.0,0.0,0.0,0,0.0,0.0,0.8900007187755555,2.443692324050062e-07,0.9999999403953552,-8.30390490591526e-06,-5.739199195886613e-07,0.0007764061447232962,0.12983110547065735,0.0005369700375013053,-2.395427942276001,-0.00012231348955538124,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011833257303806022,2.1610435396723915e-07,-6.981357000768185e-05,7.551321687060408e-06,6.840746664238395e-06,0.00016339457943104208,3.172314973198809e-05,-0.0001283906603930518,-3.187428956152871e-05,-0.00042210001265630126,2.0286506696720608e-05,0.0002868818992283195,-0.0001798017619876191,0.006250000325962901
0.008333333333333333,baseline,-25.00000000000002,0.0,0.0,-25.00350236892701,0.006794929504394531,0.660460616927594,0.03956468264845247,False,0.0,0.0,0.0,0,0.0,0.0,0.8900007187755555,2.443692324050062e-07,0.9999999403953552,-8.30390490591526e-06,-5.739199195886613e-07,0.0007764726178720593,0.12983110547065735,0.000536904379259795,-2.395427942276001,-0.00012226746184751391,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011861037637572736,5.207639333093539e-07,-6.97622963343747e-05,9.47958051256137e-06,7.5365774137026165e-06,0.000157627509906888,3.12471529468894e-05,-0.0001289527426706627,-3.113718412350863e-05,-0.00042251276317983866,2.345948087167926e-05,0.0002860391396097839,-0.0001763689797371626,0.008333333767950535
0.010416666666666666,baseline,-25.00000000000002,0.0,0.0,-25.00350236892701,0.006794929504394531,0.660460616927594,0.03956468264845247,False,0.0,0.0,0.0,0,0.0,0.0,0.8900007187755555,2.443692324050062e-07,0.9999999403953552,-8.30390490591526e-06,-5.739199195886613e-07,0.0007765359478071332,0.12983110547065735,0.0005368410493247211,-2.395427942276001,-0.00012221526412758976,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011886538413818926,8.100521426968044e-07,-6.970471440581605e-05,1.1266385627095588e-05,8.125073691189755e-06,0.0001550508022774011,3.0815910577075556e-05,-0.00012950792734045535,-3.045019184355624e-05,-0.00042292612488381565,2.6398683985462412e-05,0.00028531134012155235,-0.00017594062956050038,0.010416667209938169
0.0125,baseline,-25.00000000000002,0.0,0.0,-25.00350236892701,0.006794929504394531,0.660460616927594,0.03956468264845247,False,0.0,0.0,0.0,0,0.0,0.0,0.8900007187755555,2.443692324050062e-07,0.9999999403953552,-8.30390490591526e-06,-5.739199195886613e-07,0.000776599277742207,0.12983110547065735,0.0005367777193896472,-2.395427942276001,-0.00012215753667987883,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011909205204574391,1.0786026223286171e-06,-6.963912164792418e-05,1.2896579391963314e-05,8.582101145293564e-06,0.00015396559319924563,3.041136915271636e-05,-0.00013005411892663687,-2.9803364668623544e-05,-0.00042333902092650533,2.9075632482999936e-05,0.00028472323901951313,-0.0001768030197126791,0.012500000651925802
0.014583333333333334,baseline,-25.00000000000002,0.0,0.0,-25.00350236892701,0.006794929504394531,0.660460616927594,0.03956468264845247,False,0.0,0.0,0.0,0,0.0,0.0,0.8900007187755555,2.443692324050062e-07,0.9999999403953552,-8.30390490591526e-06,-5.739199195886613e-07,0.0007766626076772809,0.12983110547065735,0.0005367172998376191,-2.395427942276001,-0.00012209477426949888,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011929116590181366,1.3222933148426819e-06,-6.95656199241057e-05,1.435111425962532e-05,8.915808393794578e-06,0.00015351489128079265,3.003032907145098e-05,-0.00013059032789897174,-2.9198372430983e-05,-0.00042374792974442244,3.14577337121591e-05,0.0002842641551978886,-0.00017807717085815966,0.014583334093913436
0.016666666666666666,baseline,-25.00000000000002,0.0,0.0,-25.00362157821656,0.0069141387939453125,0.6603206275030971,0.03956468264845247,False,0.0,0.0,0.0,0,0.0,0.0,0.8900008379848451,1.867424685997321e-07,0.9999999403953552,-8.660296771267895e-06,-5.471284794111853e-07,0.0007767259376123548,0.12983110547065735,0.0005366576951928437,-2.395427942276001,-0.00012202731159050018,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011944530706387013,1.5573568816762418e-06,-6.948272493900731e-05,1.5759531379444525e-05,9.004742423712742e-06,0.00015335710486397147,2.966676402138546e-05,-0.0001311165833612904,-2.86197191599058e-05,-0.00042418439988978207,3.376532913534902e-05,0.00028408740763552487,-0.00017959218530450016,0.01666666753590107
0.01875,baseline,-25.00000000000002,0.0,0.0,-25.003323554992683,0.0069141387939453125,0.6605894304811954,0.0,False,0.0,0.0,0.0,0,0.0,0.0,0.8900032949447632,1.2614889044471056e-07,1.0,-8.378410711884499e-06,-5.12809833708161e-07,0.0007767855422571301,0.12983110547065735,0.0005365980905480683,-2.395427942276001,-0.00012195682938909158,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011962655116803944,1.78462596522877e-06,-6.944988126633689e-05,1.6283041986753233e-05,9.114201930060517e-06,0.0001560817618155852,2.9193450245657004e-05,-0.00013159035006538033,-2.7795058485935442e-05,-0.00042471251799724996,3.448699862929061e-05,0.00028403321630321443,-0.00018256127077620476,0.018750000977888703
0.020833333333333332,baseline,-25.00000000000002,0.0,0.0,-25.003323554992683,0.0069141387939453125,0.6605894304811954,0.0,False,0.0,0.0,0.0,0,0.0,0.0,0.8900032949447632,1.2614889044471056e-07,1.0,-8.378410711884499e-06,-5.12809833708161e-07,0.0007768456125631928,0.12983110547065735,0.0005365384859032929,-2.395427942276001,-0.0001218876350321807,2.525257110595703,0.7868232131004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011965434532612562,1.6840980379129178e-06,-6.926826608832926e-05,1.5706351405242458e-05,8.672972398926504e-06,0.0001579007221153006,2.9412101866910234e-05,-0.00013219867832958698,-2.810874502756633e-05,-0.00042508431943133473,3.355923035996966e-05,0.0002842373214662075,-0.00018371516489423811,0.020833334419876337
