evaluation,horizon_s,comparison,groups,mae_improvement,ci_low,ci_high
development_oof,0.25,force_only,104,0.028257289249064215,0.022175371616899826,0.03477741104976212
development_oof,0.25,current_progress,104,-0.000869185195650984,-0.008599618599750959,0.005177921978393128
development_oof,0.25,persistence,104,0.03360365034832486,0.01611381544794801,0.04814521537505885
development_oof,0.25,wrench_history,104,0.029418270568680318,0.024431834084009327,0.03569258095153725
development_oof,0.5,force_only,104,0.012955042400355592,0.00751634331902897,0.018260566825713944
development_oof,0.5,current_progress,104,-0.007614014021056936,-0.016258943047545393,-0.001467548422432595
development_oof,0.5,persistence,104,0.02855727294810297,0.012903547192908937,0.046319333828098115
development_oof,0.5,wrench_history,104,0.017333592624654223,0.013699208713365111,0.021481722682066638
development_oof,1.0,force_only,104,0.005901441124949604,0.0023939618339863106,0.009155260725842081
development_oof,1.0,current_progress,104,-0.007729293594909269,-0.012367338100079119,-0.004153847154350372
development_oof,1.0,persistence,104,0.03300023509930169,0.01730788372788621,0.04842913294565949
development_oof,1.0,wrench_history,104,0.00809874066186261,0.005393278083968891,0.01035509372793244
stage4,0.25,force_only,13,0.02288041261148062,-0.02436535919746065,0.05976746538664691
stage4,0.25,current_progress,13,-0.03144871224187008,-0.06900316346474887,-0.00378733823184595
stage4,0.25,persistence,13,-0.06479008000489685,-0.11876738934671963,-0.025665260694299027
stage4,0.25,wrench_history,13,0.05190696929073886,0.014237925439389863,0.08995324191438786
stage4,0.5,force_only,13,0.07339423531652901,0.028207282893667487,0.12505159200417792
stage4,0.5,current_progress,13,-0.004830757619746619,-0.022124774153077103,0.011675895410515726
stage4,0.5,persistence,13,-0.04026479314379963,-0.0741805749813015,-0.009940936716003634
stage4,0.5,wrench_history,13,0.07105476006008041,-0.010362456402001933,0.1651674199846586
stage4,1.0,force_only,13,0.05963835901992427,0.018985030296159146,0.1053864769002998
stage4,1.0,current_progress,13,-0.003718695262319674,-0.03584223761125044,0.022985825945458768
stage4,1.0,persistence,13,-0.02102835088048422,-0.04935080214370579,-0.0001981150087059627
stage4,1.0,wrench_history,13,0.08958234511653969,0.038744304061395105,0.1453062232518973
