evaluation,horizon_s,model,mode,stalled_trajectories,detected_before_confirmation,detected_before_lookback,median_lead_to_confirmation_s,min_lead_to_confirmation_s,nonstalled_trajectories,nonstall_alerts,nonstall_alert_rate,nonstall_alert_rate_groupweighted,trajectories_without_eligible_windows
development_oof,0.25,persistence,calibrated,6,2,1,0.4333333333270275,0.008333333333212067,112,10,0.08928571428571429,0.09900990099009901,0
development_oof,0.25,persistence,semantic_eta_0.5,6,2,1,0.4333333333270275,0.008333333333212067,112,14,0.125,0.13861386138613863,0
quarantined_shared_path,0.25,persistence,calibrated,11,8,0,0.04583333333330941,0.016666666666424135,28,0,0.0,0.0,0
quarantined_shared_path,0.25,persistence,semantic_eta_0.5,11,9,0,0.050000000000636646,0.016666666666878882,28,0,0.0,0.0,0
stage4,0.25,persistence,calibrated,7,6,0,0.06249999999994316,0.025000000000318323,6,0,0.0,0.0,0
stage4,0.25,persistence,semantic_eta_0.5,7,7,0,0.07499999999999574,0.050000000000636646,6,0,0.0,0.0,0
development_oof,0.25,force_threshold,calibrated,6,3,1,0.16666666666878882,0.06666666666569654,112,10,0.08928571428571429,0.09405940594059406,0
development_oof,0.25,force_threshold,force_1N,6,3,1,0.16666666666878882,0.06666666666569654,112,12,0.10714285714285714,0.11386138613861388,0
development_oof,0.25,force_threshold,force_2N,6,0,0,,,112,0,0.0,0.0,0
development_oof,0.25,force_threshold,force_5N,6,0,0,,,112,0,0.0,0.0,0
development_oof,0.25,force_threshold,force_10N,6,0,0,,,112,0,0.0,0.0,0
development_oof,0.25,force_threshold,force_20N,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,0.25,force_threshold,calibrated,11,5,2,0.3833333333329847,0.13333333333503106,28,1,0.03571428571428571,0.03846153846153846,0
quarantined_shared_path,0.25,force_threshold,force_1N,11,5,2,0.3833333333329847,0.13333333333503106,28,2,0.07142857142857142,0.07692307692307691,0
quarantined_shared_path,0.25,force_threshold,force_2N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,0.25,force_threshold,force_5N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,0.25,force_threshold,force_10N,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,0.25,force_threshold,force_20N,11,0,0,,,28,0,0.0,0.0,0
stage4,0.25,force_threshold,calibrated,7,5,2,0.2916666666664014,0.10000000000127329,6,0,0.0,0.0,0
stage4,0.25,force_threshold,force_1N,7,5,2,0.2916666666664014,0.10000000000127329,6,0,0.0,0.0,0
stage4,0.25,force_threshold,force_2N,7,0,0,,,6,0,0.0,0.0,0
stage4,0.25,force_threshold,force_5N,7,0,0,,,6,0,0.0,0.0,0
stage4,0.25,force_threshold,force_10N,7,0,0,,,6,0,0.0,0.0,0
stage4,0.25,force_threshold,force_20N,7,0,0,,,6,0,0.0,0.0,0
development_oof,0.5,force_only,calibrated,6,0,0,,,112,9,0.08035714285714286,0.0891089108910891,0
development_oof,0.5,force_only,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,0.5,force_only,calibrated,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,0.5,force_only,semantic_eta_0.5,11,0,0,,,28,0,0.0,0.0,0
stage4,0.5,force_only,calibrated,7,0,0,,,6,0,0.0,0.0,0
stage4,0.5,force_only,semantic_eta_0.5,7,0,0,,,6,0,0.0,0.0,0
development_oof,0.5,torque_only,calibrated,6,0,0,,,112,7,0.0625,0.06930693069306931,0
development_oof,0.5,torque_only,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,0.5,torque_only,calibrated,11,3,0,0.1833333333331666,0.050000000000636646,28,0,0.0,0.0,0
quarantined_shared_path,0.5,torque_only,semantic_eta_0.5,11,0,0,,,28,0,0.0,0.0,0
stage4,0.5,torque_only,calibrated,7,4,0,0.17083333333325257,0.10000000000127329,6,0,0.0,0.0,0
stage4,0.5,torque_only,semantic_eta_0.5,7,0,0,,,6,0,0.0,0.0,0
development_oof,0.5,current_progress,calibrated,6,2,1,0.612499999991087,0.26666666666278616,112,10,0.08928571428571429,0.09900990099009901,0
development_oof,0.5,current_progress,semantic_eta_0.5,6,1,1,0.7583333333222981,0.7583333333222981,112,1,0.008928571428571428,0.009900990099009901,0
quarantined_shared_path,0.5,current_progress,calibrated,11,9,0,0.21666666666942547,0.15833333333102928,28,0,0.0,0.0,0
quarantined_shared_path,0.5,current_progress,semantic_eta_0.5,11,8,0,0.07916666666659467,0.016666666666878882,28,0,0.0,0.0,0
stage4,0.5,current_progress,calibrated,7,7,0,0.15833333333318933,0.10000000000127329,6,0,0.0,0.0,0
stage4,0.5,current_progress,semantic_eta_0.5,7,4,0,0.06666666666663801,0.025000000000318323,6,0,0.0,0.0,0
development_oof,0.5,wrench_history,calibrated,6,1,0,0.2666666666700621,0.2666666666700621,112,8,0.07142857142857142,0.07920792079207921,0
development_oof,0.5,wrench_history,semantic_eta_0.5,6,1,0,0.2666666666700621,0.2666666666700621,112,1,0.008928571428571428,0.009900990099009901,0
quarantined_shared_path,0.5,wrench_history,calibrated,11,6,1,0.2625000000033424,0.11666666666496894,28,2,0.07142857142857142,0.07692307692307691,0
quarantined_shared_path,0.5,wrench_history,semantic_eta_0.5,11,4,0,0.125,0.050000000000636646,28,0,0.0,0.0,0
stage4,0.5,wrench_history,calibrated,7,4,1,0.2833333333344399,0.15000000000190994,6,0,0.0,0.0,0
stage4,0.5,wrench_history,semantic_eta_0.5,7,4,0,0.1583333333342125,0.10000000000127329,6,0,0.0,0.0,0
development_oof,0.5,progress_wrench_motion,calibrated,6,3,0,0.26666666666278616,0.20833333333030168,112,11,0.09821428571428571,0.10891089108910892,0
development_oof,0.5,progress_wrench_motion,semantic_eta_0.5,6,0,0,,,112,1,0.008928571428571428,0.009900990099009901,0
quarantined_shared_path,0.5,progress_wrench_motion,calibrated,11,11,1,0.27500000000350155,0.07499999999993179,28,1,0.03571428571428571,0.03846153846153846,0
quarantined_shared_path,0.5,progress_wrench_motion,semantic_eta_0.5,11,10,1,0.25000000000147793,0.21666666666351375,28,0,0.0,0.0,0
stage4,0.5,progress_wrench_motion,calibrated,7,6,1,0.31250000000397904,0.26666666666642413,6,0,0.0,0.0,0
stage4,0.5,progress_wrench_motion,semantic_eta_0.5,7,6,0,0.23750000000302407,0.19166666666649235,6,0,0.0,0.0,0
development_oof,0.5,contact_wrench_history,calibrated,6,5,0,0.2916666666664014,0.26666666666278616,112,8,0.07142857142857142,0.07920792079207921,0
development_oof,0.5,contact_wrench_history,semantic_eta_0.5,6,3,0,0.26666666666278616,0.20833333333030168,112,1,0.008928571428571428,0.009900990099009901,0
quarantined_shared_path,0.5,contact_wrench_history,calibrated,11,11,7,0.7500000000095497,0.21666666666942547,28,4,0.14285714285714285,0.15384615384615383,0
quarantined_shared_path,0.5,contact_wrench_history,semantic_eta_0.5,11,10,2,0.25416666666637866,0.21666666666351375,28,0,0.0,0.0,0
stage4,0.5,contact_wrench_history,calibrated,7,7,5,1.1666666666656056,0.2250000000028649,6,0,0.0,0.0,0
