trajectory_id,study,group_id,role,family,stalled,stall_confirmation_s,stall_lookback_start_s,insertion_success,numerically_valid,grasp_retained,max_depth_mm,max_normal_load_n,windows
Forge-Phase2-100/slot017_try00,Forge-Phase2-100,Phase2A:slot017,development,offset_tilt,False,,,True,True,True,20.11202797293663,0.0,114
Forge-Phase2-100/slot018_try00,Forge-Phase2-100,Phase2A:centered_controls,development,centered,False,,,True,True,True,20.109952986240387,0.0,114
Forge-Phase2-100/slot019_try00,Forge-Phase2-100,Phase2A:slot019,development,x_offset,False,,,True,True,True,20.044458657503128,0.41684824228286743,114
Forge-Phase2-100/slot020_try00,Forge-Phase2-100,Phase2A:slot020,development,y_offset,False,,,True,True,True,20.068326592445374,3.3378889560699463,114
Forge-Phase2-100/slot021_try00,Forge-Phase2-100,Phase2A:slot021,development,diagonal_offset,False,,,True,True,True,20.109975337982178,0.0,114
Forge-Phase2-100/slot022_try00,Forge-Phase2-100,Phase2A:slot022,development,tilt_only,False,,,True,True,True,20.088141411542892,0.0472407341003418,114
Forge-Phase2-100/slot023_try00,Forge-Phase2-100,Phase2A:slot023,development,offset_tilt,False,,,True,True,True,20.111431926488876,0.0,114
Forge-Phase2-100/slot024_try00,Forge-Phase2-100,Phase2A:centered_controls,development,centered,False,,,True,True,True,20.109952986240387,0.0,114
Forge-Phase2-100/slot025_try00,Forge-Phase2-100,Phase2A:slot025,development,x_offset,False,,,True,True,True,20.13159692287445,2.085481643676758,114
Forge-Phase2-100/slot026_try00,Forge-Phase2-100,Phase2A:slot026,development,y_offset,False,,,True,True,True,19.789455085992813,3.2750842571258545,114
Forge-Phase2-100/slot027_try00,Forge-Phase2-100,Phase2A:slot027,development,diagonal_offset,False,,,True,True,True,20.110560208559036,0.0,114
Forge-Phase2-100/slot028_try00,Forge-Phase2-100,Phase2A:slot028,development,tilt_only,False,,,True,True,True,20.11139467358589,0.0,114
Forge-Phase2-100/slot029_try00,Forge-Phase2-100,Phase2A:slot029,development,offset_tilt,False,,,False,True,True,19.504839181900024,2.820145606994629,114
Forge-Phase2-100/slot030_try00,Forge-Phase2-100,Phase2A:centered_controls,development,centered,False,,,True,True,True,20.109952986240387,0.0,114
Forge-Phase2-100/slot031_try00,Forge-Phase2-100,Phase2A:slot031,development,x_offset,False,,,True,True,True,20.11030688881874,0.0,114
Forge-Phase2-100/slot032_try00,Forge-Phase2-100,Phase2A:slot032,development,y_offset,False,,,True,True,True,20.110932737588882,0.0,114
Forge-Phase2-100/slot033_try00,Forge-Phase2-100,Phase2A:slot033,development,diagonal_offset,False,,,True,True,True,19.90652233362198,2.938955783843994,114
Forge-Phase2-100/slot034_try00,Forge-Phase2-100,Phase2A:slot034,development,tilt_only,False,,,True,True,True,20.04735693335533,1.3164926767349243,114
Forge-Phase2-100/slot035_try00,Forge-Phase2-100,Phase2A:slot035,development,offset_tilt,False,,,False,True,True,18.970628827810287,5.4755167961120605,114
Forge-Phase2-100/slot036_try00,Forge-Phase2-100,Phase2A:centered_controls,development,centered,False,,,True,True,True,20.109952986240387,0.0,114
Forge-Phase2-100/slot037_try00,Forge-Phase2-100,Phase2A:slot037,development,x_offset,False,,,True,True,True,20.11084333062172,0.0,114
Forge-Phase2-100/slot038_try00,Forge-Phase2-100,Phase2A:slot038,development,y_offset,False,,,True,True,True,20.1096810400486,0.0,114
Forge-Phase2-100/slot039_try00,Forge-Phase2-100,Phase2A:slot039,development,diagonal_offset,False,,,True,True,True,19.95318904519081,2.3804986476898193,114
Forge-Phase2-100/slot040_try00,Forge-Phase2-100,Phase2A:slot040,development,tilt_only,False,,,True,True,True,19.810976088047028,4.827573776245117,114
Forge-Phase2-100/slot041_try00,Forge-Phase2-100,Phase2A:slot041,development,offset_tilt,False,,,True,True,True,19.894307106733322,2.9564943313598633,114
Forge-Phase2-100/slot042_try00,Forge-Phase2-100,Phase2A:centered_controls,development,centered,False,,,True,True,True,20.109952986240387,0.0,114
Forge-Phase2-100/slot043_try00,Forge-Phase2-100,Phase2A:slot043,development,x_offset,False,,,True,True,True,19.821801781654358,2.4058260917663574,114
Forge-Phase2-100/slot044_try00,Forge-Phase2-100,Phase2A:slot044,development,y_offset,False,,,True,True,True,20.110925287008286,0.0,114
Forge-Phase2-100/slot045_try00,Forge-Phase2-100,Phase2A:slot045,development,diagonal_offset,False,,,True,True,True,20.11265754699707,5.046942710876465,114
Forge-Phase2-100/slot046_try00,Forge-Phase2-100,Phase2A:slot046,development,tilt_only,False,,,True,True,True,20.098326355218887,0.0,114
Forge-Phase2-100/slot047_try00,Forge-Phase2-100,Phase2A:slot047,development,offset_tilt,False,,,True,True,True,20.021838694810867,1.1426019668579102,114
Forge-Phase2-100/slot048_try00,Forge-Phase2-100,Phase2A:slot048,development,x_offset,False,,,True,True,True,20.11018767952919,0.0,114
Forge-Phase2-100/slot049_try00,Forge-Phase2-100,Phase2A:slot049,development,y_offset,False,,,True,True,True,20.103824883699417,0.5177331566810608,114
Forge-Phase2-100/slot050_try00,Forge-Phase2-100,Phase2A:slot050,development,diagonal_offset,False,,,True,True,True,19.997013360261917,5.033565521240234,114
Forge-Phase2-100/slot051_try00,Forge-Phase2-100,Phase2A:slot051,development,tilt_only,False,,,True,True,True,20.115559548139572,0.0,114
Forge-Phase2-100/slot052_try00,Forge-Phase2-100,Phase2A:slot052,development,offset_tilt,False,,,True,True,True,19.84431743621826,6.426990509033203,114
Forge-Phase2-100/slot053_try00,Forge-Phase2-100,Phase2A:slot053,development,x_offset,False,,,True,True,True,19.95622143149376,1.5732439756393433,114
Forge-Phase2-100/slot054_try00,Forge-Phase2-100,Phase2A:slot054,development,y_offset,False,,,True,True,True,20.11100724339485,0.0,114
Forge-Phase2-100/slot055_try00,Forge-Phase2-100,Phase2A:slot055,development,diagonal_offset,False,,,True,True,True,19.972985237836838,1.8986066579818726,114
Forge-Phase2-100/slot056_try00,Forge-Phase2-100,Phase2A:slot056,development,tilt_only,False,,,True,True,True,20.07877603173256,0.0,114
Forge-Phase2-100/slot057_try00,Forge-Phase2-100,Phase2A:slot057,development,offset_tilt,False,,,True,True,True,19.87421289086342,2.528125047683716,114
Forge-Phase2-100/slot058_try00,Forge-Phase2-100,Phase2A:slot058,development,x_offset,False,,,True,True,True,20.118025690317154,0.882587194442749,114
Forge-Phase2-100/slot059_try00,Forge-Phase2-100,Phase2A:slot059,development,y_offset,False,,,True,True,True,20.11100724339485,0.0,114
Forge-Phase2-100/slot060_try00,Forge-Phase2-100,Phase2A:slot060,development,diagonal_offset,False,,,True,True,True,19.879100471735,2.5131947994232178,114
Forge-Phase2-100/slot061_try00,Forge-Phase2-100,Phase2A:slot061,development,tilt_only,False,,,True,True,True,20.110739022493362,0.0,114
Forge-Phase2-100/slot062_try00,Forge-Phase2-100,Phase2A:slot062,development,offset_tilt,False,,,True,True,True,19.935613125562668,2.5325300693511963,114
Forge-Phase2-100/slot063_try00,Forge-Phase2-100,Phase2A:slot063,development,x_offset,False,,,True,True,True,19.98581886291504,1.894636631011963,114
Forge-Phase2-100/slot064_try00,Forge-Phase2-100,Phase2A:slot064,development,y_offset,False,,,True,True,True,20.109859853982925,0.0,114
Forge-Phase2-100/slot065_try00,Forge-Phase2-100,Phase2A:slot065,development,diagonal_offset,False,,,True,True,True,20.098818093538284,4.245690822601318,114
Forge-Phase2-100/slot066_try00,Forge-Phase2-100,Phase2A:slot066,development,tilt_only,False,,,True,True,True,20.11127546429634,0.0,114
Forge-Phase2-100/slot067_try00,Forge-Phase2-100,Phase2A:slot067,development,offset_tilt,False,,,True,True,True,20.065361261367798,3.5637261867523193,114
Forge-Phase2-100/slot068_try00,Forge-Phase2-100,Phase2A:slot068,development,x_offset,False,,,True,True,True,20.181523263454437,5.406911849975586,114
Forge-Phase2-100/slot069_try00,Forge-Phase2-100,Phase2A:slot069,development,y_offset,False,,,True,True,True,20.11053040623665,0.0,114
Forge-Phase2-100/slot070_try00,Forge-Phase2-100,Phase2A:slot070,development,diagonal_offset,False,,,True,True,True,20.10771408677101,0.2677096426486969,114
Forge-Phase2-100/slot071_try00,Forge-Phase2-100,Phase2A:slot071,development,tilt_only,False,,,True,True,True,20.03200873732567,1.545920491218567,114
Forge-Phase2-100/slot072_try00,Forge-Phase2-100,Phase2A:slot072,development,offset_tilt,False,,,True,True,True,20.11153995990753,0.0,114
Forge-Phase2-100/slot073_try00,Forge-Phase2-100,Phase2A:slot073,development,x_offset,False,,,True,True,True,20.110273361206055,0.0,114
Forge-Phase2-100/slot074_try00,Forge-Phase2-100,Phase2A:slot074,development,y_offset,False,,,True,True,True,20.107483118772507,0.2197691798210144,114
Forge-Phase2-100/slot075_try00,Forge-Phase2-100,Phase2A:slot075,development,diagonal_offset,False,,,True,True,True,19.912218302488327,2.927828788757324,114
Forge-Phase2-100/slot076_try00,Forge-Phase2-100,Phase2A:slot076,development,tilt_only,True,9.766666666524543,9.266666666524543,False,True,True,18.70655044913292,1.7612011432647705,114
Forge-Phase2-100/slot077_try00,Forge-Phase2-100,Phase2A:slot077,development,offset_tilt,False,,,False,True,True,19.409464299678802,1.765509843826294,114
Forge-Phase2-100/slot078_try00,Forge-Phase2-100,Phase2A:slot078,development,x_offset,False,,,True,True,True,20.11042609810829,0.0,114
Forge-Phase2-100/slot079_try00,Forge-Phase2-100,Phase2A:slot079,development,y_offset,False,,,True,True,True,20.11057510972023,0.0,114
Forge-Phase2-100/slot080_try00,Forge-Phase2-100,Phase2A:slot080,development,diagonal_offset,False,,,True,True,True,20.052587240934372,0.1358259618282318,114
Forge-Phase2-100/slot081_try00,Forge-Phase2-100,Phase2A:slot081,development,tilt_only,False,,,True,True,True,19.969502091407776,2.155728340148926,114
Forge-Phase2-100/slot082_try00,Forge-Phase2-100,Phase2A:slot082,development,offset_tilt,False,,,True,True,True,19.765907526016235,2.471174955368042,114
Forge-Phase2-100/slot083_try00,Forge-Phase2-100,Phase2A:slot083,development,x_offset,False,,,True,True,True,20.07211521267891,0.3096255362033844,114
Forge-Phase2-100/slot084_try00,Forge-Phase2-100,Phase2A:slot084,development,y_offset,False,,,True,True,True,20.063085108995438,3.7303810119628906,114
Forge-Phase2-100/slot085_try00,Forge-Phase2-100,Phase2A:slot085,development,diagonal_offset,False,,,True,True,True,20.11028826236725,0.0,114
Forge-Phase2-100/slot086_try00,Forge-Phase2-100,Phase2A:slot086,development,tilt_only,False,,,True,True,True,19.788337498903275,1.037695288658142,114
Forge-Phase2-100/slot087_try00,Forge-Phase2-100,Phase2A:slot087,development,offset_tilt,False,,,True,True,True,19.510840624570847,3.072314500808716,114
Forge-Phase2-100/slot088_try00,Forge-Phase2-100,Phase2A:slot088,development,x_offset,False,,,True,True,True,20.12385204434395,1.0622786283493042,114
Forge-Phase2-100/slot089_try00,Forge-Phase2-100,Phase2A:slot089,development,y_offset,False,,,True,True,True,19.868695735931396,2.137200117111206,114
Forge-Phase2-100/slot090_try00,Forge-Phase2-100,Phase2A:slot090,development,diagonal_offset,False,,,True,True,True,19.835715740919113,4.993266582489014,114
Forge-Phase2-100/slot091_try00,Forge-Phase2-100,Phase2A:slot091,development,tilt_only,False,,,True,True,True,19.65901032090187,2.54950213432312,114
