trajectory_id,folder,family,policy,depth_mm,replay_matched,label_eligible,safe_recovery,reason,numerically_valid,grasp_retained,cleared,force_budget_exceeded,torque_budget_exceeded,max_force,max_torque,max_wrist_force_n,max_wrist_torque_nm,max_normal_load,max_penetration,recovery_work_j,clear_time_s,duration_s,replay_error_position_mm,replay_error_orientation_deg,replay_error_joint_rad,replay_error_joint_velocity_rad_s,replay_error_linear_velocity_m_s,replay_error_angular_velocity_rad_s,replay_error_force_n,replay_error_torque_nm,replay_error_normal_load_n,replay_error_min_separation_mm,replay_error_wrist_torque_nm,replay_error_finger_position,replay_error_finger_velocity,replay_error_grasp_position,replay_error_hand_pose,replay_error_wrist_raw_child,replay_error_grasp_quat_angle_deg,replay_error_hand_pose_angle_deg,sampling_slot,sample_role,split_group_id
slot001_try00,slot001_try00,x_offset,straight,15.0,True,True,True,cleared,True,True,True,False,False,0.0,0.0,0.021106813102960587,0.01511098351329565,0.0,0.0,0.0,4.25,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,characterization,slot001
slot001_try00,slot001_try00,x_offset,realign,15.0,True,True,True,cleared,True,True,True,False,False,0.0,0.0,0.021106813102960587,0.01511098351329565,0.0,0.0,0.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,characterization,slot001
slot001_try00,slot001_try00,x_offset,straight,20.0,True,True,True,cleared,True,True,True,False,False,0.0,0.0,0.03786896914243698,0.021014146506786346,0.0,0.0,0.0,4.483333333333333,4.483333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,characterization,slot001
slot001_try00,slot001_try00,x_offset,realign,20.0,True,True,True,cleared,True,True,True,False,False,0.0,0.0,0.03786896914243698,0.021014146506786346,0.0,0.0,0.0,6.483333333333333,6.483333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,characterization,slot001
slot002_try00,slot002_try00,y_offset,straight,5.0,True,True,True,cleared,True,True,True,False,False,0.36015093326568604,0.0011455791536718607,0.285523384809494,0.043902698904275894,0.2881210148334503,0.004164903657510877,0.00019584332175045813,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,characterization,slot002
slot002_try00,slot002_try00,y_offset,realign,5.0,False,False,,replay_mismatch,,,,,,,,,,,,,,,0.008332980607500843,0.002233371988378402,3.4332275390625e-05,0.0012066978961229324,0.003429969568927592,0.07438912522118374,0.09380076165398386,0.00033810271026823134,0.07504047453403473,0.000262171056419902,0.004423752427101135,5.173496901988983e-07,1.0553398169577122e-05,1.3077478797640651e-06,6.6086649894714355e-06,0.05254283547401428,0.0022776760770751568,0.002131163364134409,2,characterization,slot002
slot002_try00,slot002_try00,y_offset,straight,10.0,True,True,True,cleared,True,True,True,False,False,0.27063870429992676,0.0008392090094275773,0.23348845541477203,0.02875448390841484,0.21664096415042877,0.002133077714461251,5.021327086803943e-05,3.9166666666666665,3.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,characterization,slot002
slot002_try00,slot002_try00,y_offset,realign,10.0,True,True,True,cleared,True,True,True,False,False,0.27063870429992676,0.0008392090094275773,0.23348845541477203,0.02875448390841484,0.21664096415042877,0.002133077714461251,6.425489764549236e-06,5.916666666666667,5.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,characterization,slot002
slot002_try00,slot002_try00,y_offset,straight,15.0,False,False,,replay_mismatch,,,,,,,,,,,,,,,0.006758790282919635,0.00044489390213590783,9.775161743164062e-06,0.0010346444323658943,0.00015415526130607558,0.011636520479136749,0.17275865599410595,0.003249008276529264,0.13799723982810974,0.0015074837165229837,0.002847275056410581,6.803311407566071e-07,4.128669388592243e-07,5.23392554896418e-06,1.451931893825531e-06,0.08835537731647491,0.0007482935153022624,0.0006033685468385776,2,characterization,slot002
slot002_try00,slot002_try00,y_offset,realign,15.0,True,True,True,cleared,True,True,True,False,False,0.3743049204349518,0.005019092001020908,0.28528478741645813,0.030606277287006378,0.2994641065597534,0.002526334355934523,8.428704859012037e-06,6.258333333333333,6.258333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,characterization,slot002
slot003_try00,slot003_try00,diagonal_offset,straight,5.0,True,True,True,cleared,True,True,True,False,False,0.46695083379745483,0.0020303514320403337,0.41115984320640564,0.043494585901498795,0.3735607862472534,0.0016087356016214471,4.2870152226022946e-05,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,characterization,slot003
