trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s,folder,status,sampling_slot,sample_role,split_group_id,insertion_success,max_force,max_torque,max_normal_load,max_penetration,max_depth,stalled,force_budget_exceeded,torque_budget_exceeded,numerically_valid,outcome_trustworthy,grasp_retained,max_grasp_slip_mm,max_grasp_slip_deg,max_wrist_force_n,max_wrist_torque_nm
slot000_try00,0,0,centered,0.0,0.0,0.0,0.0,8.0,slot000_try00,complete,0,repeatability_control,centered_controls,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
slot001_try00,1,0,x_offset,0.3823904438697262,0.0,0.0,0.0,8.0,slot001_try00,complete,1,characterization,slot001,True,0.0,0.0,0.0,0.0,20.110176503658295,False,False,False,True,True,True,0.02312017750227824,0.07912936237050427,0.01309523917734623,0.009485963732004166
slot002_try00,2,0,y_offset,0.0,0.8762014952037551,0.0,0.0,8.0,slot002_try00,complete,2,characterization,slot002,True,2.57635235786438,0.012009711004793644,2.0610899925231934,0.0068521562752721366,19.821593165397644,False,False,False,True,True,True,0.021837837266502902,0.08846931922527276,2.2929275035858154,0.05819055438041687
slot003_try00,3,0,diagonal_offset,0.3504299223919435,0.3504299223919435,0.0,0.0,8.0,slot003_try00,complete,3,characterization,slot003,True,0.06062667816877365,0.0009629838750697672,0.04850141331553459,0.000363294873295672,20.111219584941864,False,False,False,True,True,True,0.021255918909446336,0.07912936237050427,0.09423258900642395,0.009191812947392464
slot004_try00,4,0,tilt_only,0.0,0.0,2.4412919942861073,0.0,8.0,slot004_try00,complete,4,characterization,slot004,True,1.9754562377929688,0.03405498340725899,1.5803649425506592,0.022379901565727778,19.90734562277794,False,False,False,True,True,True,0.02779659189400263,0.07912936237050427,1.5525493621826172,0.09711236506700516
slot005_try00,5,0,offset_tilt,0.6601368025127385,0.6601368025127385,1.4125851942457595,0.0,8.0,slot005_try00,complete,5,characterization,slot005,True,2.706774950027466,0.010327452793717384,2.230252742767334,0.00888411159394309,20.042461901903152,False,False,False,True,True,True,0.02230617064924445,0.07912936237050427,2.423314094543457,0.08988377451896667
slot006_try00,6,0,centered,0.0,0.0,0.0,0.0,8.0,slot006_try00,complete,6,repeatability_control,centered_controls,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
slot007_try00,7,0,x_offset,-0.3984945774498705,0.0,0.0,0.0,8.0,slot007_try00,complete,7,characterization,slot007,True,0.0515911690890789,0.00013875406875740737,0.041273970156908035,0.0,20.099779218435287,False,False,False,True,True,True,0.022338943381328136,0.07912936237050427,0.08514108508825302,0.009499790146946907
slot008_try00,8,0,y_offset,0.0,-0.9365808593593947,0.0,0.0,8.0,slot008_try00,complete,8,characterization,slot008,True,4.162585258483887,0.018998287618160248,3.3300952911376953,0.007905720849521458,20.043035596609116,False,False,False,True,True,True,0.02683940329006873,0.07912936237050427,3.638387680053711,0.09388583898544312
slot009_try00,9,0,diagonal_offset,-0.21137713502455524,0.21137713502455524,0.0,0.0,8.0,slot009_try00,complete,9,characterization,slot009,True,0.0,0.0,0.0,0.0,20.11021003127098,False,False,False,True,True,True,0.02028467679338064,0.07912936237050427,0.013311867602169514,0.009319425560534
slot010_try00,10,0,tilt_only,0.0,0.0,0.0,3.2818242358445744,8.0,slot010_try00,complete,10,characterization,slot010,False,2.7885069847106934,0.047348178923130035,2.24344539642334,0.033892229112097993,19.29496005177498,False,False,False,True,True,True,0.019693392459885217,0.07912936237050427,2.4865756034851074,0.17076194286346436
slot011_try00,11,0,offset_tilt,-0.5190247299273111,0.5190247299273111,2.0058962341409394,0.0,8.0,slot011_try00,complete,11,characterization,slot011,True,1.9724701642990112,0.007796235382556915,1.5781645774841309,0.009605081686459016,19.930706918239594,False,False,False,True,True,True,0.024598555683041923,0.07912936237050427,1.6773818731307983,0.08868159353733063
slot012_try00,12,0,centered,0.0,0.0,0.0,0.0,8.0,slot012_try00,complete,12,repeatability_control,centered_controls,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
slot013_try00,13,0,x_offset,0.6214455116061409,0.0,0.0,0.0,8.0,slot013_try00,complete,13,characterization,slot013,True,1.4515197277069092,0.021005280315876007,1.1612157821655273,0.010457138159836177,20.091870427131653,False,False,False,True,True,True,0.02273479367431719,0.07912936237050427,1.3240426778793335,0.09268144518136978
slot014_try00,14,0,y_offset,0.0,0.9523299869510955,0.0,0.0,8.0,slot014_try00,complete,14,characterization,slot014,True,4.67907190322876,0.017697887495160103,3.743281126022339,0.0069832426561333705,19.761701673269272,False,False,False,True,True,True,0.020976769519620575,0.07912936237050427,4.085176944732666,0.09917613118886948
slot015_try00,15,0,diagonal_offset,-0.2103109424436911,-0.2103109424436911,0.0,0.0,8.0,slot015_try00,complete,15,characterization,slot015,True,0.0,0.0,0.0,0.0,20.1108880341053,False,False,False,True,True,True,0.02113785558321979,0.08846931922527276,0.014552251435816288,0.009430982172489166
slot016_try00,16,0,tilt_only,0.0,0.0,-2.638548240615676,0.0,8.0,slot016_try00,complete,16,characterization,slot016,True,1.9924941062927246,0.03466102108359337,1.5939953327178955,0.01930627695401199,19.801271706819534,False,False,False,True,True,True,0.023530563339591026,0.08846931922527276,1.6552103757858276,0.08831228315830231
slot017_try00,17,0,offset_tilt,-0.13760597750199008,-0.13760597750199008,0.7193775002040874,0.0,8.0,slot017_try00,complete,17,characterization,slot017,True,0.0,0.0,0.0,0.0,20.11202797293663,False,False,False,True,True,True,0.020758096070494503,0.07912936237050427,0.01463707908987999,0.007978076115250587
slot018_try00,18,0,centered,0.0,0.0,0.0,0.0,8.0,slot018_try00,complete,18,repeatability_control,centered_controls,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
slot019_try00,19,0,x_offset,-0.479059669365712,0.0,0.0,0.0,8.0,slot019_try00,complete,19,characterization,slot019,True,0.5210602283477783,0.0020284170750528574,0.41684824228286743,0.005737930223403964,20.044458657503128,False,False,False,True,True,True,0.02436613976897206,0.08846931922527276,0.4152781069278717,0.03180356323719025
slot020_try00,20,0,y_offset,0.0,-0.8643880387897888,0.0,0.0,8.0,slot020_try00,complete,20,characterization,slot020,True,4.172361373901367,0.016861706972122192,3.3378889560699463,0.007235111297632102,20.068326592445374,False,False,False,True,True,True,0.022458361854660325,0.07912936237050427,3.6260714530944824,0.11218579858541489
slot021_try00,21,0,diagonal_offset,0.25379694678442294,-0.25379694678442294,0.0,0.0,8.0,slot021_try00,complete,21,characterization,slot021,True,0.0,0.0,0.0,0.0,20.109975337982178,False,False,False,True,True,True,0.021034351448179223,0.08846931922527276,0.014023379422724247,0.009447933174669743
slot022_try00,22,0,tilt_only,0.0,0.0,0.0,-1.324075679349383,8.0,slot022_try00,complete,22,characterization,slot022,True,0.059050917625427246,0.0010217729723080993,0.0472407341003418,0.0020937823137501255,20.088141411542892,False,False,False,True,True,True,0.023459273506887257,0.07912936237050427,0.0971551239490509,0.007988998666405678
slot023_try00,23,0,offset_tilt,0.20530769903472781,-0.20530769903472781,0.4385134509550665,0.0,8.0,slot023_try00,complete,23,characterization,slot023,True,0.0,0.0,0.0,0.0,20.111431926488876,False,False,False,True,True,True,0.022358830392477103,0.07912936237050427,0.013488933444023132,0.007979366928339005
slot024_try00,24,0,centered,0.0,0.0,0.0,0.0,8.0,slot024_try00,complete,24,repeatability_control,centered_controls,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
slot025_try00,25,0,x_offset,0.6388830293335381,0.0,0.0,0.0,8.0,slot025_try00,complete,25,characterization,slot025,True,2.6068522930145264,0.019994301721453667,2.085481643676758,0.0152417578647146,20.13159692287445,False,False,False,True,True,True,0.02355300421186257,0.07912936237050427,2.3821828365325928,0.13882237672805786
slot026_try00,26,0,y_offset,0.0,0.8916297505745929,0.0,0.0,8.0,slot026_try00,complete,26,characterization,slot026,True,4.0938544273376465,0.016539763659238815,3.2750842571258545,0.00665552897771704,19.789455085992813,False,False,False,True,True,True,0.021518379071494564,0.07912936237050427,3.577914237976074,0.09181042015552521
slot027_try00,27,0,diagonal_offset,0.135732475495545,0.135732475495545,0.0,0.0,8.0,slot027_try00,complete,27,characterization,slot027,True,0.0,0.0,0.0,0.0,20.110560208559036,False,False,False,True,True,True,0.021080633814563043,0.07912936237050427,0.013236867263913155,0.009440148249268532
slot028_try00,28,0,tilt_only,0.0,0.0,0.6294643138950999,0.0,8.0,slot028_try00,complete,28,characterization,slot028,True,0.0,0.0,0.0,0.0,20.11139467358589,False,False,False,True,True,True,0.021731053493567742,0.07912936237050427,0.01339338906109333,0.007977787405252457
slot029_try00,29,0,offset_tilt,0.5904029390776221,0.5904029390776221,0.0,2.0098296927076067,8.0,slot029_try00,complete,29,characterization,slot029,False,3.521705150604248,0.04465682804584503,2.820145606994629,0.0331657356582582,19.504839181900024,False,False,False,True,True,True,0.021437104805954732,0.07912936237050427,3.137535333633423,0.1994582563638687
slot030_try00,30,0,centered,0.0,0.0,0.0,0.0,8.0,slot030_try00,complete,30,repeatability_control,centered_controls,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
slot031_try00,31,0,x_offset,-0.12137003647308198,0.0,0.0,0.0,8.0,slot031_try00,complete,31,characterization,slot031,True,0.0,0.0,0.0,0.0,20.11030688881874,False,False,False,True,True,True,0.020191957446513698,0.07912936237050427,0.01293968129903078,0.009485535323619843
slot032_try00,32,0,y_offset,0.0,-0.31920378050750464,0.0,0.0,8.0,slot032_try00,complete,32,characterization,slot032,True,0.0,0.0,0.0,0.0,20.110932737588882,False,False,False,True,True,True,0.02065152693830896,0.08846931922527276,0.01315280981361866,0.009531054645776749
slot033_try00,33,0,diagonal_offset,-0.5309461048793502,0.5309461048793502,0.0,0.0,8.0,slot033_try00,complete,33,characterization,slot033,True,3.673689603805542,0.015733420848846436,2.938955783843994,0.008228555088862777,19.90652233362198,False,False,False,True,True,True,0.025186378479702398,0.08846931922527276,3.1543383598327637,0.10636161267757416
slot034_try00,34,0,tilt_only,0.0,0.0,0.0,1.6793571591321752,8.0,slot034_try00,complete,34,characterization,slot034,True,1.4530906677246094,0.027728009968996048,1.3164926767349243,0.017517990272608586,20.04735693335533,False,False,False,True,True,True,0.019711304048541933,0.07912936237050427,1.2004696130752563,0.11356149613857269
slot035_try00,35,0,offset_tilt,-0.5731300583743123,0.5731300583743123,0.0,3.2577068427549563,8.0,slot035_try00,complete,35,characterization,slot035,False,3.4735636711120605,0.06399860978126526,5.4755167961120605,0.02562128247518558,18.970628827810287,False,False,False,True,True,True,0.02536432475608308,0.07912936237050427,3.1523823738098145,0.10039343684911728
slot036_try00,36,0,centered,0.0,0.0,0.0,0.0,8.0,slot036_try00,complete,36,repeatability_control,centered_controls,True,0.0,0.0,0.0,0.0,20.109952986240387,False,False,False,True,True,True,0.02177998612751253,0.07912936237050427,0.015257937833666801,0.009302901104092598
