condition_id,pair_state,both_branches_complete,both_references_eligible,observed_prefixes_matched,paired_costs_complete,paired_recovery_evidence_eligible,configuration_differences,prefix_audit_error,replay_matched,replay_prefix_matched,replay_prefix_equal,replay_prefix_first_mismatch_index,straight_outcome,realign_outcome,straight_minus_realign_recovery_observed_peak_wrist_force_n,straight_minus_realign_retreat_observed_peak_wrist_force_n,straight_minus_realign_retreat_peak_wrist_force_mean100ms_n
m_d18_fs100_fd100_a1p5__b04,paired_straight_overbudget_realign_safe,True,True,True,False,True,[],,True,True,True,,recovery_budget_exceeded,clear_safe,,,
m_d18_fs100_fd100_a02__b04,alternative_not_tested_reference_ineligible,False,False,False,False,False,[],,,,,,reference_budget_exceeded,,,,
m_d18_fs100_fd100_a03__b04,alternative_not_tested_reference_ineligible,False,False,False,False,False,[],,,,,,reference_budget_exceeded,,,,
m_d18_fs100_fd100_a04__b04,alternative_not_tested_reference_ineligible,False,False,False,False,False,[],,,,,,reference_budget_exceeded,,,,
m_d18_fs100_fd100_a05__b04,alternative_not_tested_reference_ineligible,False,False,False,False,False,[],,,,,,reference_budget_exceeded,,,,
m_d18_fs100_fd100_a06__b04,alternative_not_tested_reference_ineligible,False,False,False,False,False,[],,,,,,reference_budget_exceeded,,,,
